,maxval,maxdate,maxarg
1981,11.130263,1981-03-24,174
1982,7.9904146,1982-02-19,141
1983,4.054817,1983-01-22,113
1984,1.9645556,1984-01-31,122
1985,9.5049,1985-03-25,175
1986,4.349372,1986-02-06,128
1987,7.344288,1987-02-25,147
1988,7.5920515,1988-01-27,118
1989,4.016486,1988-12-22,82
1990,6.66932,1990-01-19,110
1991,6.675087,1990-12-09,69
1992,2.2509933,1991-11-22,52
1993,6.100857,1993-01-28,119
1994,9.208468,1993-12-08,68
1995,8.710081,1994-12-14,74
1996,4.560683,1996-01-20,111
1997,3.4407544,1996-10-31,30
1998,6.030423,1997-12-04,64
1999,7.293796,1998-11-09,39
2000,1.5110425,2000-09-22,357
2001,3.3403614,2000-12-10,70
2002,4.787496,2002-09-29,363
2003,6.250273,2002-10-27,26
2004,4.284543,2003-11-03,33
2005,5.08228,2004-11-28,58
2006,5.551571,2006-09-30,364
2007,5.9370074,2006-10-12,11
2008,6.622433,2007-10-25,24
2009,3.7016397,2008-10-01,0
2010,8.718589,2010-09-09,343
2011,6.2263327,2010-10-31,30
2012,5.9147086,2011-10-01,0
2013,1.6536932,2013-07-06,278
2014,6.7922306,2013-12-11,71
2015,2.9411707,2015-02-05,127
2016,4.645213,2015-12-01,61
2017,5.0636435,2016-12-01,61
2018,5.4138646,2017-11-27,57
2019,5.6645484,2018-11-03,33
2020,2.8935642,2019-11-12,42
2021,5.9487634,2020-11-20,50
2022,3.5173383,2022-09-14,348
2023,7.342358,2022-11-26,56
2024,5.6946874,2024-09-13,348
2025,4.7629147,2024-10-01,0
2026,4.182839,2025-10-02,1
2027,4.8219595,2027-09-30,364
2028,5.3067164,2027-10-29,28
2029,1.1930752,2028-10-11,10
2030,3.7461243,2030-09-10,344
2031,5.5116634,2031-09-26,360
2032,5.4716377,2031-10-25,24
2033,2.022247,2033-06-29,271
2034,6.239722,2034-09-30,364
2035,6.337511,2034-10-02,1
2036,1.3962526,2036-07-04,277
2037,4.6818757,2037-06-22,264
2038,1.8514742,2038-06-12,254
2039,2.710754,2039-09-23,357
2040,3.7089307,2039-10-04,3
2041,2.1500933,2041-05-17,228
2042,1.0579818,2042-05-31,242
2043,1.4351977,2043-05-10,221
2044,1.2664652,2044-05-29,241
2045,1.3286324,2045-07-21,293
2046,7.6244936,2046-07-05,277
2047,3.0548694,2047-07-23,295
2048,1.5884303,2048-06-02,245
2049,1.0288395,2049-05-08,219
2050,1.4674163,2050-06-23,265
2051,6.6040874,2051-05-16,227
2052,1.6194787,2052-03-23,174
2053,4.0814085,2053-04-20,201
2054,1.905579,2054-04-12,193
2055,2.476434,2055-05-01,212
2056,1.2563585,2056-03-03,154
2057,4.177172,2057-05-22,233
2058,1.4962498,2058-06-03,245
2059,0.41708237,2059-02-17,139
2060,1.195709,2060-03-05,156
2061,3.6797886,2061-03-09,159
2062,2.6224349,2062-03-31,181
2063,0.8294132,2063-02-12,134
2064,2.0721805,2064-02-02,124
2065,3.6392217,2065-03-10,160
2066,4.4619956,2066-02-21,143
2067,1.0210265,2066-12-20,80
2068,0.47069144,2068-01-17,108
2069,0.9074781,2069-01-17,108
2070,3.954912,2070-03-05,155
2071,2.6272469,2071-03-24,174
2072,4.8272166,2072-02-23,145
2073,1.391464,2073-03-13,163
2074,0.93718857,2074-01-20,111
2075,1.494748,2074-11-03,33
2076,1.7730091,2076-01-11,102
2077,2.213152,2076-12-16,76
2078,1.0033337,2078-01-01,92
2079,3.045872,2078-12-07,67
2080,0.96527773,2079-12-29,89
2081,0.9178609,2080-11-10,40
2082,0.37474474,2081-11-24,54
2083,0.3404761,2082-11-12,42
2084,0.9753657,2084-01-03,94
2085,1.3905646,2084-12-28,88
2086,1.5962512,2085-10-29,28
2087,0.34035784,2086-10-23,22
2088,0.3063434,2087-10-26,25
2089,0.272113,2088-12-05,65
2090,1.0508196,2089-12-30,90
2091,0.33599854,2090-11-30,60
2092,0.4895469,2091-11-24,54
2093,0.2668647,2092-11-01,31
2094,0.2788948,2094-09-24,358
2095,0.2334032,2095-08-09,312
2096,0.37099394,2095-10-06,5
2097,2.118315,2097-08-30,333
