,maxval,maxdate,maxarg
1981,24.472616,1981-03-25,175
1982,17.358175,1982-02-20,142
1983,7.140982,1983-01-24,115
1984,9.804455,1984-02-01,123
1985,24.735466,1985-03-24,174
1986,13.484712,1986-02-18,140
1987,21.506765,1987-02-28,150
1988,13.067947,1988-01-30,121
1989,3.497319,1988-12-25,85
1990,21.256771,1990-01-19,110
1991,12.945176,1990-12-22,82
1992,12.219963,1992-01-04,95
1993,7.997488,1992-12-14,74
1994,8.068455,1994-09-30,364
1995,16.248024,1995-01-01,92
1996,10.495501,1996-01-22,113
1997,9.646259,1997-09-30,364
1998,16.565733,1997-12-30,90
1999,13.142447,1998-11-08,38
2000,6.210875,1999-11-24,54
2001,8.542793,2000-12-09,69
2002,11.000497,2001-11-20,50
2003,10.367054,2002-11-13,43
2004,12.288449,2004-09-25,360
2005,14.240144,2004-11-27,57
2006,11.072593,2005-11-14,44
2007,10.004515,2006-10-12,11
2008,12.508398,2008-09-22,357
2009,10.612377,2008-10-01,0
2010,18.32314,2010-09-10,344
2011,20.897781,2010-10-26,25
2012,16.43161,2011-10-02,1
2013,4.9324913,2012-10-08,7
2014,12.284565,2013-12-09,69
2015,10.857424,2015-02-08,130
2016,9.937915,2016-01-07,98
2017,21.808592,2016-12-01,61
2018,10.07896,2017-11-28,58
2019,11.515854,2018-11-03,33
2020,7.776111,2019-11-24,54
2021,15.39601,2020-11-20,50
2022,7.0983477,2022-09-14,348
2023,14.971106,2022-11-27,57
2024,9.036338,2024-09-30,365
2025,10.790359,2025-09-28,362
2026,14.975809,2025-12-05,65
2027,6.964082,2027-09-30,364
2028,8.7008505,2027-11-23,53
2029,2.349938,2029-09-28,362
2030,6.199357,2030-08-19,322
2031,6.288776,2031-09-27,361
2032,5.826569,2032-09-05,340
2033,13.706842,2033-09-17,351
2034,12.80033,2033-10-01,0
2035,11.227127,2034-10-25,24
2036,3.5216093,2035-10-01,0
2037,8.381316,2037-08-13,316
2038,2.713919,2038-09-06,340
2039,7.21291,2039-05-21,232
2040,15.397445,2040-09-16,351
2041,9.329161,2040-10-02,1
2042,1.0177236,2042-07-12,284
2043,4.481178,2043-05-11,222
2044,6.078029,2044-06-22,265
2045,3.8280041,2045-07-25,297
2046,12.864807,2046-07-04,276
2047,5.9309773,2047-07-24,296
2048,4.958195,2048-06-09,252
2049,1.8310531,2049-06-22,264
2050,5.625345,2050-03-30,180
2051,6.496852,2051-05-16,227
2052,4.6647534,2052-03-23,174
2053,6.857933,2053-04-25,206
2054,5.3330016,2054-04-08,189
2055,4.475558,2055-05-01,212
2056,1.3884765,2056-06-15,258
2057,10.076639,2057-05-24,235
2058,3.2961092,2058-05-07,218
2059,2.058188,2059-04-30,211
2060,2.502334,2060-04-06,188
2061,11.013198,2061-03-08,158
2062,12.533244,2062-03-31,181
2063,3.4918787,2063-03-14,164
2064,2.744467,2064-02-02,124
2065,3.5357265,2065-03-30,180
2066,6.585594,2066-02-18,140
2067,1.4068675,2067-03-23,173
2068,1.1150104,2068-01-18,109
2069,1.2643013,2069-01-18,109
2070,7.952891,2070-03-04,154
2071,3.0179887,2071-01-09,100
2072,9.239188,2072-02-24,146
2073,3.2048585,2072-12-10,70
2074,3.8017447,2074-01-20,111
2075,2.4728048,2075-01-19,110
2076,6.4240274,2076-02-01,123
2077,1.5594835,2076-12-09,69
2078,3.2423918,2077-11-21,51
2079,6.907341,2078-12-06,66
2080,1.8824099,2080-01-17,108
2081,2.3331795,2080-10-16,15
2082,0.7718251,2081-11-13,43
2083,1.2914854,2082-12-20,80
2084,2.7167866,2083-12-04,64
2085,3.441582,2084-12-27,87
2086,3.6719165,2085-10-29,28
2087,2.12997,2086-11-25,55
2088,2.3764522,2088-09-16,351
2089,1.1065906,2089-09-30,364
2090,1.0831702,2089-10-01,0
2091,0.9221557,2091-09-01,335
2092,1.9543614,2091-11-26,56
2093,0.64719003,2092-10-21,20
2094,0.931024,2094-09-28,362
2095,1.5680687,2095-08-09,312
2096,0.8026557,2095-10-19,18
2097,2.1600068,2097-09-30,364
