,maxval,maxdate,maxarg
1981,62.10216,1981-03-28,178
1982,41.189617,1982-03-30,180
1983,46.999847,1983-03-23,173
1984,36.75239,1984-02-01,123
1985,65.96296,1985-03-26,176
1986,29.806534,1986-02-06,128
1987,57.224144,1987-03-26,176
1988,54.63335,1988-02-23,145
1989,35.882847,1989-02-09,131
1990,42.32342,1990-02-25,147
1991,32.564167,1991-02-02,124
1992,20.287746,1992-01-23,114
1993,42.234688,1993-02-09,131
1994,54.973557,1994-01-25,116
1995,64.730896,1995-01-15,106
1996,36.784283,1996-01-22,113
1997,21.869293,1997-09-30,364
1998,47.40987,1997-12-17,77
1999,33.94729,1998-11-08,38
2000,22.9754,2000-09-22,357
2001,38.63606,2000-12-21,81
2002,25.377256,2002-09-29,363
2003,38.362015,2002-11-26,56
2004,36.664406,2004-09-30,365
2005,62.34411,2004-12-03,63
2006,42.60359,2005-11-18,48
2007,54.40687,2006-11-08,38
2008,43.992496,2007-11-18,48
2009,34.35222,2008-10-22,21
2010,29.744688,2009-10-06,5
2011,38.145332,2011-09-30,364
2012,39.37712,2011-11-03,33
2013,34.56825,2012-10-17,16
2014,22.501886,2014-01-13,104
2015,39.74282,2015-02-08,130
2016,22.929197,2016-01-12,103
2017,39.853024,2017-01-24,115
2018,53.34375,2018-02-05,127
2019,24.012516,2018-11-20,50
2020,39.187195,2020-01-09,100
2021,51.884773,2020-12-17,77
2022,33.078484,2022-01-08,99
2023,45.41863,2023-01-11,102
2024,24.761187,2024-09-12,347
2025,34.691696,2024-11-26,56
2026,31.57798,2025-12-07,67
2027,33.3127,2026-11-27,57
2028,43.208008,2027-12-17,77
2029,11.885476,2028-10-30,29
2030,25.847399,2030-09-19,353
2031,36.554977,2030-11-22,52
2032,27.33662,2031-10-27,26
2033,22.042011,2033-09-30,364
2034,29.986622,2034-09-22,356
2035,39.431313,2034-10-28,27
2036,23.159218,2035-10-01,0
2037,20.807642,2037-08-18,321
2038,12.760741,2038-08-04,307
2039,26.849901,2039-09-30,364
2040,39.322063,2040-09-21,356
2041,39.86794,2040-10-10,9
2042,25.83027,2041-10-06,5
2043,12.01256,2043-05-31,242
2044,18.803497,2044-07-17,290
2045,14.236498,2045-08-26,329
2046,29.644936,2046-07-08,280
2047,21.804476,2047-08-11,314
2048,17.216171,2048-06-23,266
2049,18.200329,2049-06-27,269
2050,12.172634,2050-07-17,289
2051,29.7929,2051-06-24,266
2052,9.092912,2052-05-01,213
2053,24.853916,2053-06-17,259
2054,7.3942003,2054-06-23,265
2055,21.505278,2055-07-12,284
2056,7.1107144,2056-04-27,209
2057,16.938154,2057-05-24,235
2058,6.6486526,2058-05-17,228
2059,3.7961164,2059-02-17,139
2060,9.270514,2060-04-13,195
2061,21.754486,2061-03-11,161
2062,21.543877,2062-04-06,187
2063,11.986419,2063-02-16,138
2064,13.097567,2064-02-14,136
2065,25.642698,2065-04-28,209
2066,18.776108,2066-03-11,161
2067,5.2114897,2067-02-26,148
2068,9.039882,2068-03-05,156
2069,3.324847,2069-02-25,147
2070,16.573421,2070-03-28,178
2071,6.157825,2071-03-30,180
2072,14.676509,2072-03-23,174
2073,9.538716,2073-03-13,163
2074,3.249788,2074-01-05,96
2075,15.690471,2075-03-09,159
2076,22.409796,2076-02-05,127
2077,3.6268792,2076-12-14,74
2078,5.001896,2078-01-11,102
2079,3.2959085,2078-11-30,60
2080,11.892798,2080-01-19,110
2081,9.069276,2080-12-01,61
2082,2.1049428,2081-11-29,59
2083,2.003595,2082-11-22,52
2084,9.031906,2084-01-03,94
2085,9.514091,2084-12-30,90
2086,4.1519475,2085-10-30,29
2087,2.5680041,2086-10-30,29
2088,2.4351394,2087-10-09,8
2089,2.084656,2088-10-28,27
2090,4.2136617,2089-10-28,27
2091,2.5321867,2091-09-18,352
2092,3.9904568,2092-09-28,363
2093,3.3666713,2092-11-15,45
2094,4.2629514,2094-09-30,364
2095,4.5924816,2094-10-01,0
2096,5.9640875,2095-11-17,47
2097,5.5212774,2097-08-30,333
