,maxval,maxdate,maxarg
1981,22.229437,1981-03-25,175
1982,18.287882,1982-02-20,142
1983,8.591361,1983-01-24,115
1984,9.026868,1984-02-01,123
1985,26.034004,1985-03-25,175
1986,12.567315,1986-02-18,140
1987,20.224987,1987-03-01,151
1988,14.276541,1988-01-28,119
1989,2.9832342,1988-12-25,85
1990,19.922255,1990-02-25,147
1991,12.50118,1990-12-22,82
1992,11.273879,1992-01-04,95
1993,8.346211,1992-12-08,68
1994,8.518525,1994-09-30,364
1995,17.73465,1995-01-01,92
1996,10.684457,1996-01-22,113
1997,10.0928955,1997-09-30,364
1998,15.4134245,1997-12-29,89
1999,13.607469,1998-11-08,38
2000,5.7522492,1999-11-25,55
2001,8.131016,2000-12-09,69
2002,9.400081,2001-11-20,50
2003,11.517516,2002-11-28,58
2004,12.674756,2004-09-25,360
2005,14.837232,2004-11-27,57
2006,9.78609,2005-11-14,44
2007,9.655248,2006-10-12,11
2008,13.46214,2008-09-22,357
2009,11.63584,2008-10-01,0
2010,17.880123,2010-09-10,344
2011,18.96457,2010-10-26,25
2012,14.368733,2011-10-02,1
2013,4.4361477,2012-10-09,8
2014,12.407724,2013-12-10,70
2015,8.650943,2015-02-09,131
2016,9.585331,2015-12-15,75
2017,21.59314,2016-12-01,61
2018,10.036357,2018-01-29,120
2019,11.87268,2018-11-03,33
2020,6.4800005,2019-11-24,54
2021,12.7393055,2020-11-05,35
2022,6.3029256,2022-09-13,347
2023,13.964164,2022-11-26,56
2024,7.693221,2024-09-30,365
2025,9.586133,2025-09-28,362
2026,15.214052,2025-12-05,65
2027,6.884424,2027-09-30,364
2028,8.529102,2027-11-04,34
2029,2.0796275,2029-09-28,362
2030,5.7362413,2030-08-18,321
2031,7.0826077,2030-11-08,38
2032,6.7751527,2032-09-05,340
2033,12.3939085,2033-09-24,358
2034,11.215949,2033-10-01,0
2035,9.748999,2034-10-25,24
2036,2.0365517,2036-08-16,320
2037,5.3131237,2037-08-15,318
2038,2.3402433,2038-09-06,340
2039,6.209844,2039-05-21,232
2040,12.987547,2040-09-16,351
2041,6.4082756,2040-10-02,1
2042,1.3673905,2042-07-12,284
2043,4.366389,2043-05-11,222
2044,6.2549734,2044-06-22,265
2045,4.0937767,2045-07-25,297
2046,13.60708,2046-07-04,276
2047,8.274444,2047-07-24,296
2048,3.86705,2048-06-20,263
2049,1.9525659,2049-04-04,185
2050,4.5237865,2050-03-30,180
2051,6.0919795,2051-05-16,227
2052,3.4853177,2052-03-23,174
2053,6.556974,2053-04-19,200
2054,4.7439456,2054-04-08,189
2055,3.3490126,2055-05-01,212
2056,1.7141805,2056-06-15,258
2057,9.210511,2057-05-23,234
2058,2.251913,2058-05-07,218
2059,1.4601288,2059-02-28,150
2060,2.8771877,2060-04-06,188
2061,9.660429,2061-03-08,158
2062,9.375979,2062-03-31,181
2063,3.367521,2063-04-16,197
2064,2.70184,2064-04-03,185
2065,3.652148,2065-03-30,180
2066,5.591287,2066-02-18,140
2067,2.1711814,2067-03-23,173
2068,1.0299451,2068-03-31,182
2069,1.2336085,2069-01-18,109
2070,8.246498,2070-03-04,154
2071,2.8901222,2071-01-09,100
2072,7.6365547,2072-02-23,145
2073,3.863946,2072-12-10,70
2074,4.0581074,2074-01-20,111
2075,2.6051066,2075-01-03,94
2076,5.9730964,2076-02-01,123
2077,1.5296141,2076-12-09,69
2078,2.8605852,2077-11-21,51
2079,6.15658,2078-12-06,66
2080,2.1631737,2080-01-17,108
2081,1.5967169,2080-10-25,24
2082,0.7431626,2081-11-13,43
2083,1.494836,2082-12-20,80
2084,2.8833902,2083-12-04,64
2085,3.7863646,2084-12-28,88
2086,3.7603588,2085-10-29,28
2087,2.1554208,2086-11-25,55
2088,1.3031747,2088-09-16,351
2089,1.124418,2088-12-05,65
2090,0.89926744,2090-09-26,360
2091,1.5085126,2090-11-30,60
2092,2.820617,2091-11-30,60
2093,0.52379006,2092-10-21,20
2094,0.9068215,2094-09-28,362
2095,1.5156633,2095-08-09,312
2096,1.6395955,2095-10-19,18
2097,1.7470214,2097-09-30,364
