,maxval,maxdate,maxarg
1981,25.834778,1981-03-26,176
1982,48.89474,1982-03-09,159
1983,16.592016,1983-01-23,114
1984,4.7240586,1984-02-17,139
1985,31.396292,1985-02-22,144
1986,17.344252,1986-02-19,141
1987,28.803137,1987-02-23,145
1988,11.982869,1988-02-01,123
1989,11.602424,1989-01-26,117
1990,26.944487,1990-02-26,148
1991,15.718029,1991-01-02,93
1992,17.27722,1992-01-23,114
1993,19.470068,1993-01-28,119
1994,19.089643,1993-12-09,69
1995,25.533474,1995-01-12,103
1996,17.979729,1996-01-19,110
1997,16.344501,1996-11-08,38
1998,30.559729,1997-12-31,91
1999,16.422169,1998-11-28,58
2000,3.5222976,1999-12-02,62
2001,13.601054,2000-12-12,72
2002,20.057255,2001-11-25,55
2003,25.051264,2002-12-04,64
2004,26.890348,2003-12-03,63
2005,21.577831,2004-10-25,24
2006,29.459799,2005-11-17,47
2007,22.87512,2006-10-24,23
2008,20.83273,2008-09-30,365
2009,21.300604,2008-10-12,11
2010,25.09426,2010-09-21,355
2011,24.635332,2010-10-26,25
2012,23.869797,2012-09-12,347
2013,24.174778,2012-10-08,7
2014,22.475113,2014-01-20,111
2015,23.341293,2015-02-05,127
2016,13.694942,2016-01-28,119
2017,31.635887,2017-01-20,111
2018,18.904787,2018-01-29,120
2019,15.672477,2018-12-14,74
2020,9.309953,2020-09-30,365
2021,31.626072,2020-11-16,46
2022,12.656196,2022-01-04,95
2023,30.204628,2022-11-27,57
2024,22.61973,2024-09-28,363
2025,27.247675,2024-11-19,49
2026,16.671526,2025-12-02,62
2027,9.993018,2027-09-30,364
2028,19.083015,2028-09-30,365
2029,31.640387,2028-10-31,30
2030,11.296411,2030-09-26,360
2031,13.262096,2031-09-26,360
2032,16.42484,2032-09-26,361
2033,32.15705,2033-09-30,364
2034,34.738422,2033-10-10,9
2035,24.888937,2035-09-23,357
2036,24.183949,2035-10-08,7
2037,22.5348,2037-09-19,353
2038,21.869404,2038-09-08,342
2039,35.04262,2039-09-29,363
2040,34.82597,2039-10-01,0
2041,10.236007,2041-08-12,315
2042,18.944395,2042-08-10,313
2043,17.694492,2043-08-09,312
2044,17.984608,2044-07-13,286
2045,12.913054,2045-08-17,320
2046,39.25508,2046-07-08,280
2047,31.847584,2047-07-26,298
2048,23.182615,2048-07-17,290
2049,15.842415,2049-06-23,265
2050,20.23703,2050-07-07,279
2051,15.669254,2051-06-21,263
2052,10.155533,2052-05-21,233
2053,22.56192,2053-06-13,255
2054,29.439993,2054-07-06,278
2055,14.22851,2055-06-13,255
2056,3.1573415,2056-03-03,154
2057,17.787704,2057-06-08,250
2058,13.656135,2058-06-07,249
2059,12.35537,2059-05-03,214
2060,7.356726,2060-04-20,202
2061,12.992536,2061-04-14,195
2062,24.87181,2062-04-01,182
2063,8.90684,2063-04-21,202
2064,7.461306,2064-04-18,200
2065,5.1035733,2065-03-11,161
2066,22.786692,2066-03-25,175
2067,3.1224391,2067-04-10,191
2068,7.740455,2068-02-18,140
2069,1.4152639,2069-01-21,112
2070,10.142618,2070-03-05,155
2071,17.715296,2071-03-25,175
2072,23.5457,2072-03-08,159
2073,11.403647,2073-03-15,165
2074,11.123463,2074-02-18,140
2075,11.513314,2075-02-07,129
2076,6.799534,2076-01-05,96
2077,5.811218,2077-01-03,94
2078,15.347851,2078-01-13,104
2079,13.12728,2079-01-23,114
2080,2.914437,2080-01-19,110
2081,3.7932658,2081-01-24,115
2082,1.9046535,2081-12-05,65
2083,1.2096337,2082-11-18,48
2084,6.0767064,2083-12-14,74
2085,10.10752,2084-12-26,86
2086,3.5525243,2085-11-05,35
2087,7.0102,2086-12-08,68
2088,6.396708,2087-12-01,61
2089,3.6853974,2088-10-25,24
2090,5.406298,2090-09-17,351
2091,4.886845,2090-10-01,0
2092,4.1277013,2092-09-24,359
2093,4.058791,2092-10-08,7
2094,2.967992,2093-10-05,4
2095,5.047611,2094-10-23,22
2096,1.9073339,2096-09-07,342
2097,6.2569466,2097-09-30,364
