,maxval,maxdate,maxarg
1981,9.232653,1981-03-24,174
1982,12.605821,1982-03-02,152
1983,7.1183734,1983-01-26,117
1984,5.6412005,1984-02-01,123
1985,9.841164,1985-03-25,175
1986,6.9981947,1986-02-06,128
1987,7.555035,1987-01-31,122
1988,8.700433,1988-01-29,120
1989,9.007907,1989-01-07,98
1990,8.564974,1990-01-18,109
1991,6.396433,1990-12-12,72
1992,8.519787,1992-01-20,111
1993,11.61741,1993-01-26,117
1994,11.5083,1993-12-11,71
1995,9.192532,1995-01-04,95
1996,8.548072,1995-12-06,66
1997,5.971246,1996-11-17,47
1998,9.300807,1997-12-04,64
1999,5.4796724,1998-11-08,38
2000,3.340591,2000-09-23,358
2001,5.364246,2001-09-30,364
2002,12.015012,2002-09-30,364
2003,17.488361,2002-10-26,25
2004,6.505576,2004-09-15,350
2005,9.897874,2005-09-23,357
2006,10.330673,2005-11-16,46
2007,10.773099,2006-10-13,12
2008,6.2267404,2007-10-09,8
2009,5.8604565,2008-10-01,0
2010,6.51849,2010-09-08,342
2011,12.69202,2011-09-30,364
2012,12.685214,2011-10-01,0
2013,4.918595,2012-10-12,11
2014,6.47439,2014-01-15,106
2015,5.5945563,2014-11-29,59
2016,8.375091,2016-01-07,98
2017,5.851515,2016-12-04,64
2018,7.28867,2017-11-04,34
2019,8.192836,2018-11-04,34
2020,3.9047036,2019-11-07,37
2021,5.873543,2020-11-06,36
2022,4.808814,2022-09-19,353
2023,9.3834915,2022-11-27,57
2024,5.5217834,2024-09-15,350
2025,5.742091,2024-10-15,14
2026,5.280344,2025-10-15,14
2027,7.0659075,2027-09-30,364
2028,7.7649407,2027-10-30,29
2029,2.772691,2029-09-27,361
2030,6.6517615,2030-09-20,354
2031,6.833628,2030-11-01,31
2032,8.660664,2031-10-26,25
2033,6.6225657,2033-09-23,357
2034,10.479026,2034-09-16,350
2035,11.644404,2034-10-10,9
2036,5.0400033,2036-08-17,321
2037,5.35617,2037-08-03,306
2038,3.4141884,2038-07-16,288
2039,3.1274343,2039-09-24,358
2040,2.9971395,2040-08-31,335
2041,3.4315794,2041-06-28,270
2042,2.8602083,2042-07-10,282
2043,2.6740599,2043-05-31,242
2044,5.323145,2044-05-30,242
2045,0.9680696,2045-08-17,320
2046,6.746186,2046-07-09,281
2047,4.567495,2047-07-24,296
2048,2.712528,2048-06-02,245
2049,3.395931,2049-06-04,246
2050,2.508007,2050-08-27,330
2051,11.988581,2051-06-23,265
2052,1.5105634,2052-05-01,213
2053,9.363878,2053-06-09,251
2054,2.4211833,2054-04-09,190
2055,4.453854,2055-06-01,243
2056,3.4552195,2056-04-28,210
2057,5.7275763,2057-05-18,229
2058,1.8879994,2058-05-07,218
2059,2.8846946,2059-04-25,206
2060,2.0462732,2060-03-07,158
2061,3.0581882,2061-03-12,162
2062,3.1251605,2062-04-01,182
2063,2.0802817,2063-03-28,178
2064,1.5878063,2064-02-10,132
2065,5.099797,2065-04-06,187
2066,4.0726867,2066-03-13,163
2067,2.4271302,2067-04-10,191
2068,1.8854785,2068-01-19,110
2069,2.8133807,2069-01-22,113
2070,2.3742404,2070-03-05,155
2071,2.6080973,2071-02-03,125
2072,4.741195,2072-02-25,147
2073,1.7815297,2073-01-23,114
2074,1.214715,2074-01-05,96
2075,4.1663704,2075-02-07,129
2076,1.8354369,2076-01-29,120
2077,1.0296248,2077-02-17,139
2078,1.8833021,2077-11-26,56
2079,2.5322933,2078-11-27,57
2080,2.806496,2079-12-05,65
2081,2.0315723,2080-11-30,60
2082,0.8655952,2081-11-16,46
2083,1.2786566,2082-10-21,20
2084,2.0189047,2083-10-06,5
2085,2.9302516,2084-11-24,54
2086,1.3626233,2085-10-15,14
2087,1.4052457,2086-10-28,27
2088,0.99161536,2087-10-28,27
2089,0.35433218,2088-11-28,58
2090,1.1279383,2090-09-05,339
2091,1.5385084,2090-12-31,91
2092,0.5608199,2091-11-25,55
2093,1.1226058,2092-11-01,31
2094,0.75357234,2094-08-10,313
2095,1.4603943,2095-07-13,285
2096,0.7907426,2095-10-12,11
2097,2.7431052,2097-08-30,333
