,maxval,maxdate,maxarg
1981,18.06081,1981-03-24,174
1982,16.572412,1982-02-20,142
1983,5.6511693,1983-01-22,113
1984,3.6200342,1984-01-31,122
1985,21.404718,1985-03-24,174
1986,4.8433676,1986-02-17,139
1987,12.365223,1987-03-01,151
1988,15.968258,1988-01-27,118
1989,1.2387096,1988-12-21,81
1990,15.225975,1990-01-19,110
1991,8.10292,1991-01-01,92
1992,5.437736,1992-01-04,95
1993,4.3848534,1992-12-06,66
1994,4.4670897,1994-09-30,364
1995,13.969195,1995-01-01,92
1996,3.5384173,1996-01-20,111
1997,6.7963023,1997-09-30,364
1998,8.56,1997-12-10,70
1999,9.395663,1998-11-08,38
2000,4.6090126,1999-11-25,55
2001,3.1971073,2000-12-09,69
2002,4.6730733,2002-08-26,329
2003,7.2559285,2003-07-24,296
2004,7.5113616,2003-11-01,31
2005,7.6833386,2004-11-28,58
2006,4.594872,2005-11-14,44
2007,2.5973847,2007-08-30,333
2008,11.129094,2008-09-21,356
2009,9.245999,2008-10-01,0
2010,12.905152,2010-09-08,342
2011,12.899363,2010-11-01,31
2012,10.584154,2012-08-27,331
2013,6.254073,2012-10-08,7
2014,6.745636,2013-12-10,70
2015,4.2315764,2014-11-26,56
2016,3.995107,2015-10-07,6
2017,13.390342,2016-11-28,58
2018,8.3724375,2017-10-31,30
2019,9.604884,2018-11-03,33
2020,2.1846068,2019-10-13,12
2021,8.483281,2020-10-18,17
2022,4.593293,2022-01-06,97
2023,9.762493,2022-11-26,56
2024,1.5126442,2024-09-11,346
2025,3.9240105,2025-09-28,362
2026,8.467863,2025-12-05,65
2027,2.9108407,2027-09-30,364
2028,2.878686,2027-10-01,0
2029,1.0167964,2029-09-17,351
2030,2.7779548,2030-08-17,320
2031,4.3861823,2030-11-08,38
2032,4.863775,2032-09-05,340
2033,7.5758066,2033-09-13,347
2034,6.3365073,2033-10-01,0
2035,3.0603952,2034-10-09,8
2036,2.7756999,2036-08-22,326
2037,3.5989985,2037-06-22,264
2038,1.4183567,2038-09-06,340
2039,2.9515224,2039-08-10,313
2040,6.3651047,2040-09-16,351
2041,2.7888527,2041-08-12,315
2042,1.163184,2042-07-09,281
2043,1.7752411,2043-04-14,195
2044,2.0493553,2044-06-22,265
2045,5.2816467,2045-07-25,297
2046,10.644933,2046-07-04,276
2047,7.274385,2047-07-22,294
2048,2.0334888,2048-07-04,277
2049,1.4578338,2049-04-04,185
2050,1.4093301,2050-06-24,266
2051,6.230012,2051-05-15,226
2052,0.9141828,2052-06-09,252
2053,2.9394672,2053-04-17,198
2054,3.1840258,2054-04-11,192
2055,3.5123088,2055-05-02,213
2056,2.0471494,2056-06-13,256
2057,7.02843,2057-05-23,234
2058,0.9204303,2058-05-13,224
2059,2.3831913,2059-04-29,210
2060,1.2293462,2060-04-21,203
2061,4.948231,2061-02-27,149
2062,4.496153,2062-03-31,181
2063,1.382127,2063-02-15,137
2064,2.4550755,2064-02-01,123
2065,2.817256,2065-03-30,180
2066,3.958203,2066-02-21,143
2067,1.5623028,2067-03-24,174
2068,0.56700444,2068-03-16,167
2069,1.0536281,2069-01-17,108
2070,5.169424,2070-03-04,154
2071,1.5630628,2071-01-12,103
2072,4.2793994,2072-02-23,145
2073,4.126645,2072-12-10,70
2074,1.5689183,2074-01-05,96
2075,1.3948978,2075-01-03,94
2076,4.70347,2076-02-01,123
2077,0.7933949,2076-12-13,73
2078,0.83378327,2077-11-22,52
2079,1.7894208,2078-11-25,55
2080,0.83313996,2079-12-25,85
2081,1.1950389,2080-10-15,14
2082,0.48678318,2082-02-04,126
2083,1.6176628,2083-01-09,100
2084,1.7934049,2083-12-14,74
2085,1.7185252,2084-12-25,85
2086,1.1820087,2085-10-28,27
2087,1.8011959,2086-11-24,54
2088,1.0101479,2087-12-04,64
2089,1.1857858,2089-01-05,96
2090,0.3513073,2090-09-26,360
2091,0.34362084,2090-10-16,15
2092,0.81864154,2091-11-26,56
2093,0.4616424,2092-10-22,21
2094,1.1170882,2094-09-30,364
2095,0.74926066,2094-10-01,0
2096,1.3409759,2095-10-19,18
2097,1.2514085,2096-11-11,41
