,maxval,maxdate,maxarg
1981,15.200629,1981-03-22,172
1982,28.846743,1982-04-14,195
1983,5.380735,1983-02-23,145
1984,4.503318,1984-03-18,169
1985,25.521343,1985-03-25,175
1986,13.15617,1986-03-14,164
1987,21.096546,1987-03-02,152
1988,10.118985,1988-01-27,118
1989,3.1059139,1988-12-23,83
1990,22.092184,1990-01-18,109
1991,14.163676,1991-02-10,132
1992,19.22617,1992-01-23,114
1993,7.6673284,1993-01-29,120
1994,7.4902043,1994-09-30,364
1995,15.09658,1995-01-04,95
1996,13.306424,1996-01-20,111
1997,10.221358,1997-09-30,364
1998,19.899298,1997-12-31,91
1999,8.772832,1999-01-05,96
2000,5.8788147,1999-11-23,53
2001,6.2156773,2001-09-29,363
2002,13.2208805,2001-12-10,70
2003,14.650154,2002-11-30,60
2004,16.558567,2003-12-03,63
2005,10.675431,2004-11-28,58
2006,14.500317,2005-11-13,43
2007,10.897397,2006-11-07,37
2008,18.811527,2008-09-21,356
2009,18.217999,2008-10-01,0
2010,13.666381,2010-09-17,351
2011,17.655027,2010-11-04,34
2012,14.990539,2012-09-20,355
2013,14.077929,2012-10-01,0
2014,9.960225,2014-01-21,112
2015,4.027215,2015-09-30,364
2016,8.245674,2015-12-01,61
2017,15.923929,2016-11-30,60
2018,8.3803,2017-11-24,54
2019,4.9848194,2019-01-05,96
2020,5.2668304,2020-09-30,365
2021,24.152493,2020-11-06,36
2022,7.452809,2022-09-30,364
2023,22.528,2022-12-24,84
2024,5.723128,2024-09-30,365
2025,7.3461075,2025-09-29,363
2026,15.8354845,2025-12-02,62
2027,4.8152156,2027-09-30,364
2028,5.2155404,2027-10-29,28
2029,5.710138,2029-09-26,360
2030,6.402754,2029-10-05,4
2031,3.3385985,2031-09-27,361
2032,13.828482,2032-09-26,361
2033,18.948677,2033-09-29,363
2034,20.380373,2033-10-10,9
2035,9.339924,2034-10-09,8
2036,8.339687,2035-10-02,1
2037,12.577229,2037-09-16,350
2038,8.968002,2038-09-06,340
2039,15.983354,2039-08-12,315
2040,10.179741,2039-10-04,3
2041,1.7668818,2041-08-11,314
2042,2.9992676,2042-07-30,302
2043,3.1095252,2043-07-18,290
2044,5.672999,2044-06-23,266
2045,4.854092,2045-07-25,297
2046,11.379431,2046-06-24,266
2047,17.414198,2047-07-18,290
2048,17.570543,2048-07-17,290
2049,4.0835023,2049-06-23,265
2050,3.472976,2050-07-03,275
2051,5.6061487,2051-06-17,259
2052,2.6015556,2052-06-14,257
2053,2.487442,2053-04-17,198
2054,5.111237,2054-06-19,261
2055,5.549342,2055-06-02,244
2056,1.1397704,2056-03-04,155
2057,11.858618,2057-07-03,275
2058,7.3956695,2058-05-13,224
2059,4.8020306,2059-04-30,211
2060,4.8068647,2060-04-22,204
2061,4.898132,2061-03-10,160
2062,12.247993,2062-03-30,180
2063,3.6738544,2063-04-19,200
2064,3.210359,2064-04-20,202
2065,1.7716361,2065-03-29,179
2066,5.3177614,2066-03-10,160
2067,3.4752817,2067-04-03,184
2068,2.785313,2068-01-21,112
2069,3.5313668,2069-02-21,143
2070,6.686905,2070-03-05,155
2071,8.70831,2071-03-29,179
2072,11.665344,2072-03-07,158
2073,3.191823,2072-12-10,70
2074,9.707714,2074-02-18,140
2075,4.2400107,2075-01-09,100
2076,2.6940422,2076-01-04,95
2077,3.690461,2077-02-13,135
2078,1.0864906,2077-11-17,47
2079,7.410108,2079-01-08,99
2080,1.5870124,2079-12-31,91
2081,2.5085528,2080-11-23,53
2082,2.3230827,2081-11-23,53
2083,1.9771054,2082-11-17,47
2084,2.665031,2083-12-08,68
2085,2.180085,2084-11-27,57
2086,1.3759301,2085-10-30,29
2087,5.2401967,2086-11-26,56
2088,4.6763277,2087-12-07,67
2089,0.9284094,2088-12-06,66
2090,1.5090635,2090-09-11,345
2091,0.87782896,2090-11-30,60
2092,3.3235886,2091-12-12,72
2093,1.6937358,2093-09-30,364
2094,3.200596,2094-09-30,364
2095,5.652626,2094-10-17,16
2096,1.4808751,2095-10-19,18
2097,2.3836348,2097-08-29,332
