,maxval,maxdate,maxarg
1981,15.150418,1981-03-28,178
1982,21.241316,1982-04-24,205
1983,11.924576,1983-03-27,177
1984,10.915199,1984-03-23,174
1985,18.589489,1985-03-28,178
1986,14.819319,1986-03-31,181
1987,16.480114,1987-03-07,157
1988,10.422201,1988-02-16,138
1989,9.555278,1989-02-01,123
1990,15.070237,1990-02-27,149
1991,10.401943,1991-02-17,139
1992,16.247614,1992-02-01,123
1993,13.826582,1993-02-02,124
1994,13.154703,1994-01-26,117
1995,13.039149,1995-01-15,106
1996,11.329633,1996-01-20,111
1997,14.406744,1997-01-05,96
1998,15.220577,1998-01-14,105
1999,10.002577,1999-01-08,99
2000,7.79624,1999-12-04,64
2001,12.209302,2000-12-26,86
2002,14.9257765,2002-01-02,93
2003,20.332058,2002-12-15,75
2004,13.353654,2003-12-05,65
2005,13.41651,2004-12-13,73
2006,17.462461,2005-11-24,54
2007,12.590079,2006-11-25,55
2008,12.781464,2008-09-30,365
2009,14.185896,2008-10-28,27
2010,12.568584,2010-09-23,357
2011,19.626966,2010-11-23,53
2012,12.863216,2011-10-03,2
2013,12.682264,2012-10-10,9
2014,11.895659,2014-01-23,114
2015,14.391987,2015-02-06,128
2016,13.562526,2016-02-07,129
2017,19.558704,2017-01-20,111
2018,12.36587,2018-02-01,123
2019,11.902766,2019-01-31,122
2020,8.988656,2020-01-02,93
2021,21.692099,2020-12-12,72
2022,13.138063,2021-12-24,84
2023,22.484362,2023-01-01,92
2024,11.322034,2024-01-11,102
2025,18.457417,2024-11-30,60
2026,11.909707,2025-12-08,68
2027,9.880585,2026-11-17,47
2028,10.123633,2027-12-12,72
2029,14.074289,2028-11-21,51
2030,9.477136,2029-11-17,47
2031,9.765733,2030-11-10,40
2032,11.070012,2031-11-01,31
2033,15.007726,2033-09-30,364
2034,17.555504,2033-10-17,16
2035,13.525672,2035-09-30,364
2036,15.83288,2035-10-20,19
2037,17.14004,2037-09-27,361
2038,17.507772,2038-09-24,358
2039,20.737507,2039-09-16,350
2040,20.31654,2039-10-05,4
2041,15.728687,2041-08-29,332
2042,10.799085,2041-10-01,0
2043,13.449893,2043-08-29,332
2044,11.668983,2044-08-23,327
2045,9.725772,2045-08-18,321
2046,18.770533,2046-08-11,314
2047,15.295367,2047-08-17,320
2048,13.178606,2048-08-19,323
2049,10.287125,2049-06-26,268
2050,14.769049,2050-07-24,296
2051,11.303378,2051-07-03,275
2052,10.301163,2052-07-10,283
2053,15.8918495,2053-07-08,280
2054,15.806375,2054-07-12,284
2055,10.891667,2055-06-22,264
2056,7.153973,2056-06-03,246
2057,13.856068,2057-06-13,255
2058,14.010658,2058-06-09,251
2059,12.044017,2059-05-29,240
2060,10.735903,2060-05-24,236
2061,6.506489,2061-04-16,197
2062,14.635513,2062-04-08,189
2063,10.241351,2063-05-14,225
2064,9.615637,2064-05-02,214
2065,7.3897734,2065-04-08,189
2066,9.260412,2066-05-08,219
2067,8.6441,2067-04-18,199
2068,11.004647,2068-04-13,195
2069,6.877225,2069-05-06,217
2070,10.154395,2070-03-20,170
2071,9.572922,2071-03-26,176
2072,14.677144,2072-03-28,179
2073,14.98967,2073-03-29,179
2074,14.751115,2074-03-13,163
2075,9.974838,2075-02-14,136
2076,11.764974,2076-02-03,125
2077,9.663352,2077-02-19,141
2078,9.38326,2078-02-03,125
2079,12.484172,2079-01-31,122
2080,10.249084,2080-01-22,113
2081,9.342987,2081-01-16,107
2082,5.425589,2082-01-06,97
2083,5.9942465,2083-01-14,105
2084,12.474814,2084-01-05,96
2085,11.10682,2084-12-30,90
2086,7.229491,2086-01-10,101
2087,10.351793,2087-01-16,107
2088,8.748755,2087-12-27,87
2089,7.3260536,2088-12-06,66
2090,4.333433,2090-09-27,361
2091,8.003774,2090-12-11,71
2092,8.300825,2092-09-30,365
2093,13.991287,2092-11-15,45
2094,8.921427,2093-12-03,63
2095,7.992876,2094-11-29,59
2096,7.9452963,2095-10-25,24
2097,6.35311,2097-09-30,364
