,maxval,maxdate,maxarg
1981,5.375871,1981-03-04,154
1982,10.227876,1982-02-18,140
1983,4.308303,1983-02-08,130
1984,4.5594463,1984-03-07,158
1985,6.5643015,1985-02-03,125
1986,9.062801,1986-03-15,165
1987,7.7590947,1987-02-23,145
1988,3.8442166,1988-01-18,109
1989,3.4988112,1989-01-16,107
1990,6.7661242,1990-01-15,106
1991,2.4646015,1991-01-01,92
1992,4.980421,1992-01-23,114
1993,5.924032,1993-01-11,102
1994,7.3908515,1994-09-30,364
1995,11.27964,1994-12-27,87
1996,6.358703,1995-12-30,90
1997,4.0099993,1996-12-13,73
1998,6.5805387,1998-01-01,92
1999,5.9410133,1998-12-15,75
2000,2.8445594,1999-11-17,47
2001,2.3728373,2000-11-19,49
2002,7.343478,2001-12-21,81
2003,3.5239182,2003-09-30,364
2004,8.189597,2003-10-23,22
2005,1.9428988,2004-10-23,22
2006,2.656376,2005-10-24,23
2007,3.8509834,2007-09-21,355
2008,4.967712,2007-10-28,27
2009,4.6128254,2008-10-02,1
2010,4.6998396,2009-10-07,6
2011,4.363811,2010-11-09,39
2012,2.9909217,2012-09-11,346
2013,1.7458363,2012-10-01,0
2014,3.2760205,2014-01-20,111
2015,3.5730684,2015-01-23,114
2016,6.504961,2016-01-15,106
2017,2.310236,2016-11-22,52
2018,2.2092133,2017-11-05,35
2019,2.3600929,2019-01-01,92
2020,1.5140458,2019-12-16,76
2021,2.0776362,2020-10-10,9
2022,5.5942335,2021-11-28,58
2023,2.1290147,2022-11-28,58
2024,5.293084,2023-12-05,65
2025,3.579407,2025-09-29,363
2026,4.311801,2025-10-22,21
2027,3.734799,2027-09-30,364
2028,4.07378,2027-11-19,49
2029,5.638025,2028-11-12,42
2030,3.2231164,2029-10-06,5
2031,3.0159879,2030-10-21,20
2032,2.6632624,2031-10-01,0
2033,7.071793,2033-09-29,363
2034,7.5215364,2033-10-03,2
2035,8.561074,2035-09-30,364
2036,9.20429,2035-10-02,1
2037,2.4885068,2037-07-26,298
2038,9.371625,2038-09-02,336
2039,7.642261,2038-10-01,0
2040,3.9373665,2040-08-23,327
2041,0.8514491,2041-07-29,301
2042,3.780975,2042-07-31,303
2043,5.307801,2043-08-03,306
2044,2.9624085,2044-07-08,281
2045,1.9088192,2045-05-02,213
2046,3.8807504,2046-06-09,251
2047,6.241171,2047-06-30,272
2048,5.2412653,2048-07-19,292
2049,0.59722,2049-06-21,263
2050,1.0704683,2050-04-25,206
2051,1.3720379,2051-05-01,212
2052,0.71707344,2052-07-03,276
2053,2.7634444,2053-06-03,245
2054,7.1366973,2054-07-05,277
2055,3.3793983,2055-06-09,251
2056,1.7265908,2056-03-06,157
2057,4.1144905,2057-05-22,233
2058,1.0925677,2058-05-06,217
2059,2.0950577,2059-04-25,206
2060,1.8211997,2060-05-02,214
2061,0.820694,2061-02-27,149
2062,0.855901,2062-03-01,151
2063,4.341071,2063-04-19,200
2064,1.0622041,2064-04-20,202
2065,1.2154937,2065-02-26,148
2066,1.1956912,2066-02-18,140
2067,1.0670477,2067-03-24,174
2068,3.1186626,2068-03-25,176
2069,3.5947282,2069-03-20,170
2070,2.9112117,2070-03-03,153
2071,4.4505434,2071-02-26,148
2072,5.9361305,2072-03-09,160
2073,1.1038562,2073-02-11,133
2074,7.350497,2074-02-19,141
2075,1.07363,2075-01-05,96
2076,0.3958873,2076-01-04,95
2077,1.6171712,2077-02-12,134
2078,2.1802943,2077-12-25,85
2079,3.1170135,2079-01-10,101
2080,2.0511134,2079-12-31,91
2081,2.8941891,2080-10-15,14
2082,1.7138216,2081-12-01,61
2083,0.97150576,2082-12-01,61
2084,0.8306963,2083-11-20,50
2085,2.0604343,2084-10-14,13
2086,0.58730006,2085-12-31,91
2087,3.7932253,2086-12-10,70
2088,2.2333205,2087-12-08,68
2089,1.9702338,2088-12-07,67
2090,1.4798843,2090-09-17,351
2091,1.3592092,2090-12-18,78
2092,1.7171562,2091-11-24,54
2093,1.3137234,2093-09-28,362
2094,3.0323942,2094-09-30,364
2095,5.0662885,2094-10-25,24
2096,0.887305,2096-09-04,339
2097,1.7078999,2096-10-11,10
