,maxval,maxdate,maxarg
1981,50.51553,1981-03-25,175
1982,34.749935,1982-03-05,155
1983,20.409304,1983-01-21,112
1984,7.472445,1984-01-31,122
1985,44.986115,1985-03-25,175
1986,16.205317,1986-02-05,127
1987,39.26628,1987-03-11,161
1988,49.391483,1988-02-23,145
1989,10.618818,1988-12-21,81
1990,36.14975,1990-01-21,112
1991,15.350596,1990-12-22,82
1992,8.042128,1992-01-04,95
1993,20.77445,1993-01-28,119
1994,19.218588,1993-12-08,68
1995,43.1553,1995-01-02,93
1996,18.455515,1996-01-22,113
1997,11.648989,1997-09-30,364
1998,25.258059,1997-12-10,70
1999,30.441353,1998-11-08,38
2000,10.264927,2000-09-14,349
2001,19.29963,2000-12-19,79
2002,14.790089,2002-08-27,330
2003,19.571892,2002-10-26,25
2004,20.364592,2003-11-04,34
2005,33.24345,2004-12-03,63
2006,21.65573,2006-09-30,364
2007,24.780754,2006-11-07,37
2008,25.869835,2007-10-30,29
2009,19.0224,2009-09-30,364
2010,20.777378,2010-09-09,343
2011,19.026196,2010-10-28,27
2012,16.239723,2011-10-02,1
2013,9.831908,2012-10-11,10
2014,8.78897,2013-12-08,68
2015,9.955336,2015-02-05,127
2016,10.969048,2015-11-28,58
2017,14.436522,2016-12-03,63
2018,26.814558,2017-11-03,33
2019,19.606575,2018-11-04,34
2020,10.155251,2019-11-24,54
2021,25.886677,2020-11-04,34
2022,13.548768,2022-09-13,347
2023,37.284973,2022-11-26,56
2024,13.004201,2024-09-12,347
2025,10.985441,2025-09-27,361
2026,27.305965,2025-12-05,65
2027,12.746724,2027-08-24,327
2028,14.207656,2027-12-16,76
2029,1.6649513,2028-10-30,29
2030,13.626674,2030-08-17,320
2031,15.988011,2030-11-22,52
2032,15.086519,2031-10-26,25
2033,14.199919,2033-09-23,357
2034,12.076453,2033-10-01,0
2035,8.878151,2034-10-24,23
2036,7.015164,2036-08-23,327
2037,12.35137,2037-06-22,264
2038,2.6911254,2038-06-16,258
2039,8.444584,2039-09-22,356
2040,8.38266,2040-09-16,351
2041,4.6422606,2041-05-17,228
2042,2.3352015,2042-07-09,281
2043,2.426228,2043-05-10,221
2044,4.344696,2044-05-12,224
2045,13.020354,2045-07-26,298
2046,15.526739,2046-07-05,277
2047,15.403883,2047-07-25,297
2048,5.6178303,2048-06-13,256
2049,5.2347445,2049-04-07,188
2050,6.449269,2050-06-29,271
2051,9.852278,2051-06-22,264
2052,5.6249304,2052-04-30,212
2053,12.077638,2053-04-19,200
2054,2.1738439,2054-04-08,189
2055,7.9292116,2055-06-29,271
2056,3.494435,2056-03-01,152
2057,14.962599,2057-05-24,235
2058,3.090676,2058-07-09,281
2059,2.8036613,2059-02-27,149
2060,1.4048405,2060-04-06,188
2061,5.763383,2061-03-11,161
2062,8.823239,2062-04-01,182
2063,3.0915825,2063-02-11,133
2064,3.397282,2064-02-09,131
2065,7.335448,2065-04-06,187
2066,11.996159,2066-03-10,160
2067,1.8158433,2066-12-20,80
2068,0.39007342,2068-01-16,107
2069,0.2928261,2069-02-23,145
2070,10.890462,2070-03-05,155
2071,3.9585648,2071-03-29,179
2072,7.0889792,2072-02-24,146
2073,3.4248784,2072-12-10,70
2074,2.1498973,2074-02-15,137
2075,4.2412567,2075-01-04,95
2076,8.30184,2076-01-28,119
2077,1.6801788,2076-12-07,67
2078,1.1742754,2077-12-31,91
2079,2.4011855,2078-11-22,52
2080,4.0661244,2079-12-05,65
2081,7.0313816,2080-11-29,59
2082,1.4059745,2081-11-24,54
2083,0.1059725,2082-12-08,68
2084,4.2600613,2083-12-15,75
2085,6.5031643,2084-11-27,57
2086,2.4557464,2085-10-16,15
2087,1.2834915,2086-10-29,28
2088,0.022837972,2088-09-11,346
2089,0.04124998,2088-11-18,48
2090,1.7709316,2089-10-28,27
2091,0.004450283,2091-09-14,348
2092,0.7865051,2091-11-04,34
2093,0.37696072,2092-11-01,31
2094,1.373516,2094-09-27,361
2095,0.79234123,2094-10-01,0
2096,2.605319,2095-11-11,41
2097,1.3170543,2097-08-12,315
