,maxval,maxdate,maxarg
1981,74.314995,1981-04-06,187
1982,48.281273,1982-03-31,181
1983,69.42187,1983-03-24,174
1984,57.0749,1984-04-17,199
1985,73.112885,1985-04-15,196
1986,43.483707,1986-03-11,161
1987,66.016136,1987-03-31,181
1988,59.89369,1988-02-28,150
1989,52.425255,1989-02-11,133
1990,50.09325,1990-02-25,147
1991,59.165028,1991-02-02,124
1992,38.08902,1992-02-20,142
1993,55.29967,1993-02-09,131
1994,52.583168,1994-01-27,118
1995,67.93715,1995-02-02,124
1996,38.88485,1996-01-23,114
1997,36.776203,1996-12-23,83
1998,53.551414,1998-01-22,113
1999,40.858936,1998-12-30,90
2000,39.405632,2000-01-06,97
2001,55.222115,2000-12-25,85
2002,36.209057,2001-11-21,51
2003,59.92043,2002-12-31,91
2004,55.414776,2004-09-30,365
2005,74.80242,2004-12-03,63
2006,55.81731,2005-12-27,87
2007,62.48772,2006-11-30,60
2008,56.914577,2007-12-02,62
2009,42.13192,2008-11-04,34
2010,50.511974,2009-10-26,25
2011,58.111385,2011-09-30,364
2012,67.44713,2011-11-03,33
2013,57.84843,2012-11-11,41
2014,47.441715,2014-02-11,133
2015,53.397896,2015-02-08,130
2016,35.471363,2016-01-12,103
2017,67.34232,2017-01-26,117
2018,86.125,2018-02-07,129
2019,32.567444,2019-01-11,102
2020,66.72765,2020-01-26,117
2021,73.663086,2021-01-04,95
2022,43.023163,2022-01-12,103
2023,55.009575,2023-01-12,103
2024,38.938435,2023-11-16,46
2025,48.31717,2025-01-03,94
2026,41.5955,2025-12-10,70
2027,58.35573,2026-11-27,57
2028,69.14226,2027-12-26,86
2029,30.366749,2028-11-29,59
2030,38.20139,2030-09-30,364
2031,59.957153,2030-12-03,63
2032,36.286392,2031-11-12,42
2033,46.54952,2033-09-30,364
2034,49.558723,2033-10-25,24
2035,56.166622,2034-10-28,27
2036,46.979958,2035-10-07,6
2037,33.393734,2037-08-27,330
2038,29.583687,2037-10-01,0
2039,57.477776,2039-09-30,364
2040,67.53058,2040-09-22,357
2041,67.47493,2040-10-13,12
2042,56.64806,2041-10-08,7
2043,24.266832,2043-08-04,307
2044,37.545807,2044-07-21,294
2045,38.74882,2045-09-16,350
2046,34.493,2046-08-20,323
2047,34.82439,2047-08-17,320
2048,31.69385,2048-08-03,307
2049,34.57392,2049-08-11,314
2050,31.724436,2050-08-17,320
2051,37.772526,2051-07-02,274
2052,19.460575,2052-07-24,297
2053,34.149227,2053-06-22,264
2054,27.818628,2054-07-14,286
2055,29.986902,2055-07-18,290
2056,17.332708,2056-05-19,231
2057,37.163116,2057-07-04,276
2058,28.268843,2058-06-01,243
2059,10.930193,2059-03-04,154
2060,19.604406,2060-04-24,206
2061,44.253677,2061-06-20,262
2062,42.79404,2062-05-09,220
2063,20.127176,2063-04-21,202
2064,39.55329,2064-05-12,224
2065,35.70026,2065-04-29,210
2066,28.02706,2066-03-13,163
2067,14.88541,2067-05-11,222
2068,25.783274,2068-04-01,183
2069,15.084247,2069-02-24,146
2070,34.31333,2070-03-28,178
2071,12.755935,2071-03-30,180
2072,20.138023,2072-03-24,175
2073,28.013138,2073-03-16,166
2074,6.634356,2074-02-20,142
2075,39.199574,2075-04-04,185
2076,40.27767,2076-02-05,127
2077,13.090987,2077-02-23,145
2078,12.463362,2078-01-15,106
2079,10.782051,2079-01-23,114
2080,12.820644,2080-01-20,111
2081,11.843792,2081-01-29,120
2082,2.180956,2082-09-24,358
2083,14.428319,2082-12-09,69
2084,21.606897,2084-01-09,100
2085,35.559944,2085-02-06,128
2086,8.608279,2085-11-06,36
2087,3.7073555,2086-12-15,75
2088,4.4030757,2088-09-28,363
2089,5.3853607,2088-11-21,51
2090,7.4505935,2089-11-10,40
2091,4.7170215,2090-10-10,9
2092,3.9601843,2091-11-04,34
2093,3.7554574,2093-08-13,316
2094,8.733793,2094-09-30,364
2095,9.059855,2094-10-02,1
2096,23.15035,2095-11-21,51
2097,6.8181357,2097-08-30,333
