,maxval,maxdate,maxarg
1981,17.288923,1981-03-23,173
1982,15.311322,1982-02-20,142
1983,4.378786,1983-01-22,113
1984,5.4069285,1984-01-31,122
1985,19.182985,1985-03-06,156
1986,7.0191636,1986-02-07,129
1987,10.944009,1987-03-01,151
1988,14.133938,1988-01-27,118
1989,0.90503895,1988-11-29,59
1990,18.320704,1990-01-19,110
1991,7.4899197,1990-12-21,81
1992,8.633338,1992-01-04,95
1993,4.8884015,1992-12-06,66
1994,5.4988,1994-09-30,364
1995,9.966418,1994-12-19,79
1996,6.8930387,1996-01-11,102
1997,6.4389033,1997-09-30,364
1998,9.822786,1997-12-09,69
1999,10.358332,1998-11-19,49
2000,3.997588,1999-11-25,55
2001,3.929309,2001-09-29,363
2002,6.405052,2001-11-10,40
2003,7.2636895,2003-07-24,296
2004,9.304747,2004-09-26,361
2005,9.351188,2004-10-04,3
2006,5.45797,2006-09-28,362
2007,5.365806,2006-10-02,1
2008,10.384734,2008-09-21,356
2009,7.52542,2008-10-01,0
2010,14.193119,2010-09-08,342
2011,13.255119,2010-10-28,27
2012,12.52074,2012-08-25,329
2013,8.032579,2012-10-08,7
2014,8.018084,2013-12-07,67
2015,3.7878823,2015-09-30,364
2016,5.866295,2015-11-12,42
2017,11.837287,2016-12-01,61
2018,7.132796,2017-11-05,35
2019,8.654012,2018-11-03,33
2020,2.5453103,2019-10-22,21
2021,9.5559225,2020-11-04,34
2022,4.062522,2022-09-13,347
2023,9.05961,2022-11-25,55
2024,2.1646965,2024-09-13,348
2025,6.0617948,2025-09-28,362
2026,9.050034,2025-12-04,64
2027,5.1285257,2027-09-30,364
2028,5.725017,2027-11-04,34
2029,1.3596054,2029-09-17,351
2030,4.1325006,2030-08-17,320
2031,3.442364,2030-11-01,31
2032,2.2455473,2032-08-28,332
2033,8.408468,2033-09-17,351
2034,6.171041,2033-10-01,0
2035,1.9844009,2035-08-11,314
2036,1.7060802,2036-08-16,320
2037,3.3319337,2037-06-22,264
2038,0.9075634,2038-08-20,323
2039,2.029068,2039-05-21,232
2040,7.172805,2040-09-15,350
2041,2.0076866,2041-05-15,226
2042,1.2132437,2042-07-09,281
2043,1.5529033,2043-05-07,218
2044,2.6512496,2044-06-22,265
2045,3.5037425,2045-07-25,297
2046,9.446238,2046-06-26,268
2047,5.1057296,2047-07-22,294
2048,1.9246193,2048-06-02,245
2049,1.7887218,2049-04-06,187
2050,1.1293392,2050-07-19,291
2051,4.562989,2051-05-16,227
2052,2.138215,2052-03-22,173
2053,3.6468809,2053-04-19,200
2054,2.0405416,2054-04-06,187
2055,2.8936787,2055-05-01,212
2056,0.9911125,2056-04-24,206
2057,5.459065,2057-05-23,234
2058,0.70668054,2058-05-12,223
2059,2.5615196,2059-04-29,210
2060,1.0599684,2060-04-04,186
2061,4.820453,2061-02-27,149
2062,3.9941452,2062-03-03,153
2063,1.7629312,2063-03-15,165
2064,3.042082,2064-02-02,124
2065,2.0597622,2065-03-30,180
2066,3.2693362,2066-02-18,140
2067,1.4458323,2067-03-22,172
2068,0.5320674,2068-03-31,182
2069,0.6351416,2069-01-16,107
2070,5.0018477,2070-02-27,149
2071,2.4009473,2071-01-10,101
2072,4.2101192,2072-02-22,144
2073,2.5004315,2072-12-10,70
2074,1.8134264,2074-01-19,110
2075,1.9755203,2074-12-29,89
2076,3.2555597,2076-01-29,120
2077,0.70939,2076-12-09,69
2078,1.4469501,2077-11-17,47
2079,2.4683268,2078-11-22,52
2080,1.2351204,2079-12-24,84
2081,0.62148947,2080-10-24,23
2082,0.3611161,2081-11-13,43
2083,0.975737,2082-12-19,79
2084,1.727435,2083-12-03,63
2085,1.6467015,2084-12-26,86
2086,1.5333765,2085-10-28,27
2087,1.1078672,2086-11-22,52
2088,0.9397964,2088-09-12,347
2089,0.23878703,2089-01-05,96
2090,0.22897077,2089-10-01,0
2091,0.01342273,2091-08-29,332
2092,0.5767456,2091-11-26,56
2093,0.4359224,2092-10-21,20
2094,0.30289322,2093-11-17,47
2095,0.29679123,2095-08-08,311
2096,0.3517279,2095-10-18,17
2097,1.2189095,2097-09-30,364
