,maxval,maxdate,maxarg
1981,20.111414,1981-03-30,180
1982,34.323402,1982-04-22,203
1983,20.084934,1983-03-30,180
1984,17.626867,1984-04-24,206
1985,25.665022,1985-04-06,187
1986,14.276261,1986-03-30,180
1987,24.178394,1987-04-07,188
1988,19.685509,1988-03-16,167
1989,14.918831,1989-02-11,133
1990,23.641687,1990-03-09,159
1991,20.863947,1991-02-19,141
1992,18.764212,1992-02-13,135
1993,20.214203,1993-02-06,128
1994,18.944178,1994-01-29,120
1995,23.603655,1995-02-10,132
1996,18.832993,1996-01-20,111
1997,15.011964,1997-01-11,102
1998,25.639223,1998-01-15,106
1999,11.973157,1999-01-08,99
2000,20.772861,2000-01-04,95
2001,14.406687,2000-12-27,87
2002,18.923283,2002-01-04,95
2003,29.01853,2003-01-02,93
2004,26.921696,2003-12-12,72
2005,23.19706,2004-12-19,79
2006,23.759203,2005-11-27,57
2007,22.6131,2006-12-08,68
2008,20.03516,2008-09-30,365
2009,24.38357,2008-11-05,35
2010,21.159782,2009-11-13,43
2011,23.352793,2011-09-30,364
2012,25.84302,2011-10-27,26
2013,24.798622,2012-10-19,18
2014,17.220156,2014-02-04,126
2015,26.514502,2015-02-26,148
2016,16.223572,2016-02-15,137
2017,33.02702,2017-01-25,116
2018,25.886194,2018-02-03,125
2019,20.835741,2019-01-23,114
2020,18.598106,2020-01-11,102
2021,26.666294,2021-01-05,96
2022,16.769056,2022-01-11,102
2023,29.063757,2023-01-16,107
2024,19.613394,2024-01-11,102
2025,24.087868,2024-12-29,89
2026,16.482553,2025-12-16,76
2027,15.044718,2026-11-24,54
2028,18.183907,2027-12-13,73
2029,17.930546,2028-12-03,63
2030,16.941877,2029-12-01,61
2031,16.395758,2030-11-19,49
2032,18.988993,2032-09-30,365
2033,23.75901,2032-11-25,55
2034,20.59166,2034-09-30,364
2035,24.986702,2034-10-29,28
2036,24.789827,2035-10-31,30
2037,22.665495,2036-10-22,21
2038,18.588705,2037-10-19,18
2039,25.9728,2039-09-30,364
2040,26.524946,2039-10-15,14
2041,27.075975,2041-09-26,360
2042,25.826632,2041-10-09,8
2043,14.9664955,2043-08-31,334
2044,19.174019,2044-08-31,335
2045,17.102022,2045-09-15,349
2046,25.069855,2046-08-20,323
2047,25.309702,2047-08-27,330
2048,18.505297,2048-08-07,311
2049,20.03957,2049-07-30,302
2050,21.654615,2050-08-16,319
2051,26.326078,2051-08-01,304
2052,22.164463,2052-07-16,289
2053,22.088976,2053-07-10,282
2054,13.465453,2054-07-14,286
2055,16.064539,2055-07-06,278
2056,15.00388,2056-06-04,247
2057,19.922396,2057-07-05,277
2058,21.965376,2058-06-21,263
2059,20.645061,2059-06-02,244
2060,16.395906,2060-05-27,239
2061,19.768679,2061-06-12,254
2062,26.423903,2062-06-18,260
2063,12.944661,2063-05-13,224
2064,25.168848,2064-05-31,243
2065,18.70828,2065-04-29,210
2066,23.015453,2066-05-07,218
2067,22.258366,2067-05-03,214
2068,13.982126,2068-05-02,214
2069,12.48813,2069-03-07,157
2070,13.542453,2070-03-29,179
2071,15.145177,2071-04-21,202
2072,15.64561,2072-03-28,179
2073,23.228767,2073-03-29,179
2074,13.171914,2074-03-31,181
2075,17.4222,2075-03-09,159
2076,18.121054,2076-02-07,129
2077,16.86354,2077-02-23,145
2078,12.414876,2078-02-16,138
2079,13.283497,2079-02-01,123
2080,15.468672,2080-03-20,171
2081,25.854567,2081-01-25,116
2082,9.37846,2082-01-26,117
2083,16.829683,2083-01-19,110
2084,22.545826,2084-02-20,142
2085,23.02299,2085-01-15,106
2086,16.309807,2086-02-08,130
2087,17.090736,2087-01-14,105
2088,13.944915,2087-12-27,87
2089,12.845578,2089-01-14,105
2090,10.304811,2089-12-22,82
2091,16.283049,2091-01-04,95
2092,16.711262,2091-12-04,64
2093,14.885748,2092-11-19,49
2094,16.272459,2093-11-26,56
2095,12.036545,2094-11-08,38
2096,16.780403,2095-12-06,66
2097,9.729425,2096-11-13,43
