,maxval,maxdate,maxarg
1981,31.810064,1981-03-23,173
1982,29.979902,1982-03-04,154
1983,6.826442,1983-01-22,113
1984,8.033303,1984-01-31,122
1985,28.435213,1985-03-24,174
1986,21.42048,1986-02-19,141
1987,26.782091,1987-03-01,151
1988,16.78515,1988-01-27,118
1989,1.9599361,1989-09-30,364
1990,34.698017,1990-01-18,109
1991,17.834927,1991-02-07,129
1992,26.12533,1992-01-04,95
1993,12.5456295,1992-12-07,67
1994,11.832387,1994-09-30,364
1995,22.701334,1995-01-01,92
1996,22.32913,1996-01-11,102
1997,10.018227,1996-11-07,37
1998,21.274546,1997-12-30,90
1999,15.970043,1998-11-19,49
2000,11.283238,1999-11-25,55
2001,8.3396635,2001-09-28,362
2002,12.264664,2001-11-15,45
2003,16.92203,2002-11-26,56
2004,19.157215,2004-09-30,365
2005,19.159317,2004-10-01,0
2006,19.052725,2005-11-13,43
2007,15.491225,2006-11-07,37
2008,24.552692,2008-09-22,357
2009,22.602772,2008-10-01,0
2010,23.635408,2010-09-09,343
2011,26.938969,2010-10-29,28
2012,20.881563,2012-08-27,331
2013,17.02213,2012-10-01,0
2014,11.5764675,2013-12-08,68
2015,8.532747,2015-02-09,131
2016,10.040978,2015-11-20,50
2017,24.869091,2016-11-30,60
2018,14.974242,2017-11-25,55
2019,6.654309,2019-01-05,96
2020,6.995422,2020-09-30,365
2021,29.273722,2020-11-02,32
2022,7.941877,2022-09-13,347
2023,26.255625,2022-11-25,55
2024,5.321663,2024-09-30,365
2025,10.168286,2025-09-28,362
2026,23.851038,2025-12-03,63
2027,8.339474,2027-09-30,364
2028,8.410571,2027-10-05,4
2029,5.4809494,2028-10-30,29
2030,5.6074343,2029-10-04,3
2031,4.5736485,2031-09-26,360
2032,16.427456,2032-09-26,361
2033,26.136635,2033-09-18,352
2034,27.040108,2033-10-09,8
2035,10.137386,2034-10-09,8
2036,4.630575,2036-08-22,326
2037,8.896941,2037-08-26,329
2038,5.118216,2038-09-06,340
2039,13.59622,2039-08-12,315
2040,16.680817,2040-09-15,350
2041,8.970524,2040-10-01,0
2042,1.5231117,2042-04-23,204
2043,2.7832606,2043-07-17,289
2044,8.7919855,2044-06-23,266
2045,6.362346,2045-07-25,297
2046,9.829655,2046-06-24,266
2047,9.949241,2047-07-21,293
2048,13.098902,2048-07-06,279
2049,6.2627034,2049-06-23,265
2050,1.7986751,2050-07-20,292
2051,3.3582795,2051-05-15,226
2052,3.2649302,2052-03-22,173
2053,4.9651217,2053-06-09,251
2054,9.284256,2054-04-05,186
2055,5.8434176,2055-05-20,231
2056,1.7709028,2056-03-03,154
2057,16.689713,2057-07-10,282
2058,7.050813,2058-05-13,224
2059,8.24139,2059-04-29,210
2060,4.358073,2060-04-21,203
2061,8.423828,2061-05-28,239
2062,11.5976515,2062-03-27,177
2063,3.3650196,2063-03-15,165
2064,4.149567,2064-01-03,94
2065,3.5668378,2065-03-30,180
2066,5.1888223,2066-03-10,160
2067,5.481285,2067-03-23,173
2068,4.33913,2068-01-21,112
2069,1.6827087,2069-02-22,144
2070,8.620283,2070-02-19,141
2071,4.375608,2071-01-12,103
2072,12.480926,2072-02-23,145
2073,6.704374,2072-12-10,70
2074,13.249684,2074-02-18,140
2075,3.9163785,2075-01-09,100
2076,3.0931726,2076-01-20,111
2077,1.8888484,2077-02-12,134
2078,2.1716895,2077-12-21,81
2079,9.325438,2078-11-25,55
2080,2.1276627,2079-12-24,84
2081,2.9359856,2080-10-14,13
2082,1.740228,2081-11-13,43
2083,1.6771277,2082-11-17,47
2084,3.4080136,2083-12-03,63
2085,3.7574344,2084-11-12,42
2086,2.151482,2085-10-28,27
2087,6.58595,2086-11-23,53
2088,4.978798,2087-12-01,61
2089,1.5553422,2089-08-10,313
2090,2.125288,2090-09-12,346
2091,1.2126248,2090-11-30,60
2092,5.2730103,2091-12-12,72
2093,1.4445999,2093-09-27,361
2094,1.4077356,2094-09-30,364
2095,2.6709573,2094-11-16,46
2096,3.2198596,2095-10-18,17
2097,2.4470298,2097-08-14,317
