,maxval,maxdate,maxarg
1981,3.4177315,1981-03-04,154
1982,4.718071,1982-01-09,100
1983,0.92063665,1983-04-24,205
1984,2.1448421,1984-04-21,203
1985,4.1487694,1985-01-12,103
1986,3.064086,1986-03-14,164
1987,4.792548,1987-01-31,122
1988,1.4028567,1987-12-18,78
1989,2.474485,1988-12-25,85
1990,2.847669,1990-01-03,94
1991,2.200009,1990-11-04,34
1992,1.7462261,1991-11-26,56
1993,3.0106947,1992-12-15,75
1994,2.8099878,1994-09-30,364
1995,5.202702,1994-11-27,57
1996,0.8134952,1995-10-29,28
1997,1.3819289,1997-09-30,364
1998,1.7275442,1997-10-03,2
1999,1.9675808,1998-11-09,39
2000,0.6875132,2000-09-03,338
2001,1.2668964,2001-09-29,363
2002,2.1075587,2002-08-21,324
2003,0.6637853,2003-07-16,288
2004,3.9289556,2004-09-10,345
2005,3.6106205,2004-10-01,0
2006,1.875131,2006-08-11,314
2007,1.8779795,2007-08-31,334
2008,3.9621139,2008-08-26,330
2009,0.7645731,2009-06-24,266
2010,2.3399189,2010-07-30,302
2011,1.3768432,2011-08-03,306
2012,1.6622654,2012-07-22,295
2013,0.7280534,2013-07-06,278
2014,3.806623,2013-12-15,75
2015,1.8540066,2015-09-30,364
2016,5.18007,2015-12-03,63
2017,1.2040476,2016-10-16,15
2018,1.4137148,2017-11-04,34
2019,1.1629063,2018-11-18,48
2020,0.7648239,2019-10-14,13
2021,3.6600077,2020-10-19,18
2022,0.86579245,2021-11-28,58
2023,2.3333833,2023-09-04,338
2024,3.1439948,2024-09-14,349
2025,1.540836,2024-10-01,0
2026,1.3343856,2025-10-01,0
2027,1.7052072,2027-09-15,349
2028,0.8383865,2027-11-18,48
2029,1.4972826,2029-09-18,352
2030,1.9718997,2030-08-18,321
2031,1.5652491,2031-09-18,352
2032,0.9446447,2031-10-21,20
2033,1.5298053,2033-06-24,266
2034,1.73524,2034-07-21,293
2035,1.9037102,2035-06-27,269
2036,1.0393395,2036-06-10,253
2037,1.4088469,2037-07-28,300
2038,1.3112957,2038-08-28,331
2039,1.0659492,2039-05-14,225
2040,1.3448808,2040-08-06,310
2041,1.7706989,2041-05-17,228
2042,1.2538878,2042-07-06,278
2043,0.9263808,2043-09-13,347
2044,1.3799871,2044-06-02,245
2045,1.566425,2045-07-21,293
2046,2.3903606,2046-06-13,255
2047,2.6545315,2047-06-06,248
2048,3.6728618,2048-06-02,245
2049,0.63256025,2049-06-16,258
2050,0.61123586,2050-04-20,201
2051,1.6992469,2051-05-07,218
2052,0.5102862,2052-04-10,192
2053,3.4560926,2053-05-29,240
2054,1.2057029,2054-03-29,179
2055,2.391355,2055-03-12,162
2056,0.5222047,2056-04-24,206
2057,3.993751,2057-05-22,233
2058,2.0822525,2058-06-06,248
2059,1.4550303,2059-06-13,255
2060,0.77227604,2060-03-16,167
2061,2.2031546,2061-03-13,163
2062,1.5763013,2062-01-31,122
2063,2.0260146,2063-03-16,166
2064,0.8493791,2064-01-05,96
2065,1.657079,2065-03-10,160
2066,1.66931,2066-01-12,103
2067,0.9602793,2067-03-24,174
2068,1.2234582,2068-01-19,110
2069,0.6791239,2069-02-22,144
2070,0.68986547,2070-02-03,125
2071,2.4987211,2071-01-13,104
2072,1.6005627,2071-12-21,81
2073,0.8856703,2073-02-11,133
2074,1.1458038,2074-01-05,96
2075,0.64731175,2075-03-08,158
2076,0.40814054,2075-11-22,52
2077,1.2298465,2076-12-11,71
2078,1.021632,2077-12-21,81
2079,0.7027183,2078-11-10,40
2080,1.3866072,2079-12-30,90
2081,1.1232264,2080-10-15,14
2082,0.81946886,2081-11-15,45
2083,0.96751773,2082-11-18,48
2084,0.72063386,2083-12-30,90
2085,1.5709825,2084-12-24,84
2086,0.6434712,2085-10-30,29
2087,0.8720035,2086-10-24,23
2088,1.1887497,2087-12-01,61
2089,0.63826543,2089-09-30,364
2090,0.64757925,2089-10-01,0
2091,0.87646496,2090-11-07,37
2092,0.71621495,2091-11-22,52
2093,1.3908902,2092-12-11,71
2094,0.5820348,2093-10-01,0
2095,1.4454708,2094-10-18,17
2096,0.45666242,2095-10-07,6
2097,0.4189037,2097-08-16,319
