,maxval,maxdate,maxarg
1981,17.110483,1981-03-23,173
1982,20.590977,1982-04-14,195
1983,13.901422,1983-03-17,167
1984,13.618928,1984-03-19,170
1985,13.276944,1985-03-06,156
1986,16.847116,1986-03-31,181
1987,19.554039,1987-03-02,152
1988,10.360837,1988-01-29,120
1989,8.897359,1989-02-24,146
1990,18.710186,1990-02-23,145
1991,13.602838,1991-02-13,135
1992,7.615558,1992-01-24,115
1993,17.016705,1993-02-01,123
1994,11.392732,1993-12-29,89
1995,18.112385,1995-01-25,116
1996,11.145642,1995-12-28,88
1997,10.678074,1996-12-25,85
1998,17.413073,1998-01-02,93
1999,13.136122,1999-01-07,98
2000,7.656661,1999-11-18,48
2001,10.282035,2001-09-28,362
2002,28.831749,2001-12-29,89
2003,17.910704,2002-12-09,69
2004,16.765581,2003-12-03,63
2005,11.9044485,2004-11-29,59
2006,10.84787,2005-11-15,45
2007,10.838814,2006-10-24,23
2008,13.412888,2007-11-12,42
2009,18.65518,2009-09-28,362
2010,20.800877,2009-10-16,15
2011,17.688215,2010-11-10,40
2012,11.782159,2012-09-30,365
2013,11.773318,2012-10-01,0
2014,8.458574,2014-01-22,113
2015,13.10797,2015-01-29,120
2016,13.028564,2016-01-27,118
2017,15.843704,2017-01-15,106
2018,11.559332,2017-12-16,76
2019,19.23544,2019-02-03,125
2020,7.095277,2019-12-16,76
2021,16.184275,2020-12-11,71
2022,13.857926,2021-12-28,88
2023,15.402797,2022-12-26,86
2024,14.441779,2023-12-18,78
2025,14.151841,2024-11-24,54
2026,8.593356,2025-11-23,53
2027,6.7717032,2027-09-30,364
2028,13.5588875,2028-09-30,365
2029,20.21741,2028-11-15,45
2030,7.1950917,2030-09-30,364
2031,15.456054,2031-09-29,363
2032,17.266006,2031-10-30,29
2033,17.076712,2033-09-30,364
2034,17.712437,2033-10-16,15
2035,9.660147,2034-10-01,0
2036,10.69471,2035-10-10,9
2037,10.698316,2037-09-17,351
2038,17.260092,2038-09-30,364
2039,17.309313,2038-10-01,0
2040,8.695155,2040-08-24,328
2041,6.4125047,2041-07-31,303
2042,7.399123,2042-08-20,323
2043,15.320496,2043-08-27,330
2044,6.3376727,2044-07-20,293
2045,10.897519,2045-08-12,315
2046,8.590826,2046-07-05,277
2047,21.467949,2047-07-17,289
2048,16.239685,2048-07-19,292
2049,2.2118914,2049-05-30,241
2050,7.7557125,2050-06-24,266
2051,7.843834,2051-06-21,263
2052,4.358395,2052-06-18,261
2053,11.998626,2053-06-21,263
2054,13.747771,2054-07-05,277
2055,11.420144,2055-06-15,257
2056,7.7173424,2056-06-01,244
2057,11.45322,2057-06-11,253
2058,8.623975,2058-06-07,249
2059,12.850641,2059-05-09,220
2060,10.2826,2060-05-18,230
2061,3.0588171,2061-03-13,163
2062,4.7106686,2062-03-27,177
2063,12.377182,2063-05-09,220
2064,1.4089293,2064-02-01,123
2065,7.561646,2065-04-08,189
2066,11.402215,2066-05-08,219
2067,2.7261689,2067-02-24,146
2068,5.9940658,2068-03-20,171
2069,4.848243,2069-03-19,169
2070,8.706759,2070-03-05,155
2071,8.144565,2071-02-25,147
2072,25.403831,2072-03-27,178
2073,6.4600415,2073-02-12,134
2074,12.857758,2074-03-13,163
2075,8.0155945,2075-02-07,129
2076,2.5314147,2076-01-05,96
2077,11.181567,2077-02-14,136
2078,8.0360565,2078-02-11,133
2079,8.441755,2079-01-12,103
2080,6.392351,2080-01-17,108
2081,2.49742,2080-10-16,15
2082,7.427021,2082-01-02,93
2083,5.2608266,2082-12-28,88
2084,3.2569985,2083-12-04,64
2085,7.6804004,2084-12-24,84
2086,3.7108393,2086-01-05,96
2087,5.6253333,2086-12-08,68
2088,5.382513,2087-12-09,69
2089,1.821614,2088-11-20,50
2090,2.3174562,2089-10-29,28
2091,1.4110284,2090-10-07,6
2092,1.693991,2092-09-27,362
2093,2.8686173,2092-11-02,32
2094,6.0753193,2093-11-17,47
2095,4.5150313,2094-10-25,24
2096,2.069893,2095-10-16,15
2097,6.6966567,2097-09-30,364
