,maxval,maxdate,maxarg
1981,13.281295,1981-03-29,179
1982,19.848007,1982-03-21,171
1983,11.683553,1983-03-26,176
1984,9.094224,1984-03-21,172
1985,15.346325,1985-03-29,179
1986,8.064394,1986-03-14,164
1987,15.240824,1987-03-12,162
1988,9.533636,1988-02-24,146
1989,9.980008,1989-02-10,132
1990,15.979833,1990-02-26,148
1991,13.841889,1991-02-08,130
1992,10.052325,1992-02-02,124
1993,10.76105,1993-02-05,127
1994,10.188374,1994-01-12,103
1995,16.719376,1995-01-21,112
1996,10.323251,1996-01-21,112
1997,9.262468,1996-12-24,84
1998,15.007566,1997-12-31,91
1999,7.8387938,1998-12-10,70
2000,7.8968735,1999-12-04,64
2001,7.048905,2000-12-25,85
2002,10.871445,2001-12-30,90
2003,16.13448,2002-12-18,78
2004,15.440289,2003-12-03,63
2005,15.015811,2004-12-17,77
2006,12.318042,2005-11-19,49
2007,9.7568,2006-11-10,40
2008,11.411247,2007-11-02,32
2009,11.638455,2009-09-29,363
2010,13.369431,2009-11-10,40
2011,13.993479,2011-09-30,364
2012,14.210992,2012-09-30,365
2013,14.82967,2012-10-13,12
2014,10.71438,2014-01-25,116
2015,19.227736,2015-02-10,132
2016,9.450861,2016-02-01,123
2017,19.686647,2017-01-22,113
2018,14.6332855,2018-02-01,123
2019,10.47166,2019-01-11,102
2020,11.289012,2019-12-25,85
2021,13.760856,2021-01-04,95
2022,10.888784,2022-01-11,102
2023,17.751389,2022-12-30,90
2024,8.591335,2023-12-12,72
2025,13.945598,2024-12-10,70
2026,11.429206,2025-12-06,66
2027,10.625498,2026-11-17,47
2028,10.83282,2027-11-28,58
2029,12.88977,2028-11-14,44
2030,7.062008,2030-09-30,364
2031,8.910866,2030-11-12,42
2032,12.264741,2032-09-30,365
2033,12.459048,2032-10-06,5
2034,12.745747,2034-09-30,364
2035,14.79604,2034-10-29,28
2036,14.198836,2035-10-07,6
2037,12.349933,2037-09-21,355
2038,13.823999,2038-09-10,344
2039,16.82215,2039-09-30,364
2040,17.518064,2039-10-07,6
2041,13.428302,2041-09-08,342
2042,9.634735,2041-10-01,0
2043,9.645717,2043-08-30,333
2044,12.326812,2044-07-22,295
2045,10.080445,2045-08-18,321
2046,11.692953,2046-07-31,303
2047,18.136797,2047-08-16,319
2048,12.4474745,2048-07-24,297
2049,9.643607,2049-06-29,271
2050,12.083001,2050-07-27,299
2051,12.783751,2051-07-02,274
2052,12.629089,2052-07-13,286
2053,15.575809,2053-06-26,268
2054,7.801467,2054-07-06,278
2055,10.679619,2055-06-25,267
2056,7.8376937,2056-05-25,237
2057,10.185918,2057-06-29,271
2058,11.848317,2058-06-06,248
2059,9.328049,2059-05-15,226
2060,8.645863,2060-05-17,229
2061,16.670765,2061-05-21,232
2062,17.635405,2062-05-14,225
2063,6.043604,2063-04-22,203
2064,15.167203,2064-05-13,225
2065,9.835425,2065-04-09,190
2066,11.0273695,2066-03-25,175
2067,7.121118,2067-04-12,193
2068,6.5409985,2068-03-23,174
2069,7.563549,2069-02-26,148
2070,8.785513,2070-03-25,175
2071,12.167382,2071-03-30,180
2072,9.357362,2072-03-26,177
2073,12.738495,2073-03-19,169
2074,6.5348916,2074-03-02,152
2075,11.432675,2075-03-09,159
2076,13.423003,2076-02-05,127
2077,7.999878,2077-02-23,145
2078,6.699973,2078-02-03,125
2079,8.799676,2079-01-30,121
2080,8.029088,2080-01-22,113
2081,12.170444,2081-01-24,115
2082,5.8373127,2082-01-07,98
2083,6.04525,2082-12-09,69
2084,11.774362,2084-01-08,99
2085,15.012664,2085-01-04,95
2086,6.3973784,2085-12-12,72
2087,7.7808886,2086-12-11,71
2088,7.4365635,2087-12-15,75
2089,7.1767597,2088-12-06,66
2090,5.199565,2090-09-26,360
2091,6.8805237,2090-11-14,44
2092,8.721716,2091-12-11,71
2093,9.806168,2092-11-15,45
2094,6.619,2094-09-30,364
2095,8.813161,2094-10-22,21
2096,6.52152,2095-11-26,56
2097,5.4429193,2097-09-30,364
