,maxval,maxdate,maxarg
1981,52.325333,1981-03-26,176
1982,36.172478,1982-03-05,155
1983,37.84283,1983-03-23,173
1984,12.93816,1984-02-01,123
1985,45.986294,1985-03-25,175
1986,19.395681,1986-03-12,162
1987,43.93545,1987-03-26,176
1988,41.90839,1988-02-23,145
1989,20.275219,1989-02-03,125
1990,41.16133,1990-02-24,146
1991,30.439028,1991-02-10,132
1992,12.849966,1992-01-22,113
1993,15.981276,1993-01-31,122
1994,21.805805,1993-12-11,71
1995,49.468704,1995-01-02,93
1996,20.041819,1996-01-22,113
1997,21.62436,1997-09-30,364
1998,34.445885,1997-12-30,90
1999,25.685108,1998-11-08,38
2000,9.492432,2000-09-14,349
2001,19.640793,2000-12-19,79
2002,18.34624,2002-09-21,355
2003,32.32019,2002-12-31,91
2004,28.197441,2003-12-10,70
2005,29.750626,2004-12-03,63
2006,24.827854,2005-11-17,47
2007,28.65641,2006-11-08,38
2008,32.367928,2008-09-28,363
2009,33.621433,2008-10-26,25
2010,27.861095,2010-09-22,356
2011,30.091562,2010-11-01,31
2012,30.203457,2012-08-27,331
2013,26.193985,2012-10-11,10
2014,17.780542,2014-01-13,104
2015,21.731096,2015-02-10,132
2016,15.612697,2016-01-09,100
2017,27.178074,2017-01-21,112
2018,33.274334,2018-01-31,122
2019,20.174753,2018-11-04,34
2020,23.937056,2020-01-09,100
2021,39.208683,2021-01-03,94
2022,19.992395,2022-09-30,364
2023,43.66481,2022-11-27,57
2024,15.965808,2024-09-13,348
2025,13.837206,2024-10-15,14
2026,27.477158,2025-12-05,65
2027,12.594765,2027-09-30,364
2028,17.677742,2027-12-10,70
2029,9.208249,2028-10-30,29
2030,13.641637,2030-08-19,322
2031,23.393658,2030-11-22,52
2032,13.919417,2031-11-01,31
2033,27.005375,2033-09-23,357
2034,26.342266,2033-10-14,13
2035,25.06225,2034-10-25,24
2036,11.480625,2036-08-22,326
2037,23.318974,2037-08-17,320
2038,11.9889555,2037-10-01,0
2039,14.710055,2039-09-22,356
2040,16.320919,2039-10-14,13
2041,9.104045,2040-10-02,1
2042,3.2421877,2042-06-10,252
2043,4.835203,2043-05-07,218
2044,8.811724,2044-05-29,241
2045,15.064067,2045-07-28,300
2046,34.65975,2046-07-08,280
2047,30.898819,2047-07-24,296
2048,7.941219,2047-10-01,0
2049,5.5291734,2049-04-07,188
2050,8.883488,2050-07-23,295
2051,19.592857,2051-05-19,230
2052,4.5610285,2052-04-30,212
2053,16.821743,2053-04-17,198
2054,7.7256293,2054-07-13,285
2055,18.084858,2055-06-29,271
2056,2.513898,2056-01-28,119
2057,17.11839,2057-07-03,275
2058,4.224931,2058-03-22,172
2059,4.7653046,2059-04-29,210
2060,2.821927,2060-04-20,202
2061,14.111786,2061-03-09,159
2062,19.660295,2062-03-31,181
2063,6.2253666,2063-02-15,137
2064,5.8513727,2064-02-08,130
2065,6.688563,2065-03-31,181
2066,14.443235,2066-03-12,162
2067,5.413716,2066-12-20,80
2068,1.8958094,2068-01-03,94
2069,3.570323,2069-01-17,108
2070,15.487067,2070-03-24,174
2071,5.508978,2071-03-29,179
2072,14.009552,2072-03-13,164
2073,9.229461,2072-12-10,70
2074,3.9462302,2074-01-20,111
2075,5.841871,2075-02-06,128
2076,11.667237,2076-02-02,124
2077,3.3810961,2077-02-21,143
2078,4.033054,2077-11-20,50
2079,4.597389,2078-11-05,35
2080,4.5306997,2079-12-05,65
2081,6.8950224,2081-01-24,115
2082,2.2431772,2082-09-24,358
2083,1.4481552,2083-01-10,101
2084,5.5757914,2083-12-15,75
2085,3.0006726,2084-12-30,90
2086,3.023795,2085-10-28,27
2087,2.469404,2086-11-23,53
2088,1.5002497,2088-01-19,110
2089,1.0466323,2088-12-31,91
2090,0.9547837,2089-10-09,8
2091,1.517559,2090-11-30,60
2092,2.0411465,2091-11-30,60
2093,1.342741,2092-12-26,86
2094,3.407499,2094-09-30,364
2095,3.1473045,2094-10-01,0
2096,5.5969143,2095-12-05,65
2097,4.020456,2096-11-11,41
