,maxval,maxdate,maxarg
1981,6.5246353,1981-03-24,174
1982,6.7310443,1982-03-21,171
1983,4.6956596,1983-01-23,114
1984,5.0174828,1984-04-26,208
1985,6.011533,1985-04-03,184
1986,13.939716,1986-03-15,165
1987,11.017282,1987-04-02,183
1988,3.4781058,1988-01-29,120
1989,4.3552127,1989-01-26,117
1990,8.2178755,1990-02-27,149
1991,9.24445,1991-02-16,138
1992,6.0746837,1992-01-23,114
1993,8.451844,1993-01-29,120
1994,5.049714,1993-12-21,81
1995,4.016305,1995-02-10,132
1996,6.124837,1995-12-31,91
1997,6.741763,1996-12-24,84
1998,3.9602804,1998-01-01,92
1999,4.7123795,1998-11-29,59
2000,6.4977026,1999-10-13,12
2001,4.587041,2000-12-25,85
2002,7.6806808,2001-12-31,91
2003,14.03709,2003-01-03,94
2004,4.6254563,2003-12-04,64
2005,4.3099174,2005-09-24,358
2006,8.241564,2005-11-18,48
2007,5.871323,2006-10-14,13
2008,5.2529726,2007-10-25,24
2009,4.5051966,2009-09-29,363
2010,4.4888697,2009-10-08,7
2011,12.489036,2011-09-24,358
2012,11.275266,2011-10-04,3
2013,3.4468892,2012-10-11,10
2014,7.236932,2014-01-22,113
2015,3.6325884,2015-01-28,119
2016,10.349312,2016-01-30,121
2017,4.993253,2016-12-08,68
2018,3.9156077,2017-11-04,34
2019,7.9950924,2019-01-12,103
2020,4.4793935,2019-12-27,87
2021,3.089188,2020-10-21,20
2022,5.381784,2022-01-12,103
2023,7.030688,2022-12-12,72
2024,4.256347,2024-01-05,96
2025,2.2750983,2024-11-23,53
2026,3.6434717,2025-10-10,9
2027,4.746461,2027-09-30,364
2028,8.662937,2027-11-25,55
2029,4.5721,2028-11-22,52
2030,8.659762,2029-11-18,48
2031,8.531782,2030-11-09,39
2032,4.3614945,2031-10-30,29
2033,2.0598476,2032-11-26,56
2034,4.3591695,2034-09-30,364
2035,6.4673543,2035-09-30,364
2036,7.2789626,2035-10-11,10
2037,5.899985,2037-09-22,356
2038,3.2337856,2037-10-01,0
2039,2.2972612,2039-09-26,360
2040,3.6721902,2040-09-10,345
2041,2.907345,2041-05-24,235
2042,2.5203197,2041-10-24,23
2043,1.9672,2043-09-14,348
2044,2.8840802,2044-08-10,314
2045,6.7006297,2045-09-30,364
2046,6.4198394,2045-10-01,0
2047,1.6714436,2047-08-27,330
2048,7.386903,2048-08-09,313
2049,1.4901518,2049-05-10,221
2050,2.6016533,2050-06-24,266
2051,5.3306193,2051-06-24,266
2052,1.4247768,2052-06-13,256
2053,4.548796,2053-06-11,253
2054,7.19567,2054-07-06,278
2055,6.0552063,2055-06-13,255
2056,1.3036537,2056-05-24,236
2057,3.3144584,2057-06-11,253
2058,2.1099465,2058-06-07,249
2059,5.382991,2059-06-28,270
2060,2.8617213,2060-05-24,236
2061,1.4313097,2061-03-13,163
2062,1.76559,2062-03-29,179
2063,1.7148236,2063-04-02,183
2064,4.1434803,2064-05-17,229
2065,3.3079033,2065-03-14,164
2066,4.735466,2066-03-16,166
2067,3.5462537,2067-04-17,198
2068,4.1677103,2068-05-02,214
2069,4.3663306,2069-04-16,197
2070,5.0311313,2070-04-26,207
2071,3.5471978,2071-03-30,180
2072,2.491418,2072-03-26,177
2073,6.921335,2073-05-08,219
2074,1.5946786,2074-04-10,191
2075,2.0787811,2075-02-07,129
2076,2.167858,2076-02-02,124
2077,2.3233528,2077-02-22,144
2078,2.088523,2078-01-21,112
2079,13.109451,2079-03-17,167
2080,1.7960099,2080-03-12,163
2081,2.8044832,2080-12-13,73
2082,2.989557,2081-12-06,66
2083,2.643786,2082-12-06,66
2084,2.1424441,2084-01-02,93
2085,1.7969403,2084-12-26,86
2086,2.1679215,2086-02-07,129
2087,2.190773,2087-01-12,103
2088,1.0269799,2088-01-04,95
2089,1.751483,2088-10-24,23
2090,2.1036243,2090-01-02,93
2091,2.4995606,2090-12-10,70
2092,5.516864,2091-12-04,64
2093,3.4475458,2092-11-04,34
2094,1.2405409,2093-12-01,61
2095,5.4212265,2094-11-29,59
2096,1.3245778,2095-10-08,7
2097,3.3361335,2097-08-31,334
