,maxval,maxdate,maxarg
1981,24.805037,1981-03-24,174
1982,61.28913,1982-03-09,159
1983,17.66983,1983-01-23,114
1984,6.199323,1984-02-02,124
1985,33.224438,1985-02-22,144
1986,16.307945,1986-02-18,140
1987,29.805601,1987-02-23,145
1988,9.597198,1988-01-21,112
1989,11.537304,1989-01-26,117
1990,29.64303,1990-02-26,148
1991,15.426945,1991-01-01,92
1992,16.91355,1992-01-23,114
1993,22.454374,1993-01-29,120
1994,19.744188,1993-12-10,70
1995,28.149923,1995-01-04,95
1996,20.494984,1995-12-16,76
1997,20.092005,1996-11-08,38
1998,31.679243,1997-12-30,90
1999,17.53863,1998-11-08,38
2000,4.8295636,1999-10-08,7
2001,11.947262,2000-12-12,72
2002,21.036093,2001-11-26,56
2003,25.570667,2002-12-05,65
2004,27.433155,2003-12-02,62
2005,21.319984,2004-10-25,24
2006,24.056238,2005-11-17,47
2007,23.364185,2006-10-24,23
2008,21.146343,2008-09-30,365
2009,21.144758,2008-10-01,0
2010,23.902376,2010-09-19,353
2011,23.217995,2010-10-26,25
2012,27.648777,2012-09-10,345
2013,27.157518,2012-10-08,7
2014,20.366127,2014-01-20,111
2015,23.141945,2015-01-27,118
2016,13.584048,2015-12-17,77
2017,31.768044,2017-01-20,111
2018,19.025785,2018-01-29,120
2019,15.512118,2018-11-20,50
2020,13.037829,2020-09-30,365
2021,34.09519,2020-11-23,53
2022,9.530835,2022-09-30,364
2023,25.812174,2022-11-27,57
2024,22.738554,2024-09-29,364
2025,27.228853,2024-11-19,49
2026,14.316793,2025-11-27,57
2027,12.380476,2027-09-30,364
2028,18.876064,2028-09-30,365
2029,31.078585,2028-10-31,30
2030,12.469215,2029-10-06,5
2031,14.479564,2031-09-27,361
2032,20.91441,2032-09-26,361
2033,34.897556,2033-09-30,364
2034,35.9421,2033-10-10,9
2035,24.866177,2035-09-23,357
2036,24.28116,2035-10-01,0
2037,19.52661,2037-09-16,350
2038,28.014038,2038-09-08,342
2039,31.395466,2039-09-29,363
2040,31.127665,2039-10-01,0
2041,12.497013,2040-10-03,2
2042,21.29467,2042-08-09,312
2043,16.482548,2043-08-03,306
2044,19.411999,2044-07-13,286
2045,6.97954,2045-07-26,298
2046,38.201912,2046-07-08,280
2047,28.465473,2047-07-26,298
2048,23.702913,2048-07-17,290
2049,13.493089,2049-06-01,243
2050,17.59757,2050-06-24,266
2051,12.663806,2051-06-21,263
2052,9.947245,2052-05-21,233
2053,24.520882,2053-06-07,249
2054,25.150785,2054-07-07,279
2055,14.699905,2055-06-13,255
2056,3.4741116,2056-03-03,154
2057,20.34961,2057-06-08,250
2058,9.572164,2058-05-15,226
2059,5.0407963,2059-03-02,152
2060,7.5664315,2060-04-20,202
2061,12.458299,2061-04-10,191
2062,22.466366,2062-04-01,182
2063,8.191213,2063-04-20,201
2064,8.286747,2064-03-16,167
2065,6.530106,2065-03-11,161
2066,16.366816,2066-03-12,162
2067,4.059624,2067-04-10,191
2068,8.023143,2068-02-17,139
2069,2.9892468,2069-02-23,145
2070,10.590285,2070-02-27,149
2071,19.241999,2071-03-25,175
2072,22.096392,2072-03-08,159
2073,8.782365,2073-03-14,164
2074,17.779213,2074-02-18,140
2075,14.144882,2075-02-07,129
2076,5.238891,2076-01-05,96
2077,5.8983665,2076-12-20,80
2078,14.755605,2078-01-12,103
2079,10.505358,2079-01-23,114
2080,2.7673326,2080-01-19,110
2081,4.8934746,2080-10-15,14
2082,3.6326494,2081-12-05,65
2083,3.4507372,2082-12-08,68
2084,6.405665,2083-12-15,75
2085,11.0472975,2084-12-25,85
2086,3.52015,2085-11-03,33
2087,8.157109,2086-12-08,68
2088,5.9546647,2087-12-02,62
2089,4.466623,2088-10-25,24
2090,3.6993084,2090-09-16,350
2091,1.9078712,2091-09-17,351
2092,2.210297,2091-12-03,63
2093,3.5471783,2093-09-30,364
2094,3.7456305,2094-09-30,364
2095,7.390488,2094-10-22,21
2096,3.0604722,2096-09-07,342
2097,5.0598173,2097-09-30,364
