,maxval,maxdate,maxarg
1981,16.230661,1981-03-25,175
1982,14.753058,1982-02-20,142
1983,10.124873,1983-01-26,117
1984,6.7379017,1984-02-01,123
1985,20.170942,1985-03-07,157
1986,9.836286,1986-02-06,128
1987,15.148973,1987-03-03,153
1988,13.767838,1988-01-27,118
1989,6.419096,1988-12-25,85
1990,15.896317,1990-01-20,111
1991,14.581548,1990-12-31,91
1992,7.1423407,1992-01-05,96
1993,12.264845,1992-12-14,74
1994,14.331248,1993-12-11,71
1995,15.677662,1995-01-02,93
1996,8.7370825,1996-01-20,111
1997,9.104125,1996-11-10,40
1998,15.045507,1997-12-04,64
1999,12.118247,1998-11-21,51
2000,3.6405437,2000-09-27,362
2001,7.3987875,2000-12-09,69
2002,9.96849,2002-09-30,364
2003,13.35147,2002-11-25,55
2004,8.833051,2003-11-05,35
2005,11.920995,2004-11-28,58
2006,12.454204,2005-11-16,46
2007,11.929187,2006-10-24,23
2008,14.055469,2007-10-25,24
2009,11.67252,2008-10-01,0
2010,13.167662,2010-09-11,345
2011,16.368032,2011-09-29,363
2012,16.43489,2011-10-02,1
2013,5.512191,2012-10-12,11
2014,12.328769,2014-01-13,104
2015,6.931004,2014-12-18,78
2016,9.280018,2015-12-15,75
2017,13.575384,2016-12-03,63
2018,10.642599,2017-11-29,59
2019,7.687886,2018-11-19,49
2020,8.809525,2019-11-25,55
2021,12.5029545,2020-11-05,35
2022,11.870298,2022-09-30,364
2023,19.531286,2022-11-26,56
2024,10.521961,2024-09-30,365
2025,11.819066,2024-10-15,14
2026,8.354281,2025-12-03,63
2027,6.8990726,2027-09-30,364
2028,7.280355,2027-11-22,52
2029,4.1194077,2028-10-30,29
2030,7.465297,2030-09-19,353
2031,8.183583,2031-09-30,364
2032,8.334067,2031-10-25,24
2033,9.459748,2033-09-18,352
2034,12.799724,2034-09-11,345
2035,12.711211,2034-10-25,24
2036,5.9615345,2036-08-23,327
2037,10.110484,2037-08-17,320
2038,8.909227,2038-08-04,307
2039,7.360954,2039-08-04,307
2040,11.270764,2040-08-09,313
2041,4.0528116,2040-10-02,1
2042,6.542092,2042-07-14,286
2043,5.468156,2043-06-24,266
2044,6.3778925,2044-06-30,273
2045,1.7084666,2045-06-10,252
2046,15.19702,2046-07-05,277
2047,14.00897,2047-07-25,297
2048,6.2512374,2048-06-15,258
2049,2.7607477,2049-05-08,219
2050,5.564037,2050-05-26,237
2051,11.102377,2051-06-17,259
2052,3.050417,2052-03-24,175
2053,10.090356,2053-06-09,251
2054,5.4129453,2054-06-17,259
2055,6.7684345,2055-05-30,241
2056,1.9540164,2056-03-14,165
2057,5.307054,2057-05-23,234
2058,2.4817064,2058-04-01,182
2059,1.3777761,2059-02-17,139
2060,1.3380576,2060-04-20,202
2061,10.481661,2061-03-10,160
2062,10.288124,2062-03-31,181
2063,3.3390355,2063-03-16,166
2064,5.5715666,2064-02-09,131
2065,8.027253,2065-03-31,181
2066,12.089649,2066-03-12,162
2067,1.8094206,2066-12-20,80
2068,5.5595493,2068-02-17,139
2069,3.7058284,2069-02-23,145
2070,4.9466095,2070-03-05,155
2071,3.4828172,2071-02-02,124
2072,6.8846245,2072-02-26,148
2073,2.4542696,2072-12-11,71
2074,3.2089534,2074-01-20,111
2075,5.170149,2075-02-06,128
2076,5.5948963,2076-02-02,124
2077,4.0517035,2076-12-20,80
2078,3.1698503,2078-01-07,98
2079,3.7622824,2078-12-06,66
2080,1.4795284,2079-12-06,66
2081,2.0228555,2081-01-24,115
2082,1.0876354,2081-11-25,55
2083,1.293602,2082-11-14,44
2084,1.5902284,2083-12-15,75
2085,2.624177,2084-11-28,58
2086,2.2351015,2085-10-29,28
2087,0.8913866,2086-11-23,53
2088,1.0589107,2088-09-17,352
2089,0.3453501,2089-09-30,364
2090,1.72951,2090-09-13,347
2091,0.8107191,2091-08-22,325
2092,0.8377822,2091-11-26,56
2093,0.84281546,2092-11-01,31
2094,0.5833367,2094-09-28,362
2095,0.7526764,2095-08-10,313
2096,1.9563937,2096-09-03,338
2097,3.1430945,2097-08-30,333
