,maxval,maxdate,maxarg
1981,6.447311,1981-03-26,176
1982,8.440417,1982-03-02,152
1983,5.7556677,1983-01-29,120
1984,4.3324223,1984-02-03,125
1985,8.28465,1985-03-26,176
1986,7.2350225,1986-03-14,164
1987,8.34057,1987-04-02,183
1988,3.490329,1988-01-28,119
1989,7.003339,1989-01-27,118
1990,7.875916,1990-02-20,142
1991,7.4427204,1991-02-05,127
1992,6.147881,1992-01-23,114
1993,10.192208,1993-02-04,126
1994,9.481707,1994-01-11,102
1995,9.291891,1995-01-15,106
1996,9.827334,1996-01-23,114
1997,5.8299665,1996-12-24,84
1998,6.3211036,1997-12-31,91
1999,3.25256,1999-09-30,364
2000,3.9628165,1999-11-25,55
2001,4.829552,2000-12-24,84
2002,8.662389,2001-11-28,58
2003,14.069953,2002-12-10,70
2004,6.0465403,2003-12-04,64
2005,6.9681706,2004-12-18,78
2006,9.407733,2005-11-18,48
2007,5.6117997,2006-10-14,13
2008,6.173316,2008-09-30,365
2009,6.292263,2008-10-01,0
2010,7.0412836,2009-11-11,41
2011,9.14079,2011-09-30,364
2012,9.2223215,2011-10-05,4
2013,4.993778,2012-10-12,11
2014,6.163035,2014-01-22,113
2015,4.2491293,2014-12-18,78
2016,9.293901,2016-01-30,121
2017,5.315778,2016-12-07,67
2018,4.9676976,2017-11-05,35
2019,3.9374025,2018-11-04,34
2020,3.030096,2020-09-30,365
2021,5.4782805,2020-11-24,54
2022,8.211315,2022-01-11,102
2023,9.787706,2022-12-11,71
2024,3.1786625,2024-09-30,365
2025,4.47938,2024-11-23,53
2026,3.2790148,2025-12-02,62
2027,4.4566293,2027-09-30,364
2028,6.91264,2027-11-28,58
2029,6.7165494,2028-10-31,30
2030,6.231525,2030-09-30,364
2031,8.726201,2030-11-09,39
2032,6.6270695,2031-10-28,27
2033,5.318084,2033-09-30,364
2034,8.35178,2034-09-30,364
2035,9.045254,2034-10-11,10
2036,8.898372,2035-10-09,8
2037,6.03149,2037-08-18,321
2038,5.6468315,2038-09-10,344
2039,5.735258,2039-09-29,363
2040,5.9424634,2039-10-05,4
2041,4.6582446,2041-08-11,314
2042,3.3865106,2042-08-11,314
2043,3.8483257,2043-08-04,307
2044,5.682346,2044-07-25,298
2045,2.3147724,2045-08-18,321
2046,7.494495,2046-07-12,284
2047,11.266728,2047-07-27,299
2048,3.5848858,2048-06-20,263
2049,5.1104274,2049-06-28,270
2050,5.4211817,2050-07-24,296
2051,10.507577,2051-06-26,268
2052,1.5811608,2052-05-01,213
2053,8.349643,2053-06-17,259
2054,6.406564,2054-07-01,273
2055,5.933181,2055-06-07,249
2056,2.163733,2056-04-28,210
2057,5.369957,2057-06-10,252
2058,2.4795816,2058-05-07,218
2059,4.678457,2059-05-07,218
2060,4.3329835,2060-05-17,229
2061,2.3425388,2061-06-24,266
2062,3.750298,2062-04-07,188
2063,3.454469,2063-04-17,198
2064,3.3215425,2064-05-01,213
2065,5.546391,2065-03-16,166
2066,5.7085266,2066-03-15,165
2067,2.8858755,2067-04-16,197
2068,2.0233984,2068-02-19,141
2069,2.5749323,2069-01-21,112
2070,2.5869997,2070-03-06,156
2071,1.7316614,2071-02-03,125
2072,5.5715065,2072-03-27,178
2073,4.623728,2073-03-14,164
2074,2.9014037,2074-02-25,147
2075,3.5723076,2075-02-09,131
2076,3.1541615,2076-02-03,125
2077,1.9070286,2076-12-18,78
2078,3.3523457,2078-01-21,112
2079,4.727487,2079-01-23,114
2080,4.160567,2080-01-21,112
2081,2.4204855,2081-01-25,116
2082,2.4822404,2082-02-06,128
2083,2.1705072,2082-12-08,68
2084,3.6730902,2083-12-15,75
2085,5.473333,2084-12-31,91
2086,3.9343262,2085-11-06,36
2087,2.2706652,2086-10-29,28
2088,2.2122414,2087-12-05,65
2089,3.2100806,2088-10-28,27
2090,3.698647,2090-09-27,361
2091,3.6952858,2090-10-09,8
2092,1.3889785,2092-09-25,360
2093,3.2951949,2092-11-14,44
2094,1.5538771,2094-08-10,313
2095,2.151017,2094-10-13,12
2096,1.8623658,2095-10-23,22
2097,3.7910604,2097-08-31,334
