,maxval,maxdate,maxarg
1981,31.478546,1981-04-10,191
1982,52.82326,1982-04-23,204
1983,33.510944,1983-03-26,176
1984,25.944864,1984-04-24,206
1985,42.218925,1985-04-11,192
1986,19.742619,1986-04-01,182
1987,33.900368,1987-04-07,188
1988,27.218872,1988-03-16,167
1989,22.714453,1989-03-08,158
1990,34.071903,1990-03-10,160
1991,29.097973,1991-02-16,138
1992,28.298754,1992-02-13,135
1993,26.913258,1993-02-09,131
1994,30.067123,1994-01-28,119
1995,37.215633,1995-02-24,146
1996,24.2919,1996-01-21,112
1997,23.40313,1997-02-04,126
1998,33.839302,1998-01-21,112
1999,18.518444,1999-01-08,99
2000,26.712063,2000-01-05,96
2001,22.017616,2001-01-03,94
2002,26.477816,2002-01-05,96
2003,41.23145,2003-01-03,94
2004,37.907417,2003-12-13,73
2005,36.271988,2004-12-21,81
2006,42.764668,2005-12-15,75
2007,34.627506,2006-12-08,68
2008,30.076712,2008-09-30,365
2009,35.424995,2008-11-05,35
2010,30.21667,2009-11-17,47
2011,38.378784,2011-09-30,364
2012,45.557915,2011-11-16,46
2013,37.066868,2012-10-28,27
2014,25.401325,2014-02-05,127
2015,37.368393,2015-02-19,141
2016,22.12704,2016-02-14,136
2017,53.364178,2017-01-26,117
2018,37.713753,2018-02-03,125
2019,31.605125,2019-01-29,120
2020,27.148071,2020-01-25,116
2021,42.314137,2021-01-24,115
2022,26.76154,2022-01-11,102
2023,41.866978,2023-01-16,107
2024,24.811811,2024-01-11,102
2025,41.000214,2024-12-29,89
2026,27.3864,2025-12-22,82
2027,24.542484,2026-12-01,61
2028,27.845726,2027-12-20,80
2029,28.196741,2028-12-06,66
2030,22.482107,2029-11-20,50
2031,23.35383,2030-11-22,52
2032,26.085764,2032-09-30,365
2033,33.76257,2032-11-25,55
2034,33.452717,2034-09-30,364
2035,39.928303,2034-11-20,50
2036,35.257767,2035-10-31,30
2037,38.50612,2036-10-27,26
2038,31.48469,2037-10-20,19
2039,42.895412,2039-09-30,364
2040,44.46136,2039-10-17,16
2041,42.458866,2041-09-27,361
2042,42.98732,2041-10-11,10
2043,22.229187,2042-10-06,5
2044,31.906288,2044-08-31,335
2045,26.863747,2045-09-15,349
2046,40.161263,2046-08-21,324
2047,41.729435,2047-08-26,329
2048,29.628105,2048-08-17,321
2049,34.92035,2049-08-12,315
2050,30.388136,2050-08-16,319
2051,43.970573,2051-08-02,305
2052,32.302197,2052-07-17,290
2053,33.938457,2053-07-04,276
2054,23.890484,2054-07-24,296
2055,21.620464,2055-07-12,284
2056,22.280554,2056-06-17,260
2057,26.349478,2057-07-05,277
2058,33.006065,2058-07-17,289
2059,34.170666,2059-06-04,246
2060,26.911324,2060-05-27,239
2061,31.475702,2061-06-12,254
2062,43.444794,2062-06-13,255
2063,17.69241,2063-05-22,233
2064,44.283024,2064-05-31,243
2065,27.129288,2065-04-30,211
2066,31.26206,2066-05-13,224
2067,37.653156,2067-05-13,224
2068,23.910702,2068-05-01,213
2069,17.586271,2069-04-14,195
2070,21.055023,2070-03-30,180
2071,24.979609,2071-04-20,201
2072,23.87585,2072-03-27,178
2073,38.34425,2073-03-30,180
2074,19.139091,2074-04-09,190
2075,27.786514,2075-03-10,160
2076,30.532701,2076-02-07,129
2077,24.470055,2077-03-01,151
2078,16.566656,2078-02-10,132
2079,19.57223,2079-03-13,163
2080,25.67738,2080-03-23,174
2081,40.286118,2081-01-28,119
2082,10.652507,2082-01-10,101
2083,22.941473,2083-01-26,117
2084,35.96858,2084-02-21,143
2085,36.12396,2085-01-31,122
2086,21.4412,2086-02-08,130
2087,30.432722,2087-01-14,105
2088,20.502584,2087-12-27,87
2089,21.643736,2089-01-14,105
2090,16.557657,2089-12-20,80
2091,26.165686,2091-01-04,95
2092,24.13204,2091-12-17,77
2093,23.965528,2092-11-21,51
2094,25.681711,2093-11-27,57
2095,24.693964,2094-11-09,39
2096,20.690033,2095-12-05,65
2097,16.986315,2096-11-15,45
