,maxval,maxdate,maxarg
1981,22.25688,1981-03-28,178
1982,32.68608,1982-04-16,197
1983,13.955701,1983-03-27,177
1984,10.50264,1984-04-28,210
1985,15.876556,1985-04-04,185
1986,14.279641,1986-03-28,178
1987,16.287174,1987-03-07,157
1988,9.589325,1988-02-16,138
1989,7.297835,1989-02-11,133
1990,13.666428,1990-02-28,150
1991,21.819115,1991-02-16,138
1992,13.734206,1992-03-20,171
1993,15.4151125,1993-02-05,127
1994,10.8704405,1994-01-26,117
1995,17.879799,1995-02-11,133
1996,10.536426,1996-01-23,114
1997,11.738114,1997-02-08,130
1998,12.556753,1998-01-15,106
1999,11.549267,1999-01-07,98
2000,12.703942,2000-01-01,92
2001,8.487358,2000-12-26,86
2002,20.744484,2002-01-04,95
2003,18.085299,2003-01-03,94
2004,19.559435,2003-12-05,65
2005,8.564506,2004-12-11,71
2006,16.65658,2005-12-09,69
2007,12.825254,2006-12-06,66
2008,11.178862,2007-10-31,30
2009,12.304638,2008-10-16,15
2010,12.091366,2009-11-03,33
2011,24.811756,2010-11-23,53
2012,16.811707,2011-10-04,3
2013,15.917112,2012-10-12,11
2014,8.183211,2014-01-22,113
2015,13.052099,2015-01-28,119
2016,18.445307,2016-02-07,129
2017,18.157902,2017-01-21,112
2018,15.638477,2018-02-02,124
2019,22.464787,2019-02-01,123
2020,10.229131,2019-12-26,86
2021,15.687025,2021-01-04,95
2022,10.565166,2022-01-13,104
2023,17.764732,2022-12-31,91
2024,15.446919,2024-01-11,102
2025,10.437058,2024-12-09,69
2026,8.206179,2025-12-04,64
2027,6.450565,2026-11-17,47
2028,12.089035,2027-11-28,58
2029,9.729768,2028-11-21,51
2030,10.409564,2029-11-25,55
2031,11.440563,2030-11-12,42
2032,10.596588,2031-11-02,32
2033,13.23972,2032-11-25,55
2034,11.714285,2033-10-17,16
2035,14.072498,2035-09-30,364
2036,16.259792,2035-10-13,12
2037,17.701561,2036-10-23,22
2038,12.9470005,2037-10-20,19
2039,17.80381,2038-10-22,21
2040,12.9514,2040-09-11,346
2041,11.966653,2040-10-05,4
2042,6.840889,2042-08-28,331
2043,6.662576,2043-08-28,331
2044,8.258992,2044-08-28,332
2045,13.884755,2045-09-29,363
2046,17.652884,2046-08-12,315
2047,18.169933,2047-08-17,320
2048,19.655447,2048-08-09,313
2049,5.1092234,2049-07-02,274
2050,17.179232,2050-08-05,308
2051,12.243672,2051-07-03,275
2052,7.7550297,2052-07-13,286
2053,9.450521,2053-06-25,267
2054,11.24998,2054-07-13,285
2055,9.646005,2055-06-22,264
2056,4.968135,2056-06-02,245
2057,13.935788,2057-06-29,271
2058,9.449769,2058-06-20,262
2059,14.069879,2059-06-23,265
2060,12.384865,2060-05-27,239
2061,5.2110033,2061-06-02,244
2062,20.953117,2062-05-20,231
2063,7.8356705,2063-05-23,234
2064,12.760528,2064-05-18,230
2065,7.4323196,2065-04-05,186
2066,13.6008005,2066-05-08,219
2067,6.7026825,2067-05-01,212
2068,7.2027245,2068-05-03,215
2069,11.983632,2069-05-09,220
2070,7.3648577,2070-03-22,172
2071,8.648848,2071-04-09,190
2072,10.325703,2072-03-28,179
2073,7.9469757,2073-03-20,170
2074,12.94257,2074-03-27,177
2075,8.516931,2075-02-20,142
2076,9.519658,2076-02-05,127
2077,3.9235542,2077-02-22,144
2078,6.716839,2078-02-27,149
2079,10.587934,2079-03-17,167
2080,5.2028017,2080-03-23,174
2081,9.339693,2081-01-24,115
2082,4.1905117,2082-01-07,98
2083,6.7575374,2083-01-13,104
2084,3.6246135,2084-01-05,96
2085,12.160805,2084-12-31,91
2086,4.73031,2086-01-09,100
2087,5.8265424,2087-01-16,107
2088,3.8195188,2087-12-21,81
2089,3.4804106,2088-12-07,67
2090,2.9980264,2090-01-22,113
2091,4.715073,2090-12-20,80
2092,3.6273456,2091-12-29,89
2093,5.003432,2092-11-16,46
2094,3.6483662,2093-11-25,55
2095,8.540959,2094-11-29,59
2096,3.924465,2095-10-24,23
2097,4.5987067,2096-11-07,37
