,maxval,maxdate,maxarg
1981,29.303339,1981-03-28,178
1982,47.01694,1982-04-23,204
1983,21.422932,1983-03-26,176
1984,21.260777,1984-04-01,183
1985,38.662975,1985-04-05,186
1986,23.019176,1986-03-30,180
1987,33.159523,1987-03-28,178
1988,20.787498,1988-02-20,142
1989,18.931648,1989-02-12,134
1990,29.869295,1990-03-03,153
1991,24.506546,1991-02-17,139
1992,30.038616,1992-02-13,135
1993,23.795105,1993-02-05,127
1994,24.128382,1994-01-28,119
1995,34.422626,1995-02-02,124
1996,29.946327,1996-01-22,113
1997,27.42953,1997-02-07,129
1998,29.701576,1998-01-14,105
1999,20.059954,1999-01-03,94
2000,19.652054,2000-01-05,96
2001,24.845,2000-12-31,91
2002,24.244738,2002-09-30,364
2003,42.186802,2003-01-03,94
2004,27.485287,2003-12-06,66
2005,29.146545,2004-12-18,78
2006,42.276073,2005-12-09,69
2007,28.041098,2006-11-30,60
2008,28.50734,2008-09-30,365
2009,31.515238,2008-11-05,35
2010,26.383402,2009-11-18,48
2011,36.60261,2010-11-23,53
2012,30.36401,2011-10-09,8
2013,25.523611,2012-10-13,12
2014,24.741499,2014-01-27,118
2015,33.699497,2015-02-11,133
2016,25.471666,2016-02-13,135
2017,42.356876,2017-01-23,114
2018,28.913383,2018-02-02,124
2019,25.488195,2019-01-26,117
2020,21.28785,2020-01-02,93
2021,44.001183,2021-01-04,95
2022,30.95691,2022-01-11,102
2023,45.50888,2022-12-31,91
2024,19.914845,2024-01-12,103
2025,38.666985,2024-12-28,88
2026,24.542742,2025-12-07,67
2027,21.266037,2026-11-18,48
2028,20.314865,2027-12-12,72
2029,30.032228,2028-11-24,54
2030,18.015095,2029-11-17,47
2031,19.989489,2030-11-14,44
2032,20.386568,2032-09-30,365
2033,30.205496,2033-09-30,364
2034,34.95837,2033-11-06,36
2035,33.169155,2034-11-04,34
2036,36.76737,2035-10-31,30
2037,33.851677,2037-09-30,364
2038,34.82247,2037-10-21,20
2039,48.50427,2039-09-30,364
2040,49.06286,2039-10-05,4
2041,32.201534,2041-09-08,342
2042,30.996555,2041-10-18,17
2043,24.720263,2043-08-31,334
2044,26.309969,2044-08-23,327
2045,17.605978,2045-08-20,323
2046,42.33791,2046-08-16,319
2047,41.683777,2047-08-16,319
2048,27.56808,2048-08-19,323
2049,27.612864,2049-07-28,300
2050,34.813866,2050-08-16,319
2051,26.891994,2051-07-22,294
2052,20.590708,2052-07-11,284
2053,33.15502,2053-07-07,279
2054,25.752333,2054-07-26,298
2055,23.148188,2055-06-26,268
2056,13.688475,2056-06-03,246
2057,26.559898,2057-06-29,271
2058,27.85836,2058-06-11,253
2059,26.440645,2059-06-02,244
2060,20.856266,2060-05-29,241
2061,20.122398,2061-05-29,240
2062,40.95034,2062-05-22,233
2063,17.417309,2063-05-20,231
2064,26.64132,2064-05-21,233
2065,21.208311,2065-04-27,208
2066,25.203514,2066-05-10,221
2067,23.252733,2067-05-14,225
2068,26.981611,2068-04-17,199
2069,8.849225,2069-04-05,186
2070,18.346525,2070-03-30,180
2071,24.776731,2071-04-18,199
2072,29.628548,2072-03-28,179
2073,35.371014,2073-03-30,180
2074,24.656622,2074-04-10,191
2075,23.42383,2075-02-20,142
2076,28.139107,2076-03-05,156
2077,24.849316,2077-02-22,144
2078,20.840418,2078-02-27,149
2079,20.994558,2079-02-01,123
2080,25.20719,2080-03-23,174
2081,27.675098,2081-01-25,116
2082,9.392713,2082-01-07,98
2083,10.213613,2083-01-18,109
2084,26.958357,2084-01-05,96
2085,27.384275,2085-01-01,92
2086,18.001785,2086-02-06,128
2087,32.153835,2087-01-17,108
2088,24.346739,2087-12-28,88
2089,18.592287,2088-12-09,69
2090,12.60946,2090-09-27,361
2091,24.413404,2090-12-19,79
2092,22.75217,2092-09-30,365
2093,32.982864,2092-11-20,50
2094,16.72352,2093-12-03,63
2095,22.856888,2094-11-29,59
2096,11.978736,2095-10-27,26
2097,11.253869,2097-09-30,364
