,maxval,maxdate,maxarg
1981,8.627906,1981-03-25,175
1982,9.187812,1982-02-21,143
1983,3.68752,1983-01-06,97
1984,3.8658943,1984-01-31,122
1985,10.717898,1985-03-05,155
1986,3.853628,1986-02-06,128
1987,9.905307,1987-03-11,161
1988,5.7881956,1988-01-30,121
1989,5.9790983,1988-12-21,81
1990,12.695581,1990-01-23,114
1991,7.2416425,1990-12-20,80
1992,3.1095073,1992-01-05,96
1993,4.97208,1992-12-16,76
1994,6.4295797,1993-12-07,67
1995,7.7052155,1994-12-16,76
1996,3.2468638,1996-09-22,357
1997,5.1695952,1997-09-30,364
1998,6.679775,1997-12-04,64
1999,6.037357,1998-11-19,49
2000,3.1088789,2000-09-02,337
2001,4.654215,2000-12-11,71
2002,7.285136,2002-09-20,354
2003,8.085976,2002-11-13,43
2004,4.5487394,2003-11-04,34
2005,5.1535234,2005-09-04,338
2006,2.985128,2006-08-09,312
2007,5.2659836,2007-09-01,335
2008,7.9831724,2008-09-27,362
2009,6.184108,2008-10-01,0
2010,2.7235725,2010-09-09,343
2011,3.964358,2011-09-30,364
2012,4.52562,2011-10-02,1
2013,2.031371,2013-07-05,277
2014,4.550409,2013-12-10,70
2015,4.39877,2014-12-01,61
2016,5.1358256,2015-12-01,61
2017,3.516916,2016-12-02,62
2018,5.782252,2017-11-03,33
2019,7.002791,2018-11-04,34
2020,2.3624988,2019-10-15,14
2021,5.766814,2020-10-20,19
2022,4.8220797,2022-09-30,364
2023,11.542607,2022-11-27,57
2024,5.116883,2024-09-12,347
2025,2.1852822,2025-09-22,356
2026,3.763589,2025-12-03,63
2027,2.0691419,2027-08-24,327
2028,2.5520067,2028-08-21,325
2029,1.2143039,2028-10-30,29
2030,2.3426337,2030-08-17,320
2031,2.3426313,2030-11-03,33
2032,2.2169995,2032-08-31,335
2033,6.4906597,2033-09-24,358
2034,5.518675,2033-10-02,1
2035,4.560686,2035-08-20,323
2036,2.5644708,2036-08-23,327
2037,4.123159,2037-06-23,265
2038,2.2358367,2038-08-03,306
2039,1.708215,2039-07-21,293
2040,1.8292236,2040-06-16,259
2041,1.9802356,2041-05-17,228
2042,2.296746,2042-07-11,283
2043,2.3232312,2043-05-10,221
2044,1.1908023,2044-05-12,224
2045,2.505709,2045-07-26,298
2046,4.28731,2046-07-06,278
2047,4.0623837,2047-07-25,297
2048,3.2978668,2048-06-09,252
2049,1.310694,2049-06-01,243
2050,2.1177087,2050-06-27,269
2051,4.202375,2051-06-23,265
2052,1.1569952,2052-05-16,228
2053,2.53508,2053-04-19,200
2054,2.0776398,2054-04-13,194
2055,2.1145587,2055-05-07,218
2056,0.9485298,2056-03-04,155
2057,3.075388,2057-05-23,234
2058,2.7262604,2058-05-06,217
2059,2.1397836,2059-04-29,210
2060,0.59090394,2060-04-12,194
2061,3.3835578,2061-03-07,157
2062,3.2872496,2062-03-03,153
2063,0.7445058,2063-02-10,132
2064,2.070844,2064-02-10,132
2065,2.0469174,2065-04-08,189
2066,5.5283504,2066-03-10,160
2067,1.5277452,2067-04-01,182
2068,0.9864486,2068-01-18,109
2069,0.70427394,2069-01-15,106
2070,2.7333071,2070-03-05,155
2071,1.2009137,2071-01-23,114
2072,2.4953399,2072-02-25,147
2073,2.108672,2073-02-23,145
2074,1.7290727,2074-02-17,139
2075,1.9757783,2075-01-04,95
2076,5.272229,2076-02-01,123
2077,2.3907495,2077-02-21,143
2078,0.7349393,2078-01-10,101
2079,3.261391,2078-11-27,57
2080,1.64131,2079-12-06,66
2081,2.647016,2080-12-01,61
2082,0.51572126,2081-11-24,54
2083,0.4664263,2082-11-21,51
2084,1.5978528,2083-12-16,76
2085,3.873119,2084-11-27,57
2086,2.062392,2085-10-16,15
2087,0.978503,2086-10-05,4
2088,1.1969991,2087-10-09,8
2089,0.63284475,2088-10-28,27
2090,1.8032601,2089-10-28,27
2091,0.51828235,2091-09-18,352
2092,1.4689063,2092-09-18,353
2093,0.9828084,2092-11-01,31
2094,0.37994692,2094-09-25,359
2095,0.8098976,2095-07-11,283
2096,0.7502657,2096-08-30,334
2097,1.1748167,2097-08-30,333
