,maxval,maxdate,maxarg
1981,66.7377,1981-03-27,177
1982,70.72224,1982-03-24,174
1983,68.10179,1983-03-24,174
1984,56.07413,1984-04-20,202
1985,83.418976,1985-04-10,191
1986,38.192677,1986-03-13,163
1987,66.76188,1987-04-01,182
1988,64.46543,1988-02-23,145
1989,43.33047,1989-02-04,126
1990,57.424984,1990-02-25,147
1991,47.880455,1991-02-03,125
1992,42.511707,1992-02-13,135
1993,56.152843,1993-02-08,130
1994,61.87507,1994-01-26,117
1995,76.0927,1995-02-08,130
1996,43.222954,1996-01-20,111
1997,37.70269,1996-12-23,83
1998,65.888016,1997-12-31,91
1999,39.139008,1999-01-01,92
2000,34.249966,2000-01-06,97
2001,47.403393,2000-12-26,86
2002,41.703423,2002-09-30,364
2003,66.81345,2003-01-01,92
2004,75.87971,2003-12-11,71
2005,82.83303,2004-12-17,77
2006,80.68767,2005-11-23,53
2007,71.13203,2006-11-29,59
2008,48.778996,2007-11-19,49
2009,47.54465,2008-10-23,22
2010,54.040268,2009-11-10,40
2011,57.898712,2011-09-30,364
2012,65.651924,2011-11-03,33
2013,66.86385,2012-10-15,14
2014,38.392166,2014-01-30,121
2015,65.550735,2015-02-08,130
2016,39.379555,2016-01-30,121
2017,82.6096,2017-01-27,118
2018,90.4719,2018-02-03,125
2019,46.15732,2019-01-11,102
2020,63.78753,2020-01-26,117
2021,75.78666,2021-01-03,94
2022,42.290028,2022-01-11,102
2023,61.795025,2023-01-11,102
2024,42.32522,2024-01-10,101
2025,67.64375,2024-12-30,90
2026,45.932636,2025-12-05,65
2027,50.64176,2026-11-29,59
2028,58.415115,2027-12-15,75
2029,43.353954,2028-12-05,65
2030,38.755554,2030-09-30,364
2031,57.637733,2030-11-22,52
2032,48.006893,2031-11-13,43
2033,46.18298,2033-09-30,364
2034,66.36156,2034-09-30,364
2035,77.378746,2034-10-28,27
2036,66.59863,2035-10-30,29
2037,50.4048,2036-10-22,21
2038,39.788857,2037-10-17,16
2039,66.77736,2039-09-30,364
2040,67.10669,2039-10-07,6
2041,60.50966,2040-10-03,2
2042,54.75127,2041-10-08,7
2043,27.6304,2043-09-16,350
2044,50.478737,2044-07-22,295
2045,41.665154,2045-09-16,350
2046,55.926964,2046-08-06,309
2047,48.756767,2047-08-16,319
2048,26.95426,2048-08-07,311
2049,38.43621,2049-06-30,272
2050,35.48693,2050-08-27,330
2051,57.849934,2051-08-01,304
2052,48.838367,2052-07-12,285
2053,53.535877,2053-06-24,266
2054,29.691088,2054-07-24,296
2055,37.255306,2055-07-12,284
2056,26.791513,2056-05-21,233
2057,43.388577,2057-07-04,276
2058,34.140415,2058-06-02,244
2059,37.10417,2059-05-03,214
2060,13.895848,2060-05-23,235
2061,46.700294,2061-06-23,265
2062,56.452164,2062-05-18,229
2063,31.50949,2063-05-13,224
2064,49.547062,2064-05-13,225
2065,37.832813,2065-04-29,210
2066,38.95486,2066-03-14,164
2067,18.400093,2067-05-13,224
2068,23.658577,2068-03-06,157
2069,22.359715,2069-02-24,146
2070,40.19217,2070-03-29,179
2071,25.344831,2071-03-30,180
2072,29.182594,2072-03-25,176
2073,45.484245,2073-03-28,178
2074,15.414916,2074-02-17,139
2075,46.11204,2075-04-13,194
2076,36.52429,2076-02-05,127
2077,16.139862,2077-02-22,144
2078,18.3943,2078-01-17,108
2079,19.916426,2079-01-28,119
2080,23.572527,2080-01-22,113
2081,28.626528,2081-01-28,119
2082,12.274633,2081-11-28,58
2083,21.377508,2082-12-08,68
2084,42.07584,2084-02-13,135
2085,38.124966,2085-01-03,94
2086,12.615818,2085-11-06,36
2087,15.51211,2086-12-17,77
2088,9.9422865,2087-12-16,76
2089,8.35814,2088-11-04,34
2090,10.090747,2090-09-27,361
2091,17.459566,2091-09-30,364
2092,21.28456,2091-11-03,33
2093,12.852622,2092-11-14,44
2094,15.420658,2094-09-30,364
2095,19.209846,2094-10-22,21
2096,38.835712,2095-12-13,73
2097,11.331843,2097-09-30,364
