,maxval,maxdate,maxarg
1981,12.016524,1981-03-23,173
1982,20.70846,1982-04-18,199
1983,10.029468,1983-04-25,206
1984,11.588818,1984-03-21,172
1985,9.223341,1985-03-06,156
1986,9.913266,1986-04-01,182
1987,15.39282,1987-03-16,166
1988,10.491037,1988-03-06,157
1989,7.216765,1989-02-19,141
1990,10.042054,1990-03-10,160
1991,9.514954,1991-02-15,137
1992,8.206049,1992-02-11,133
1993,10.583509,1993-01-27,118
1994,9.869189,1994-09-30,364
1995,21.42065,1995-01-27,118
1996,14.075655,1996-01-22,113
1997,7.50218,1997-01-21,112
1998,10.534927,1998-01-09,100
1999,13.661444,1999-01-08,99
2000,6.3925014,1999-12-12,72
2001,4.670173,2000-12-26,86
2002,13.843967,2002-01-04,95
2003,9.764378,2003-01-02,93
2004,15.707356,2004-01-04,95
2005,8.227694,2004-11-28,58
2006,8.31291,2005-11-23,53
2007,6.529153,2007-09-30,364
2008,10.339592,2007-11-17,47
2009,11.152364,2009-09-28,362
2010,13.525776,2009-11-09,39
2011,15.409241,2010-11-23,53
2012,7.083752,2012-09-30,365
2013,13.430471,2013-07-09,281
2014,5.585096,2014-01-21,112
2015,7.857327,2015-01-29,120
2016,14.357587,2016-02-10,132
2017,10.625077,2017-01-19,110
2018,8.783403,2018-01-31,122
2019,13.723625,2019-02-02,124
2020,5.83157,2020-01-01,92
2021,11.985442,2021-01-03,94
2022,15.755924,2022-01-15,106
2023,15.128039,2022-12-31,91
2024,7.0533676,2024-01-07,98
2025,7.8101187,2024-12-08,68
2026,7.1193233,2025-12-15,75
2027,4.6165533,2026-11-14,44
2028,10.202258,2027-12-12,72
2029,8.401061,2028-11-20,50
2030,4.4868407,2030-09-29,363
2031,9.897638,2031-09-29,363
2032,11.647614,2031-10-25,24
2033,11.498798,2033-09-30,364
2034,11.741931,2033-10-16,15
2035,11.0861845,2035-09-30,364
2036,12.60228,2035-10-12,11
2037,10.519002,2037-09-26,360
2038,11.185331,2038-09-30,364
2039,11.658297,2038-10-10,9
2040,11.873372,2040-09-17,352
2041,8.059267,2040-10-04,3
2042,5.502768,2042-08-20,323
2043,7.967299,2043-08-30,333
2044,4.026261,2044-07-31,304
2045,8.06968,2045-08-16,319
2046,8.257808,2046-08-13,316
2047,12.177529,2047-07-26,298
2048,14.474128,2048-08-17,321
2049,1.6939638,2049-06-24,266
2050,10.92857,2050-07-23,295
2051,7.408538,2051-07-01,273
2052,5.4878325,2052-07-10,283
2053,6.9316072,2053-06-21,263
2054,9.515348,2054-07-11,283
2055,7.165564,2055-06-14,256
2056,3.3555555,2056-06-01,244
2057,9.485549,2057-06-29,271
2058,6.241501,2058-06-09,251
2059,5.3186874,2059-05-28,239
2060,5.381507,2060-06-11,254
2061,2.8676076,2061-04-14,195
2062,5.756119,2062-05-22,233
2063,7.60919,2063-05-14,225
2064,3.038292,2064-04-30,212
2065,6.533522,2065-04-08,189
2066,11.526915,2066-05-08,219
2067,2.6223998,2067-02-25,147
2068,6.553257,2068-03-26,177
2069,1.6282675,2069-03-21,171
2070,6.170958,2070-03-08,158
2071,8.807107,2071-04-16,197
2072,12.549711,2072-03-27,178
2073,6.23263,2073-03-22,172
2074,8.809435,2074-03-12,162
2075,6.651974,2075-02-07,129
2076,1.9705164,2076-01-06,97
2077,6.541307,2077-02-19,141
2078,8.761466,2078-02-28,150
2079,8.173672,2079-01-31,122
2080,6.065532,2080-01-31,122
2081,7.4156704,2081-01-24,115
2082,4.3875203,2082-01-12,103
2083,3.4242952,2083-01-21,112
2084,4.4497004,2083-12-14,74
2085,4.4539924,2084-12-26,86
2086,5.415724,2086-01-05,96
2087,6.2216763,2087-01-17,108
2088,4.856166,2087-12-21,81
2089,4.8325477,2088-12-08,68
2090,3.3169374,2090-09-20,354
2091,5.5678096,2090-12-10,70
2092,2.2550566,2092-09-30,365
2093,3.2533646,2092-11-18,48
2094,4.0957985,2094-09-28,362
2095,8.3064375,2094-11-28,58
2096,4.0506597,2095-10-24,23
2097,5.23354,2096-10-30,29
