,maxval,maxdate,maxarg
1981,22.592258,1981-03-28,178
1982,35.10787,1982-04-24,205
1983,19.341562,1983-03-27,177
1984,19.161074,1984-05-03,215
1985,35.67128,1985-03-27,177
1986,22.500317,1986-03-31,181
1987,26.46364,1987-03-14,164
1988,16.783817,1988-02-16,138
1989,17.28406,1989-02-10,132
1990,25.612762,1990-03-03,153
1991,19.582117,1991-02-17,139
1992,28.225563,1992-02-13,135
1993,24.137447,1993-02-02,124
1994,21.312643,1994-01-27,118
1995,23.989302,1995-01-28,119
1996,20.610056,1996-01-20,111
1997,28.026793,1997-01-21,112
1998,26.510078,1998-01-14,105
1999,17.10596,1999-01-08,99
2000,15.266813,2000-01-05,96
2001,21.414019,2000-12-26,86
2002,22.572838,2002-01-02,93
2003,35.150997,2003-01-02,93
2004,21.739502,2003-12-05,65
2005,23.426693,2004-12-14,74
2006,28.080555,2005-12-05,65
2007,21.661463,2006-11-24,54
2008,22.652775,2008-09-30,365
2009,25.5945,2008-10-28,27
2010,22.430012,2010-09-23,357
2011,33.673187,2010-11-22,52
2012,21.61513,2011-10-04,3
2013,22.00684,2012-10-10,9
2014,20.53638,2014-01-23,114
2015,27.86332,2015-02-11,133
2016,24.19526,2016-02-08,130
2017,33.060383,2017-01-21,112
2018,20.272402,2018-02-01,123
2019,21.50979,2019-02-01,123
2020,17.486908,2020-01-02,93
2021,33.586052,2021-01-04,95
2022,23.844343,2021-12-29,89
2023,36.47246,2023-01-01,92
2024,22.043602,2024-01-11,102
2025,32.38213,2024-12-09,69
2026,19.65287,2025-12-07,67
2027,17.83295,2026-11-18,48
2028,15.404202,2028-09-30,365
2029,28.895792,2028-11-22,52
2030,18.628294,2029-11-17,47
2031,20.052223,2030-11-10,40
2032,18.79482,2031-11-02,32
2033,27.541203,2033-09-30,364
2034,31.21569,2033-11-06,36
2035,26.713957,2035-09-30,364
2036,31.991205,2035-10-31,30
2037,30.014942,2037-09-29,363
2038,29.494297,2037-10-20,19
2039,38.656425,2039-09-30,364
2040,38.73846,2039-10-05,4
2041,26.427122,2041-09-07,341
2042,22.181602,2041-10-01,0
2043,24.691973,2043-08-31,334
2044,24.11081,2044-08-23,327
2045,16.483786,2045-08-19,322
2046,31.409262,2046-08-11,314
2047,31.606714,2047-08-16,319
2048,26.52144,2048-08-19,323
2049,20.897617,2049-07-28,300
2050,25.095205,2050-07-24,296
2051,21.83839,2051-07-04,276
2052,17.733301,2052-07-10,283
2053,26.962446,2053-07-07,279
2054,24.857637,2054-07-26,298
2055,18.250935,2055-06-22,264
2056,13.38603,2056-06-03,246
2057,22.264404,2057-06-12,254
2058,25.357677,2058-06-20,262
2059,19.552292,2059-05-30,241
2060,20.158997,2060-05-24,236
2061,14.914002,2061-05-17,228
2062,23.34442,2062-04-15,196
2063,17.854446,2063-05-13,224
2064,16.72058,2064-05-20,232
2065,15.924626,2065-04-08,189
2066,18.440874,2066-05-09,220
2067,18.914358,2067-04-18,199
2068,24.684517,2068-05-03,215
2069,9.594598,2069-05-08,219
2070,15.489414,2070-03-21,171
2071,19.788734,2071-04-17,198
2072,25.914602,2072-03-27,178
2073,25.499186,2073-03-29,179
2074,22.810549,2074-04-04,185
2075,18.978695,2075-02-14,136
2076,21.908628,2076-02-03,125
2077,20.134314,2077-02-28,150
2078,20.590921,2078-02-24,146
2079,21.44139,2079-02-27,149
2080,16.673971,2080-01-22,113
2081,21.625391,2081-01-25,116
2082,9.250008,2082-01-07,98
2083,10.890162,2083-01-26,117
2084,19.761839,2084-01-05,96
2085,21.48738,2084-12-30,90
2086,17.138008,2086-02-06,128
2087,27.01797,2087-01-16,107
2088,19.77861,2087-12-28,88
2089,17.776764,2088-12-06,66
2090,9.986024,2090-09-27,361
2091,17.737274,2090-12-12,72
2092,17.089314,2092-09-30,365
2093,27.6547,2092-11-16,46
2094,15.588962,2093-12-03,63
2095,19.122797,2094-11-28,58
2096,13.181397,2095-10-26,25
2097,10.440221,2097-09-30,364
