,maxval,maxdate,maxarg
1981,21.435762,1981-03-23,173
1982,43.338997,1982-04-13,194
1983,18.814255,1983-03-18,168
1984,16.249823,1984-03-20,171
1985,26.361404,1985-03-06,156
1986,19.256075,1986-03-17,167
1987,27.95251,1987-03-02,152
1988,19.104254,1988-02-15,137
1989,13.3528385,1989-02-14,136
1990,24.953909,1990-02-25,147
1991,17.569836,1991-02-11,133
1992,13.728117,1992-01-27,118
1993,20.606564,1993-02-01,123
1994,17.302147,1994-09-30,364
1995,35.18485,1995-01-27,118
1996,23.221863,1996-01-21,112
1997,13.614774,1996-12-17,77
1998,23.489622,1998-01-01,92
1999,24.94385,1999-01-07,98
2000,13.008359,1999-11-23,53
2001,10.802184,2000-12-16,76
2002,26.15742,2001-12-29,89
2003,20.609045,2002-12-08,68
2004,29.422998,2003-12-02,62
2005,16.748446,2004-11-29,59
2006,16.809801,2005-11-14,44
2007,12.876014,2007-09-30,364
2008,19.65351,2008-09-27,362
2009,24.010138,2009-09-28,362
2010,28.131207,2009-10-27,26
2011,22.838243,2010-11-06,36
2012,16.736637,2012-09-19,354
2013,17.403002,2013-07-03,275
2014,10.383786,2014-01-22,113
2015,17.203686,2015-01-29,120
2016,21.616598,2016-02-08,130
2017,20.969772,2017-01-15,106
2018,14.873491,2018-01-23,114
2019,21.301804,2019-02-02,124
2020,10.261806,2020-09-30,365
2021,25.804619,2020-12-11,71
2022,23.022255,2021-12-28,88
2023,29.98932,2022-12-26,86
2024,18.452976,2023-12-16,76
2025,19.387712,2024-12-07,67
2026,15.56924,2025-11-28,58
2027,9.48121,2027-09-30,364
2028,18.573917,2027-11-25,55
2029,22.086262,2028-11-16,46
2030,10.666391,2030-09-29,363
2031,19.308739,2031-09-29,363
2032,22.410093,2031-10-25,24
2033,28.977217,2033-09-30,364
2034,29.389803,2033-10-09,8
2035,21.431116,2035-09-30,364
2036,22.391571,2035-10-08,7
2037,20.24427,2037-09-16,350
2038,26.608742,2038-09-26,360
2039,26.510973,2038-10-01,0
2040,18.518667,2039-10-01,0
2041,10.260134,2040-10-03,2
2042,10.482006,2042-08-18,321
2043,19.752449,2043-08-27,330
2044,9.081727,2044-07-20,293
2045,12.992669,2045-08-16,319
2046,16.810413,2046-07-09,281
2047,31.07804,2047-08-09,312
2048,27.193148,2048-07-19,292
2049,3.2683563,2049-06-23,265
2050,15.709771,2050-07-16,288
2051,14.755106,2051-06-26,268
2052,11.890984,2052-07-03,276
2053,16.298555,2053-06-18,260
2054,21.46356,2054-07-08,280
2055,13.575517,2055-06-13,255
2056,5.4839664,2056-04-28,210
2057,17.573494,2057-06-09,251
2058,12.462188,2058-06-08,250
2059,11.128401,2059-04-30,211
2060,8.955202,2060-05-24,236
2061,6.0530453,2061-04-10,191
2062,11.364431,2062-04-15,196
2063,15.061862,2063-04-21,202
2064,3.7047763,2064-04-21,203
2065,13.7712,2065-04-07,188
2066,17.346481,2066-05-08,219
2067,7.830359,2067-03-08,158
2068,12.371259,2068-03-25,176
2069,2.7533553,2069-02-24,146
2070,12.01011,2070-03-05,155
2071,13.918777,2071-03-24,174
2072,31.987545,2072-03-27,178
2073,7.7762575,2073-02-11,133
2074,19.823774,2074-03-12,162
2075,11.26044,2075-02-07,129
2076,4.3995104,2076-01-06,97
2077,13.870804,2077-02-14,136
2078,12.08725,2078-02-06,128
2079,16.851345,2079-01-30,121
2080,6.324082,2080-01-16,107
2081,10.188357,2081-01-18,109
2082,9.226409,2082-01-04,95
2083,6.703952,2082-12-27,87
2084,8.664649,2084-01-03,94
2085,7.993389,2084-12-26,86
2086,10.08914,2086-01-02,93
2087,15.9125,2086-12-14,74
2088,12.352303,2087-12-20,80
2089,7.1199803,2088-12-08,68
2090,4.725544,2089-10-30,29
2091,4.9592323,2090-11-09,39
2092,3.052333,2092-09-30,365
2093,6.0486794,2092-11-02,32
2094,8.351335,2094-09-28,362
2095,13.694732,2094-11-27,57
2096,3.5729585,2096-09-09,344
2097,7.3762164,2097-09-30,364
