,maxval,maxdate,maxarg
1981,38.94013,1981-04-10,191
1982,61.5819,1982-04-22,203
1983,35.776337,1983-04-23,204
1984,20.584957,1984-03-24,175
1985,48.18541,1985-04-17,198
1986,15.069706,1986-03-29,179
1987,38.58817,1987-04-06,187
1988,34.386753,1988-03-18,169
1989,20.189985,1989-02-16,138
1990,39.464016,1990-03-05,155
1991,31.769878,1991-02-15,137
1992,22.705599,1992-02-12,134
1993,23.150188,1993-02-09,131
1994,21.65155,1994-01-28,119
1995,41.799747,1995-02-08,130
1996,19.396988,1996-01-23,114
1997,20.019781,1997-02-05,127
1998,33.02072,1998-01-21,112
1999,20.627947,1999-01-06,97
2000,25.289444,2000-01-04,95
2001,18.074478,2001-09-30,364
2002,25.437717,2001-12-31,91
2003,36.70122,2003-01-03,94
2004,43.95645,2003-12-11,71
2005,35.63418,2004-12-18,78
2006,31.61645,2005-12-05,65
2007,26.294365,2006-11-30,60
2008,30.701092,2008-09-30,365
2009,34.386604,2008-11-05,35
2010,25.227493,2009-11-24,54
2011,31.669601,2011-09-30,364
2012,39.94226,2012-09-30,365
2013,45.575413,2012-10-30,29
2014,21.153013,2014-02-04,126
2015,35.39356,2015-02-17,139
2016,17.339935,2016-02-05,127
2017,46.855766,2017-01-25,116
2018,34.838,2018-02-05,127
2019,30.277424,2019-01-29,120
2020,32.06589,2020-01-10,101
2021,41.492886,2021-01-09,100
2022,26.421585,2022-09-30,364
2023,45.05345,2023-01-18,109
2024,20.188856,2024-09-30,365
2025,35.20576,2024-12-30,90
2026,29.47036,2025-12-18,78
2027,29.626816,2026-11-21,51
2028,21.994244,2027-12-27,87
2029,28.85894,2028-12-07,67
2030,14.759493,2029-11-23,53
2031,19.217196,2030-12-01,61
2032,30.00901,2032-09-30,365
2033,34.433273,2032-11-20,50
2034,33.656734,2033-11-04,34
2035,36.95438,2034-11-02,32
2036,32.04521,2035-10-12,11
2037,36.638584,2037-09-21,355
2038,35.262318,2037-10-01,0
2039,44.79135,2039-09-30,364
2040,46.0981,2039-10-15,14
2041,37.58542,2041-09-07,341
2042,35.774006,2041-10-01,0
2043,19.478495,2042-10-01,0
2044,27.556282,2044-08-31,335
2045,30.628437,2045-09-14,348
2046,39.5959,2046-08-20,323
2047,45.011425,2047-08-27,330
2048,33.872536,2048-08-06,310
2049,23.363173,2049-08-11,314
2050,30.552717,2050-08-16,319
2051,27.190884,2051-07-01,273
2052,27.875416,2052-07-13,286
2053,34.094273,2053-06-23,265
2054,18.035614,2054-07-14,286
2055,16.54274,2055-07-12,284
2056,14.83294,2056-06-17,260
2057,24.909649,2057-07-04,276
2058,29.842663,2058-06-07,249
2059,26.31814,2059-05-23,234
2060,19.054243,2060-05-23,235
2061,29.352882,2061-06-01,243
2062,42.550995,2062-05-29,240
2063,17.515404,2063-05-12,223
2064,35.90649,2064-05-18,230
2065,20.199717,2065-04-28,209
2066,35.409893,2066-05-11,222
2067,23.205667,2067-05-11,222
2068,15.548109,2068-04-03,185
2069,17.939898,2069-04-12,193
2070,23.086624,2070-03-29,179
2071,20.612667,2071-04-06,187
2072,21.096579,2072-03-27,178
2073,28.834906,2073-03-26,176
2074,9.636963,2074-03-07,157
2075,23.062279,2075-03-10,160
2076,32.077606,2076-02-05,127
2077,14.004206,2077-02-23,145
2078,14.887415,2078-02-05,127
2079,14.092149,2079-01-29,120
2080,9.601396,2080-03-19,170
2081,33.25934,2081-01-28,119
2082,5.3998713,2082-01-05,96
2083,11.3473,2083-01-12,103
2084,23.846354,2084-01-09,100
2085,27.420498,2085-01-08,99
2086,13.025901,2086-01-18,109
2087,25.100576,2086-12-14,74
2088,16.066013,2087-12-23,83
2089,16.323051,2088-12-06,66
2090,9.09709,2090-09-26,360
2091,17.473476,2090-12-10,70
2092,14.246821,2091-12-12,72
2093,16.613754,2092-11-15,45
2094,14.537161,2094-09-30,364
2095,18.965513,2094-10-23,22
2096,16.58023,2095-12-01,61
2097,5.487451,2097-09-30,364
