,maxval,maxdate,maxarg
1981,18.607647,1981-03-28,178
1982,19.085094,1982-03-21,171
1983,21.404308,1983-03-25,175
1984,15.906145,1984-04-21,203
1985,23.024189,1985-04-02,183
1986,12.378354,1986-03-14,164
1987,17.178358,1987-04-02,183
1988,20.619934,1988-02-23,145
1989,14.097231,1989-02-04,126
1990,14.445264,1990-02-20,142
1991,10.702585,1991-02-04,126
1992,8.869625,1992-01-24,115
1993,15.021504,1993-02-09,131
1994,16.675053,1994-01-10,101
1995,20.699322,1995-01-15,106
1996,14.789266,1996-01-23,114
1997,9.985078,1996-12-23,83
1998,18.997957,1997-12-31,91
1999,7.6401844,1998-12-28,88
2000,13.550075,2000-01-05,96
2001,13.894622,2000-12-22,82
2002,10.209636,2001-11-25,55
2003,16.44047,2003-09-30,364
2004,24.538492,2003-12-12,72
2005,26.039793,2004-12-07,67
2006,20.299639,2005-11-21,51
2007,21.730404,2006-10-27,26
2008,15.846165,2008-09-30,365
2009,19.899405,2008-10-29,28
2010,15.489155,2009-11-07,37
2011,16.554016,2010-11-17,47
2012,16.325424,2012-09-10,345
2013,17.875051,2012-10-18,17
2014,9.895839,2014-01-23,114
2015,16.667732,2014-12-19,79
2016,11.9400425,2016-01-31,122
2017,22.30152,2017-01-24,115
2018,29.491486,2018-02-03,125
2019,11.486647,2018-12-31,91
2020,15.360163,2020-01-18,109
2021,24.160631,2020-12-18,78
2022,13.617817,2022-01-12,103
2023,17.221203,2022-12-08,68
2024,13.310674,2024-01-05,96
2025,19.376814,2024-11-22,52
2026,14.097278,2025-12-11,71
2027,16.882904,2026-11-17,47
2028,19.770609,2027-12-11,71
2029,8.497478,2028-10-31,30
2030,11.969258,2030-09-30,364
2031,17.340502,2030-11-13,43
2032,11.593115,2031-11-01,31
2033,11.718702,2033-09-28,362
2034,20.725582,2034-09-30,364
2035,25.040592,2034-10-28,27
2036,15.936236,2035-10-09,8
2037,9.671617,2036-10-01,0
2038,7.9076624,2038-08-04,307
2039,13.99686,2039-09-27,361
2040,15.73454,2039-10-16,15
2041,16.136627,2041-08-21,324
2042,11.92419,2041-10-01,0
2043,3.150145,2043-06-14,256
2044,12.39553,2044-07-13,286
2045,5.0279403,2045-08-18,321
2046,15.4352455,2046-08-10,313
2047,14.349966,2047-07-28,300
2048,8.828934,2048-08-08,312
2049,10.678669,2049-06-30,272
2050,10.144681,2050-07-25,297
2051,17.145374,2051-07-25,297
2052,6.861766,2052-05-24,236
2053,9.604683,2053-06-20,262
2054,4.9132767,2054-07-01,273
2055,6.1310835,2055-06-07,249
2056,3.944463,2056-04-30,212
2057,11.341515,2057-05-31,242
2058,7.7800884,2058-05-17,228
2059,6.6415205,2059-05-07,218
2060,3.3196995,2060-04-09,191
2061,5.615526,2061-05-28,239
2062,14.410222,2062-05-03,214
2063,9.642047,2063-04-20,201
2064,17.858095,2064-05-13,225
2065,9.196246,2065-04-08,189
2066,9.658984,2066-03-14,164
2067,5.473006,2067-02-07,129
2068,2.2276082,2068-02-18,140
2069,3.4109645,2069-04-15,196
2070,13.139324,2070-03-29,179
2071,4.4502892,2071-02-26,148
2072,8.447445,2072-03-26,177
2073,9.038249,2073-03-19,169
2074,5.826497,2074-02-24,146
2075,10.358639,2075-03-08,158
2076,10.226326,2076-02-02,124
2077,3.6269102,2077-02-22,144
2078,1.9498022,2078-01-21,112
2079,4.554331,2079-01-24,115
2080,7.5407925,2080-01-21,112
2081,9.225385,2080-12-03,63
2082,1.2221301,2081-12-06,66
2083,4.285501,2082-12-08,68
2084,8.476072,2083-12-15,75
2085,9.230997,2085-01-02,93
2086,3.9040697,2086-02-07,129
2087,2.6162858,2086-12-11,71
2088,5.524192,2088-01-21,112
2089,2.4930794,2088-10-28,27
2090,3.1747751,2089-10-29,28
2091,2.4257355,2090-10-09,8
2092,2.3554428,2092-09-27,362
2093,3.620164,2092-11-15,45
2094,4.095085,2094-09-30,364
2095,4.27645,2094-10-02,1
2096,6.849528,2095-11-24,54
2097,3.1697462,2096-11-10,40
