,maxval,maxdate,maxarg
1981,51.107033,1981-03-25,175
1982,53.329155,1982-03-05,155
1983,17.205458,1983-04-20,201
1984,13.097147,1984-01-31,122
1985,48.265327,1985-03-25,175
1986,31.353048,1986-02-20,142
1987,44.589195,1987-03-01,151
1988,28.085716,1988-01-28,119
1989,5.0130424,1989-02-03,125
1990,56.885143,1990-02-25,147
1991,32.457363,1991-02-10,132
1992,39.424343,1992-01-04,95
1993,22.93704,1993-01-28,119
1994,18.055176,1994-09-30,364
1995,38.1777,1995-01-01,92
1996,36.266163,1996-01-19,110
1997,19.020588,1996-11-10,40
1998,40.500027,1997-12-30,90
1999,25.305492,1998-11-21,51
2000,17.834614,2000-01-03,94
2001,13.918517,2000-12-15,75
2002,22.817747,2001-11-19,49
2003,32.268173,2002-11-30,60
2004,33.116837,2003-12-01,61
2005,29.556189,2004-10-21,20
2006,35.97679,2005-11-13,43
2007,23.571552,2006-11-27,57
2008,39.948105,2008-09-22,357
2009,38.10907,2008-10-01,0
2010,37.99761,2010-09-09,343
2011,46.483204,2010-10-29,28
2012,32.69443,2012-08-28,332
2013,28.922304,2012-10-05,4
2014,18.864714,2013-12-08,68
2015,25.600237,2015-02-10,132
2016,19.167793,2016-02-06,128
2017,41.664536,2016-11-30,60
2018,27.66753,2018-01-29,120
2019,19.017384,2019-01-05,96
2020,11.492792,2020-01-08,99
2021,45.085426,2021-01-02,93
2022,13.790365,2022-09-14,348
2023,46.058483,2022-12-23,83
2024,16.760025,2023-12-29,89
2025,16.987299,2025-09-28,362
2026,42.00946,2025-12-05,65
2027,14.806698,2027-09-30,364
2028,16.113678,2027-11-06,36
2029,14.965778,2028-10-30,29
2030,10.370358,2029-10-04,3
2031,9.149465,2030-11-08,38
2032,28.166039,2032-09-26,361
2033,43.083706,2033-09-30,364
2034,45.362057,2033-10-09,8
2035,22.903128,2034-10-26,25
2036,16.096384,2035-10-01,0
2037,20.578682,2037-09-16,350
2038,17.505169,2038-09-25,359
2039,20.9012,2039-08-12,315
2040,31.405743,2040-09-17,352
2041,23.845264,2040-10-01,0
2042,2.434551,2042-07-18,290
2043,9.78175,2043-08-27,330
2044,16.706282,2044-06-23,266
2045,12.426727,2045-07-25,297
2046,21.252739,2046-06-24,266
2047,23.361511,2047-07-24,296
2048,24.710968,2048-07-16,289
2049,11.119495,2049-06-24,266
2050,3.4713178,2050-07-21,293
2051,7.68498,2051-05-16,227
2052,4.8328905,2052-03-22,173
2053,12.792445,2053-06-10,252
2054,18.109678,2054-06-18,260
2055,14.759938,2055-05-23,234
2056,3.2247918,2056-03-03,154
2057,32.417164,2057-07-10,282
2058,12.567311,2058-05-14,225
2059,14.112975,2059-04-29,210
2060,9.487748,2060-04-22,204
2061,15.574212,2061-05-28,239
2062,20.873579,2062-03-27,177
2063,8.8897295,2063-04-21,202
2064,8.629812,2064-01-30,121
2065,5.8733697,2065-03-30,180
2066,10.988524,2066-03-10,160
2067,9.781988,2067-04-03,184
2068,6.5676346,2068-01-21,112
2069,2.5903623,2069-02-22,144
2070,17.98552,2070-03-23,173
2071,10.799726,2071-03-30,180
2072,22.180723,2072-03-07,158
2073,11.615819,2072-12-11,71
2074,21.177797,2074-02-17,139
2075,6.141987,2075-01-09,100
2076,5.6206627,2076-01-29,120
2077,4.528679,2077-02-20,142
2078,4.0536723,2077-12-21,81
2079,18.401121,2079-01-21,112
2080,4.3398905,2080-01-17,108
2081,4.671466,2080-10-15,14
2082,2.9753337,2081-11-22,52
2083,2.6600127,2082-11-17,47
2084,5.957647,2083-12-04,64
2085,8.682451,2084-12-25,85
2086,4.27167,2085-10-28,27
2087,10.048347,2086-11-23,53
2088,7.792307,2087-12-02,62
2089,3.0057926,2088-12-05,65
2090,3.9259193,2090-09-12,346
2091,1.9779506,2090-11-30,60
2092,9.006208,2091-12-12,72
2093,2.79179,2093-09-29,363
2094,2.6388466,2093-10-01,0
2095,4.308554,2094-11-17,47
2096,5.107484,2095-10-19,18
2097,4.42671,2097-09-29,363
