,maxval,maxdate,maxarg
1981,1.0140623,1981-02-23,145
1982,6.9207664,1982-02-08,130
1983,1.0405043,1983-04-23,204
1984,0.9365564,1984-01-27,118
1985,5.1932497,1985-01-03,94
1986,2.3513994,1986-01-02,93
1987,3.6383674,1987-01-31,122
1988,3.4173317,1987-12-31,91
1989,1.2673773,1988-12-21,81
1990,3.95556,1989-12-31,91
1991,2.8783243,1990-11-09,39
1992,1.9260551,1991-11-18,48
1993,3.5605967,1992-12-12,72
1994,4.3333373,1994-09-30,364
1995,6.5352864,1994-10-30,29
1996,1.3522172,1995-10-28,27
1997,2.6119013,1997-09-30,364
1998,3.569616,1997-10-11,10
1999,2.6322033,1998-11-09,39
2000,1.6611067,1999-11-17,47
2001,4.067752,2001-09-29,363
2002,7.999679,2001-11-12,42
2003,0.5616675,2003-09-30,364
2004,3.605037,2004-09-09,344
2005,1.4274192,2005-08-20,323
2006,2.7980192,2006-08-11,314
2007,0.9603017,2006-11-22,52
2008,6.6144977,2008-08-23,327
2009,3.8237548,2008-10-01,0
2010,1.6665754,2010-07-25,297
2011,1.263694,2011-08-07,310
2012,1.7882955,2012-07-21,294
2013,0.85203856,2012-10-04,3
2014,2.7492213,2013-12-09,69
2015,1.8389175,2014-11-19,49
2016,3.4329987,2015-11-02,32
2017,2.54916,2016-11-24,54
2018,2.0540066,2018-09-29,363
2019,2.0531652,2018-10-01,0
2020,0.71548915,2020-09-30,365
2021,3.0553706,2020-10-19,18
2022,1.4610384,2021-11-22,52
2023,3.0023594,2023-09-01,335
2024,2.7917898,2024-09-14,349
2025,2.1306522,2025-09-29,363
2026,2.1187828,2025-10-01,0
2027,1.7177767,2027-09-13,347
2028,1.0055954,2028-07-10,283
2029,1.4295273,2029-09-17,351
2030,1.4947587,2030-08-18,321
2031,1.1473981,2031-07-18,290
2032,2.869883,2032-09-23,358
2033,2.496134,2033-09-18,352
2034,1.9025229,2034-07-21,293
2035,1.7059973,2035-09-22,356
2036,0.28206915,2036-06-09,252
2037,2.1858006,2037-09-07,341
2038,1.1685255,2038-08-23,326
2039,1.0671841,2039-05-15,226
2040,2.0613883,2040-08-06,310
2041,0.71132696,2041-05-14,225
2042,1.066091,2042-07-26,298
2043,1.9855591,2043-06-16,258
2044,0.5272815,2044-05-29,241
2045,0.93153614,2045-08-08,311
2046,3.001751,2046-06-12,254
2047,1.8100932,2047-06-30,272
2048,2.8519695,2048-06-02,245
2049,0.82865524,2049-05-01,212
2050,1.1602683,2050-04-17,198
2051,0.90371066,2051-05-03,214
2052,0.59349936,2052-03-19,170
2053,2.1242926,2053-04-17,198
2054,2.2442083,2054-04-09,190
2055,1.6932915,2055-03-12,162
2056,0.7380748,2056-04-23,205
2057,2.6005435,2057-05-22,233
2058,1.4608285,2058-03-21,171
2059,0.1440858,2059-04-25,206
2060,1.1568667,2060-03-14,165
2061,2.0964332,2061-02-28,150
2062,2.3538861,2062-02-14,136
2063,1.1632916,2063-03-15,165
2064,1.8038546,2064-01-31,122
2065,0.86412805,2065-03-27,177
2066,1.4801748,2066-01-12,103
2067,0.54340744,2067-02-24,146
2068,0.54111713,2068-01-15,106
2069,0.42616248,2069-05-12,223
2070,1.5449806,2070-02-26,148
2071,3.1946533,2071-01-12,103
2072,2.2445037,2071-12-18,78
2073,0.9821021,2073-02-11,133
2074,4.876201,2074-01-19,110
2075,1.0843441,2074-12-19,79
2076,0.56762373,2076-01-03,94
2077,0.92495316,2076-12-10,70
2078,1.1438671,2077-11-21,51
2079,1.0975997,2079-01-01,92
2080,0.64070123,2079-12-24,84
2081,1.9937186,2080-10-17,16
2082,0.26449937,2081-10-28,27
2083,0.95116127,2082-11-17,47
2084,0.45206273,2083-11-26,56
2085,1.9723266,2084-10-14,13
2086,0.61762583,2085-10-29,28
2087,2.0377014,2086-11-23,53
2088,0.6295793,2087-11-30,60
2089,0.7674743,2089-09-28,362
2090,0.5759348,2089-10-01,0
2091,0.32275313,2091-08-31,334
2092,0.6291879,2091-12-01,61
2093,0.76666695,2093-09-27,361
2094,0.38209295,2093-10-01,0
2095,0.45380726,2094-10-11,10
2096,0.39460477,2096-09-03,338
2097,0.25780752,2097-08-27,330
