,maxval,maxdate,maxarg
1981,30.06017,1981-04-05,186
1982,36.64684,1982-04-22,203
1983,30.437246,1983-04-28,209
1984,27.725124,1984-04-23,205
1985,40.234764,1985-04-23,204
1986,21.957571,1986-03-27,177
1987,35.518433,1987-04-01,182
1988,28.224903,1988-03-16,167
1989,25.767525,1989-02-10,132
1990,28.651527,1990-04-07,188
1991,24.353823,1991-02-15,137
1992,25.240799,1992-03-18,169
1993,33.199543,1993-02-10,132
1994,31.13127,1994-01-26,117
1995,31.836933,1995-02-10,132
1996,23.651012,1996-01-23,114
1997,19.75719,1996-12-23,83
1998,31.429552,1998-01-15,106
1999,15.867226,1999-01-05,96
2000,21.010412,2000-01-05,96
2001,23.456633,2000-12-26,86
2002,25.533031,2001-12-31,91
2003,40.845528,2003-01-02,93
2004,35.32978,2003-12-11,71
2005,35.682953,2004-12-18,78
2006,40.915134,2005-11-26,56
2007,30.746634,2006-11-29,59
2008,23.71882,2007-11-25,55
2009,27.212055,2008-11-04,34
2010,25.894146,2009-11-17,47
2011,27.589706,2011-09-30,364
2012,30.8758,2011-10-26,25
2013,30.238613,2012-10-18,17
2014,21.016895,2014-01-27,118
2015,27.43005,2015-02-17,139
2016,25.318846,2016-02-04,126
2017,38.89903,2017-01-23,114
2018,38.473366,2018-02-02,124
2019,26.513975,2019-01-12,103
2020,25.82684,2020-01-27,118
2021,33.833504,2021-01-03,94
2022,23.122398,2022-01-12,103
2023,32.044067,2022-12-31,91
2024,20.387585,2024-01-11,102
2025,32.806965,2024-12-30,90
2026,21.040854,2025-12-06,66
2027,20.574427,2026-11-17,47
2028,30.317066,2027-12-13,73
2029,22.652674,2028-12-06,66
2030,20.789682,2029-11-20,50
2031,28.408886,2030-11-22,52
2032,22.674189,2031-11-13,43
2033,28.957197,2032-11-26,56
2034,33.426376,2034-09-30,364
2035,39.004406,2034-10-29,28
2036,33.91538,2035-10-31,30
2037,28.18103,2036-10-22,21
2038,19.756014,2037-10-19,18
2039,34.013935,2039-09-30,364
2040,35.146114,2039-10-15,14
2041,32.162636,2041-09-09,343
2042,30.280094,2041-10-09,8
2043,16.688393,2043-08-30,333
2044,24.243673,2044-07-31,304
2045,23.050337,2045-09-28,362
2046,28.63442,2046-08-09,312
2047,27.21002,2047-09-07,341
2048,15.639252,2048-08-08,312
2049,24.23593,2049-07-01,273
2050,20.602499,2050-08-28,331
2051,32.529583,2051-08-02,305
2052,27.078764,2052-07-13,286
2053,29.934387,2053-06-25,267
2054,18.494991,2054-07-14,286
2055,19.61551,2055-07-11,283
2056,17.27943,2056-06-04,247
2057,25.202625,2057-07-15,287
2058,23.904985,2058-06-06,248
2059,24.51412,2059-06-03,245
2060,14.951926,2060-05-23,235
2061,18.625086,2061-06-24,266
2062,25.422144,2062-05-19,230
2063,14.12612,2063-05-13,224
2064,28.509842,2064-06-08,251
2065,20.089136,2065-04-29,210
2066,22.436155,2066-05-27,238
2067,15.886593,2067-05-13,224
2068,10.767246,2068-04-13,195
2069,14.230286,2069-02-24,146
2070,17.708227,2070-03-29,179
2071,14.724944,2071-03-31,181
2072,17.32732,2072-03-27,178
2073,26.011324,2073-03-29,179
2074,10.483039,2074-03-02,152
2075,20.92665,2075-04-13,194
2076,19.706951,2076-02-05,127
2077,12.052592,2077-02-23,145
2078,11.948219,2078-02-06,128
2079,13.926327,2079-01-29,120
2080,18.492207,2080-03-22,173
2081,19.976051,2081-01-25,116
2082,9.138881,2082-01-05,96
2083,11.686523,2082-12-08,68
2084,27.537657,2084-02-13,135
2085,18.71894,2085-01-02,93
2086,13.154745,2086-01-21,112
2087,16.029505,2086-12-18,78
2088,11.954826,2087-12-26,86
2089,7.4018073,2088-12-06,66
2090,9.173211,2090-09-29,363
2091,11.125212,2091-09-30,364
2092,16.34357,2091-12-12,72
2093,13.463709,2092-11-15,45
2094,8.049671,2094-09-30,364
2095,10.849406,2094-10-22,21
2096,19.372898,2095-12-14,74
2097,11.255404,2097-09-30,364
