,maxval,maxdate,maxarg
1981,30.536436,1981-03-27,177
1982,16.40556,1982-03-05,155
1983,18.696026,1983-01-22,113
1984,8.5978365,1983-12-13,73
1985,22.006014,1985-03-24,174
1986,7.618478,1985-12-04,64
1987,20.872887,1987-03-25,175
1988,34.325745,1988-02-24,146
1989,5.6499443,1989-02-09,131
1990,19.237026,1990-01-23,114
1991,8.968117,1990-11-03,33
1992,4.2245708,1992-01-05,96
1993,12.492045,1993-02-02,124
1994,10.635792,1993-12-13,73
1995,28.829475,1995-01-15,106
1996,7.3524356,1996-01-18,109
1997,7.297757,1997-09-30,364
1998,14.928556,1997-12-09,69
1999,19.270271,1998-11-08,38
2000,12.8844385,2000-09-15,350
2001,13.374278,2000-12-18,78
2002,5.2242804,2002-08-26,329
2003,8.785692,2002-11-20,50
2004,16.77407,2004-09-30,365
2005,25.183811,2004-12-03,63
2006,10.479793,2006-09-30,364
2007,15.385034,2006-11-07,37
2008,18.326315,2007-10-31,30
2009,12.383845,2009-09-30,364
2010,12.482879,2009-10-01,0
2011,8.289563,2011-09-30,364
2012,10.401581,2011-10-03,2
2013,5.4560227,2012-10-15,14
2014,2.2069674,2014-01-13,104
2015,7.077051,2014-11-30,60
2016,2.1107736,2015-11-13,43
2017,6.281537,2016-12-02,62
2018,17.272768,2017-11-03,33
2019,6.572664,2018-11-04,34
2020,7.5921426,2019-11-24,54
2021,20.55493,2020-12-17,77
2022,6.805111,2022-01-09,100
2023,11.559753,2023-01-11,102
2024,5.3689303,2024-09-12,347
2025,6.157564,2025-09-27,361
2026,9.033405,2025-12-06,66
2027,12.251135,2027-09-30,364
2028,26.287231,2027-12-17,77
2029,2.393329,2029-07-11,283
2030,8.382894,2030-08-18,321
2031,6.9996953,2031-09-28,362
2032,7.7731833,2031-10-27,26
2033,4.1133137,2033-09-17,351
2034,8.644503,2034-09-22,356
2035,12.097976,2034-10-24,23
2036,6.1215053,2036-08-25,329
2037,6.8278427,2037-06-26,268
2038,1.9508599,2038-09-01,335
2039,4.3123207,2039-09-22,356
2040,4.858648,2040-09-18,353
2041,4.577584,2041-06-27,269
2042,2.0440705,2042-06-10,252
2043,0.79041857,2043-05-07,218
2044,2.7993488,2044-05-12,224
2045,7.460151,2045-07-26,298
2046,6.6427484,2046-07-05,277
2047,8.224092,2047-07-22,294
2048,3.1829002,2048-06-22,265
2049,3.4935815,2049-04-03,184
2050,1.8806485,2050-06-28,270
2051,6.805792,2051-05-21,232
2052,1.9059325,2052-04-30,212
2053,4.418932,2053-04-17,198
2054,1.0718125,2054-06-14,256
2055,5.8036346,2055-06-28,270
2056,1.0104499,2056-05-15,227
2057,5.6214495,2057-05-24,235
2058,1.9713001,2058-05-16,227
2059,1.1912906,2059-02-15,137
2060,0.9415072,2060-05-21,233
2061,2.9278405,2061-05-30,241
2062,3.8396616,2062-03-03,153
2063,1.9697895,2063-02-12,134
2064,2.8438442,2064-02-09,131
2065,2.9958332,2065-04-02,183
2066,3.427446,2066-03-10,160
2067,1.4753302,2066-12-20,80
2068,0.13842711,2068-03-31,182
2069,0.32182223,2069-01-16,107
2070,10.218007,2070-03-05,155
2071,2.1219025,2071-03-27,177
2072,2.6674268,2072-02-21,143
2073,1.4636049,2073-02-21,143
2074,0.68575966,2074-01-19,110
2075,3.3257408,2075-03-30,180
2076,3.3026226,2076-01-12,103
2077,0.52349323,2076-12-11,71
2078,0.71051145,2078-01-01,92
2079,0.9637024,2079-01-21,112
2080,2.1621497,2080-02-26,148
2081,1.122922,2080-11-28,58
2082,0.91962695,2081-11-23,53
2083,0.24997722,2082-11-12,42
2084,4.5867505,2083-12-14,74
2085,2.3483353,2084-12-29,89
2086,0.26670793,2085-11-05,35
2087,0.22037487,2086-12-14,74
2088,0.23157592,2087-12-12,72
2089,0.5452415,2088-10-27,26
2090,0.5833903,2089-10-27,26
2091,0.0053419,2091-08-30,333
2092,0.34830827,2091-10-09,8
2093,0.51419705,2092-11-01,31
2094,1.2634085,2094-09-28,362
2095,0.777831,2094-10-01,0
2096,2.1442957,2095-10-19,18
2097,0.52797025,2097-08-13,316
