,maxval,maxdate,maxarg
1981,7.6774497,1981-03-04,154
1982,2.8450167,1982-02-18,140
1983,3.4801874,1983-01-20,111
1984,2.3326406,1984-02-01,123
1985,4.384598,1985-02-04,126
1986,9.5083275,1986-03-31,181
1987,7.3784914,1987-02-23,145
1988,3.2736692,1988-01-19,110
1989,2.772143,1989-04-03,184
1990,6.104601,1990-02-23,145
1991,5.8923926,1991-02-04,126
1992,2.7348292,1992-09-09,344
1993,4.6420913,1993-01-12,103
1994,3.7456768,1993-12-13,73
1995,5.1025434,1994-12-12,72
1996,3.0722623,1995-12-08,68
1997,4.724575,1996-12-15,75
1998,9.82044,1998-01-02,93
1999,5.6542435,1998-12-20,80
2000,1.9296212,1999-11-18,48
2001,2.6392777,2001-09-27,361
2002,12.531775,2002-01-01,92
2003,5.849432,2002-12-08,68
2004,3.9074445,2003-10-26,25
2005,2.2530894,2005-09-17,351
2006,3.4986746,2006-09-30,364
2007,3.6330578,2006-10-12,11
2008,3.4788167,2008-08-27,331
2009,6.338796,2009-09-28,362
2010,6.370734,2009-10-09,8
2011,6.222294,2010-11-03,33
2012,4.10664,2012-09-30,365
2013,4.017339,2012-10-01,0
2014,4.794339,2014-01-22,113
2015,2.1637003,2015-01-24,115
2016,4.0141444,2015-12-28,88
2017,2.3869405,2016-12-07,67
2018,2.4806223,2017-11-05,35
2019,8.883036,2019-02-03,125
2020,3.175445,2019-11-14,44
2021,5.5470304,2020-11-22,52
2022,4.621049,2021-11-29,59
2023,3.741198,2022-12-16,76
2024,3.3291543,2023-12-05,65
2025,1.9762081,2025-09-30,364
2026,2.1919765,2025-10-18,17
2027,2.1266055,2027-09-14,348
2028,1.51057,2028-08-19,323
2029,4.579948,2028-11-17,47
2030,3.9067984,2029-11-03,33
2031,3.5188324,2031-09-29,363
2032,3.5055957,2031-10-01,0
2033,7.4403844,2033-09-27,361
2034,7.549185,2033-10-04,3
2035,2.2564003,2035-09-15,349
2036,3.031157,2036-09-26,361
2037,2.6757572,2037-08-15,318
2038,3.7068965,2038-08-29,332
2039,2.5421147,2038-10-01,0
2040,1.6805658,2040-08-07,311
2041,1.4136672,2041-08-28,331
2042,1.6951013,2042-09-23,357
2043,5.7528033,2043-07-30,302
2044,1.0159394,2044-05-11,223
2045,1.4990506,2045-05-15,226
2046,1.259007,2046-08-13,316
2047,6.588047,2047-06-30,272
2048,2.4669473,2048-07-19,292
2049,0.48560086,2049-06-23,265
2050,1.7670505,2050-03-09,159
2051,2.402166,2051-06-17,259
2052,1.4282476,2052-06-17,260
2053,3.0430903,2053-06-05,247
2054,6.295252,2054-06-24,266
2055,5.3924313,2055-06-14,256
2056,2.421195,2056-03-06,157
2057,3.6799648,2057-05-17,228
2058,1.0414099,2058-05-25,236
2059,1.9381824,2059-04-25,206
2060,2.1448848,2060-06-10,253
2061,0.8949416,2061-04-03,184
2062,1.904868,2062-03-26,176
2063,2.6233423,2063-04-20,201
2064,1.7899363,2064-04-09,191
2065,2.42028,2065-02-26,148
2066,2.2886827,2066-04-24,205
2067,1.1165997,2067-02-22,144
2068,2.0089803,2068-02-12,134
2069,3.7711189,2069-05-05,216
2070,2.1992433,2070-02-07,129
2071,1.5920916,2071-01-11,102
2072,5.8418784,2072-02-21,143
2073,1.5374659,2072-12-31,91
2074,2.435385,2074-03-13,163
2075,2.5798888,2075-02-02,124
2076,0.633188,2076-01-05,96
2077,1.8065095,2076-12-11,71
2078,4.45223,2078-02-28,150
2079,2.097609,2079-01-13,104
2080,2.0695884,2080-01-11,102
2081,0.80475444,2080-12-14,74
2082,3.6831536,2082-01-07,98
2083,0.95193225,2082-12-15,75
2084,0.5974574,2083-12-03,63
2085,2.2502282,2084-12-24,84
2086,1.0864581,2086-01-05,96
2087,1.1550627,2086-12-29,89
2088,2.7865613,2087-12-08,68
2089,3.1367114,2088-12-08,68
2090,0.7340744,2089-10-07,6
2091,2.5585763,2090-11-08,38
2092,2.0982504,2091-12-14,74
2093,0.6537371,2092-11-03,33
2094,2.36918,2093-11-14,44
2095,2.1131244,2094-10-25,24
2096,0.5387686,2095-10-16,15
2097,1.7750713,2097-09-29,363
