,maxval,maxdate,maxarg
1981,2.914022,1981-02-22,144
1982,2.9873297,1982-01-08,99
1983,2.933888,1983-04-24,205
1984,8.135496,1984-01-26,117
1985,1.5497714,1984-11-12,42
1986,5.0948806,1986-02-22,144
1987,5.9723263,1987-01-31,122
1988,7.535111,1987-12-30,90
1989,1.9358481,1988-12-22,82
1990,4.9037952,1989-11-09,39
1991,1.6479448,1991-02-04,126
1992,3.6340873,1991-11-19,49
1993,7.463833,1992-12-04,64
1994,9.1169815,1994-09-30,364
1995,9.093569,1994-10-01,0
1996,1.8509194,1995-10-06,5
1997,1.5523853,1996-10-22,21
1998,3.337857,1997-12-30,90
1999,4.656303,1998-10-29,28
2000,1.6877646,2000-08-17,321
2001,4.698864,2001-09-28,362
2002,10.059166,2001-11-19,49
2003,2.4251723,2003-09-30,364
2004,11.265886,2003-10-24,23
2005,3.2763727,2005-08-13,316
2006,1.847967,2005-10-12,11
2007,4.268545,2007-09-20,354
2008,2.291077,2007-10-01,0
2009,2.1770577,2009-08-12,315
2010,3.0894544,2010-07-25,297
2011,1.6223979,2010-10-10,9
2012,1.9312217,2012-07-17,290
2013,0.97222745,2013-05-06,217
2014,1.0278072,2014-09-30,364
2015,2.6336846,2015-09-30,364
2016,6.7458305,2015-11-24,54
2017,3.208714,2017-09-30,364
2018,4.3758726,2017-10-27,26
2019,2.1711764,2018-12-22,82
2020,1.5709611,2019-12-15,75
2021,1.5756669,2020-10-29,28
2022,3.3222988,2021-10-20,19
2023,3.1996293,2022-11-16,46
2024,4.206791,2023-11-10,40
2025,7.089723,2025-09-24,358
2026,6.880194,2025-10-01,0
2027,2.6673234,2027-08-25,328
2028,2.058445,2028-09-30,365
2029,3.2785816,2029-09-18,352
2030,4.1788015,2029-10-04,3
2031,2.604791,2031-09-20,354
2032,3.228557,2032-08-28,332
2033,2.1530519,2033-08-30,333
2034,0.41330412,2034-07-18,290
2035,2.1770394,2035-09-01,335
2036,0.6692123,2035-10-19,18
2037,0.7764805,2037-07-18,290
2038,7.5195727,2038-09-03,337
2039,1.7052759,2039-07-30,302
2040,3.97333,2040-08-06,310
2041,1.7425371,2041-08-26,329
2042,3.206756,2042-07-04,276
2043,1.5198143,2043-06-18,260
2044,0.769605,2044-05-28,240
2045,1.1677929,2045-04-12,193
2046,3.5054817,2046-06-08,250
2047,4.223681,2047-04-08,189
2048,3.104305,2048-07-06,279
2049,0.43169963,2049-04-28,209
2050,0.9585572,2050-06-05,247
2051,3.4407666,2051-04-30,211
2052,1.7476664,2052-03-19,170
2053,5.46745,2053-04-12,193
2054,1.5553515,2054-03-28,178
2055,1.6987933,2055-05-24,235
2056,2.1624358,2056-04-23,205
2057,4.160861,2057-05-16,227
2058,1.2202386,2058-04-30,211
2059,0.43280178,2059-04-11,192
2060,2.5431943,2060-04-02,184
2061,1.0938408,2061-02-27,149
2062,0.4725979,2062-02-08,130
2063,0.92531663,2063-02-01,123
2064,0.76089364,2064-01-27,118
2065,1.7014527,2065-01-22,113
2066,0.9640943,2066-05-07,218
2067,0.403474,2067-03-23,173
2068,1.7331532,2068-03-03,154
2069,0.82016,2069-03-16,166
2070,1.1023437,2070-03-02,152
2071,0.3946777,2071-04-15,196
2072,6.8314295,2072-02-22,144
2073,0.51893675,2073-02-09,131
2074,4.7505536,2074-01-18,109
2075,1.2670892,2074-12-19,79
2076,0.007789616,2075-12-25,85
2077,1.7657171,2076-12-10,70
2078,0.5258218,2077-11-17,47
2079,1.086895,2078-11-01,31
2080,1.5035301,2080-01-10,101
2081,1.0016547,2080-10-15,14
2082,2.053784,2082-02-05,127
2083,0.3006315,2082-12-01,61
2084,0.51991856,2083-12-30,90
2085,1.9471743,2084-12-23,83
2086,0.21958713,2085-10-12,11
2087,2.2571354,2086-11-20,50
2088,2.2070613,2087-12-07,67
2089,0.48977575,2089-09-28,362
2090,0.5794976,2089-10-02,1
2091,0.31342366,2090-11-17,47
2092,0.5477498,2091-11-22,52
2093,0.5675156,2093-09-27,361
2094,1.4464443,2093-10-18,17
2095,0.35722387,2095-08-03,306
2096,0.021547368,2096-08-23,327
2097,2.3526304,2097-08-13,316
