,maxval,maxdate,maxarg
1981,29.953053,1981-03-24,174
1982,58.641624,1982-04-18,199
1983,25.531572,1983-04-25,206
1984,20.636663,1984-03-21,172
1985,32.93819,1985-03-06,156
1986,25.060417,1986-03-31,181
1987,35.55872,1987-03-14,164
1988,28.704992,1988-02-20,142
1989,18.387451,1989-02-24,146
1990,31.829435,1990-03-11,161
1991,25.77383,1991-02-17,139
1992,16.055101,1992-02-01,123
1993,27.500519,1993-02-01,123
1994,22.898584,1994-09-30,364
1995,45.462543,1995-01-28,119
1996,34.199696,1996-01-21,112
1997,17.921997,1997-01-15,106
1998,31.181694,1998-01-09,100
1999,33.681377,1999-01-08,99
2000,20.153435,1999-12-12,72
2001,15.309337,2000-12-23,83
2002,37.32031,2002-01-04,95
2003,26.579134,2002-12-27,87
2004,36.46019,2003-12-03,63
2005,21.70068,2004-11-30,60
2006,22.80043,2005-11-14,44
2007,19.17649,2007-09-30,364
2008,29.947687,2007-11-17,47
2009,29.59447,2008-10-25,24
2010,34.84163,2009-11-07,37
2011,34.84574,2010-11-23,53
2012,20.752312,2012-09-30,365
2013,21.11281,2012-10-10,9
2014,13.167745,2014-01-22,113
2015,25.492702,2015-02-11,133
2016,25.797186,2016-02-08,130
2017,32.965702,2017-01-15,106
2018,29.107327,2018-02-20,142
2019,27.524153,2019-02-02,124
2020,17.420137,2020-01-01,92
2021,37.428352,2021-01-03,94
2022,29.52904,2021-12-29,89
2023,41.362625,2023-01-20,111
2024,26.585388,2024-01-11,102
2025,28.954994,2024-12-07,67
2026,19.867493,2025-12-07,67
2027,12.969895,2027-09-30,364
2028,24.725002,2027-12-11,71
2029,28.092817,2028-11-21,51
2030,12.4175625,2029-11-14,44
2031,29.890894,2031-09-29,363
2032,34.42618,2031-11-01,31
2033,35.732155,2033-09-30,364
2034,38.27869,2033-11-08,38
2035,26.114126,2035-09-30,364
2036,28.142828,2035-10-19,18
2037,28.994406,2037-09-26,360
2038,30.139141,2038-09-27,361
2039,30.580725,2038-10-02,1
2040,25.328907,2039-10-01,0
2041,14.292506,2041-08-28,331
2042,13.926822,2042-08-20,323
2043,27.48045,2043-08-29,332
2044,16.884283,2043-10-01,0
2045,16.161188,2045-08-28,331
2046,25.766397,2046-08-12,315
2047,36.352646,2047-08-10,313
2048,33.494602,2048-08-09,313
2049,8.081386,2049-06-26,268
2050,19.658258,2050-07-20,292
2051,18.26833,2051-07-01,273
2052,17.544363,2052-07-15,288
2053,22.701775,2053-06-21,263
2054,25.979307,2054-07-11,283
2055,20.729631,2055-06-14,256
2056,10.776506,2056-06-02,245
2057,25.26041,2057-06-29,271
2058,18.170353,2058-06-10,252
2059,18.128466,2059-05-24,235
2060,15.443665,2060-05-24,236
2061,8.932906,2061-04-15,196
2062,18.424,2062-05-22,233
2063,20.854727,2063-05-14,225
2064,12.675022,2064-05-01,213
2065,20.707363,2065-04-08,189
2066,26.381525,2066-05-09,220
2067,14.99741,2067-04-09,190
2068,16.140472,2068-04-12,194
2069,4.500043,2069-03-21,171
2070,14.612953,2070-03-08,158
2071,23.31855,2071-04-17,198
2072,44.164154,2072-03-27,178
2073,14.68506,2073-03-22,172
2074,25.181221,2074-03-13,163
2075,16.411894,2075-02-07,129
2076,9.93382,2076-02-01,123
2077,18.143978,2077-02-18,140
2078,16.10103,2078-02-28,150
2079,23.171772,2079-01-30,121
2080,16.023182,2080-01-31,122
2081,19.298624,2081-01-24,115
2082,12.700148,2082-01-07,98
2083,12.234645,2083-01-11,102
2084,16.895643,2084-01-03,94
2085,15.098834,2084-12-30,90
2086,15.47074,2086-01-05,96
2087,25.256525,2087-01-16,107
2088,16.17718,2087-12-21,81
2089,12.674134,2088-12-08,68
2090,10.305456,2090-01-01,92
2091,7.5157843,2090-12-10,70
2092,6.1242237,2092-09-30,365
2093,11.340617,2092-11-17,47
2094,10.172243,2093-11-18,48
2095,13.045455,2094-11-28,58
2096,10.566938,2095-10-24,23
2097,11.016777,2097-09-30,364
