,maxval,maxdate,maxarg
1981,5.5979056,1981-03-25,175
1982,9.688184,1982-04-16,197
1983,6.2185354,1983-03-29,179
1984,7.3685403,1984-03-22,173
1985,6.9724717,1985-03-27,177
1986,3.4395106,1986-03-29,179
1987,6.235544,1987-03-07,157
1988,4.788101,1988-03-16,167
1989,4.9952264,1989-02-04,126
1990,6.2566175,1990-02-27,149
1991,5.8707314,1991-02-16,138
1992,5.2582917,1992-01-25,116
1993,5.201012,1993-02-04,126
1994,6.5035925,1994-01-26,117
1995,5.6260223,1995-01-16,107
1996,5.9869018,1996-01-20,111
1997,3.816872,1996-12-23,83
1998,6.1185093,1998-01-01,92
1999,2.0805387,1998-12-08,68
2000,3.3090184,1999-11-25,55
2001,4.7844934,2000-12-26,86
2002,5.895174,2002-01-01,92
2003,7.827493,2003-01-02,93
2004,7.553348,2003-12-05,65
2005,7.3162813,2004-12-12,72
2006,8.827276,2005-11-19,49
2007,6.3313184,2006-11-24,54
2008,4.0184946,2008-09-30,365
2009,5.8732567,2009-09-28,362
2010,7.5864277,2009-11-07,37
2011,6.272039,2011-09-30,364
2012,6.293693,2011-10-07,6
2013,5.335973,2012-10-12,11
2014,4.5001364,2014-01-23,114
2015,4.3850856,2015-01-28,119
2016,5.7349887,2016-02-03,125
2017,7.4096107,2017-01-21,112
2018,8.024494,2018-02-02,124
2019,5.490917,2019-01-13,104
2020,3.7944632,2019-12-02,62
2021,7.0780244,2020-12-10,70
2022,6.026465,2022-09-30,364
2023,9.320331,2022-12-31,91
2024,7.3630476,2023-12-20,80
2025,6.678933,2024-11-23,53
2026,3.72796,2025-12-11,71
2027,4.94861,2027-09-30,364
2028,6.216427,2027-11-28,58
2029,4.404132,2028-11-22,52
2030,4.3024883,2029-11-17,47
2031,3.8157103,2030-11-11,41
2032,4.0458097,2031-10-30,29
2033,4.755165,2033-09-30,364
2034,6.391556,2034-09-30,364
2035,7.692448,2034-10-29,28
2036,7.856232,2035-10-08,7
2037,4.876848,2036-10-05,4
2038,5.0360937,2038-09-13,347
2039,6.2989807,2039-09-30,364
2040,6.7974186,2039-10-05,4
2041,6.2823462,2041-09-07,341
2042,4.471865,2042-08-20,323
2043,4.0375314,2043-08-30,333
2044,5.331862,2044-07-23,296
2045,4.7280164,2045-08-18,321
2046,9.154705,2046-07-13,285
2047,4.8312755,2047-07-27,299
2048,2.8017309,2048-08-08,312
2049,4.3063383,2049-07-01,273
2050,4.6412497,2050-08-05,308
2051,7.124438,2051-06-26,268
2052,5.601514,2052-06-18,261
2053,5.727354,2053-06-25,267
2054,3.4153345,2054-07-05,277
2055,4.2614465,2055-06-13,255
2056,1.7981409,2056-04-30,212
2057,4.3095717,2057-06-29,271
2058,4.4977226,2058-06-07,249
2059,6.453932,2059-05-08,219
2060,3.9231179,2060-05-18,230
2061,3.2305806,2061-04-12,193
2062,5.3720274,2062-04-07,188
2063,2.8913856,2063-05-11,222
2064,4.6738305,2064-05-17,229
2065,3.8210366,2065-04-07,188
2066,3.1516173,2066-03-14,164
2067,1.9492015,2067-04-11,192
2068,2.7016134,2068-03-06,157
2069,2.2912965,2069-02-24,146
2070,3.4774466,2070-03-07,157
2071,4.373364,2071-03-30,180
2072,4.026593,2072-03-26,177
2073,3.1271858,2073-03-19,169
2074,2.974257,2074-02-28,150
2075,3.7406194,2075-02-11,133
2076,3.540778,2076-02-04,126
2077,2.0221508,2077-02-22,144
2078,4.961173,2078-01-22,113
2079,3.0966394,2079-01-23,114
2080,2.8094301,2080-01-21,112
2081,3.057265,2081-01-25,116
2082,1.5671339,2082-01-06,97
2083,4.677394,2083-01-12,103
2084,3.8480484,2084-01-06,97
2085,3.5714695,2085-01-01,92
2086,2.5331275,2085-11-06,36
2087,2.1326215,2086-10-29,28
2088,1.2929627,2087-12-05,65
2089,1.3871813,2088-11-22,52
2090,2.425761,2090-09-30,364
2091,3.0010626,2091-09-30,364
2092,3.5028524,2091-11-04,34
2093,3.883422,2092-11-15,45
2094,1.2291856,2094-09-30,364
2095,1.9431797,2094-10-21,20
2096,1.88339,2095-10-24,23
2097,3.4751108,2097-09-30,364
