,maxval,maxdate,maxarg
1981,17.45429,1981-03-26,176
1982,27.54905,1982-03-09,159
1983,6.880953,1983-01-23,114
1984,4.0997424,1984-02-17,139
1985,27.330637,1985-02-23,145
1986,13.873975,1986-03-14,164
1987,20.894608,1987-02-23,145
1988,7.6367936,1988-01-18,109
1989,7.86733,1989-01-30,121
1990,19.733932,1990-02-26,148
1991,12.38021,1991-02-05,127
1992,15.257652,1992-01-23,114
1993,13.7539215,1993-01-28,119
1994,12.702028,1993-12-09,69
1995,19.740742,1995-01-12,103
1996,14.307057,1996-01-21,112
1997,9.716378,1997-09-30,364
1998,18.6891,1997-12-31,91
1999,12.5171795,1998-12-24,84
2000,2.794609,2000-09-14,349
2001,11.054716,2000-12-16,76
2002,11.472576,2002-09-25,359
2003,18.872461,2002-12-05,65
2004,22.115786,2003-12-04,64
2005,15.183181,2004-10-25,24
2006,19.787933,2005-11-17,47
2007,12.968736,2006-10-24,23
2008,15.64268,2008-09-30,365
2009,15.913039,2008-10-12,11
2010,17.089563,2010-09-22,356
2011,21.092398,2010-11-09,39
2012,13.138089,2012-09-11,346
2013,13.230026,2012-10-09,8
2014,16.867285,2014-01-21,112
2015,21.943974,2015-02-05,127
2016,10.717844,2016-01-28,119
2017,20.32443,2016-12-24,84
2018,7.959987,2017-12-05,65
2019,12.939691,2019-01-11,102
2020,5.933708,2020-09-30,365
2021,27.568295,2020-11-26,56
2022,12.110909,2021-12-29,89
2023,22.18636,2022-12-25,85
2024,14.925485,2024-09-29,364
2025,18.964134,2024-12-08,68
2026,7.8498125,2025-12-02,62
2027,9.017956,2027-09-30,364
2028,12.143666,2028-09-30,365
2029,21.578701,2028-11-15,45
2030,6.41597,2030-09-18,352
2031,8.727393,2031-09-26,360
2032,10.674277,2032-09-27,362
2033,22.689432,2033-09-30,364
2034,25.892603,2033-10-15,14
2035,21.107758,2035-09-29,363
2036,21.150715,2035-10-01,0
2037,19.500866,2037-09-16,350
2038,17.354162,2038-09-12,346
2039,22.71358,2039-09-30,364
2040,22.684446,2039-10-01,0
2041,6.4718637,2041-08-12,315
2042,17.045706,2042-08-17,320
2043,13.540406,2043-08-15,318
2044,14.661562,2044-07-21,294
2045,5.3958683,2045-08-16,319
2046,26.889704,2046-07-08,280
2047,22.809954,2047-07-25,297
2048,22.437136,2048-07-18,291
2049,7.158915,2049-06-26,268
2050,19.440802,2050-07-23,295
2051,9.891449,2051-06-26,268
2052,6.3494554,2052-04-28,210
2053,19.567915,2053-06-16,258
2054,21.245577,2054-07-08,280
2055,11.143058,2055-06-13,255
2056,2.5081594,2056-03-05,156
2057,12.19851,2057-06-02,244
2058,11.461957,2058-06-06,248
2059,6.6969934,2059-05-04,215
2060,7.340055,2060-05-24,236
2061,9.033776,2061-04-14,195
2062,20.033655,2062-04-01,182
2063,7.804757,2063-04-21,202
2064,3.3557224,2064-02-03,125
2065,3.8443356,2065-03-11,161
2066,14.604807,2066-03-25,175
2067,3.1558785,2067-04-10,191
2068,10.5563135,2068-04-03,185
2069,1.6259764,2069-02-24,146
2070,6.8538156,2070-03-06,156
2071,13.472042,2071-03-30,180
2072,23.039446,2072-03-20,171
2073,6.9810205,2073-02-22,144
2074,9.801601,2074-02-18,140
2075,5.945223,2075-02-07,129
2076,6.7206187,2076-02-02,124
2077,8.734674,2077-02-19,141
2078,10.1266165,2078-01-13,104
2079,13.193537,2079-01-22,113
2080,4.136969,2080-01-19,110
2081,2.2683175,2081-01-15,106
2082,1.413149,2081-12-01,61
2083,1.113759,2082-11-17,47
2084,6.0902247,2083-12-14,74
2085,7.464235,2084-12-25,85
2086,2.995003,2085-11-06,36
2087,8.120919,2086-12-10,70
2088,5.3953094,2087-12-17,77
2089,3.5184264,2088-10-25,24
2090,5.3761864,2090-09-26,360
2091,5.241244,2090-10-02,1
2092,4.6818943,2092-09-30,365
2093,6.394365,2092-11-02,32
2094,3.7944005,2094-09-30,364
2095,6.8728795,2094-10-24,23
2096,1.4032457,2095-10-19,18
2097,3.9694734,2097-09-30,364
