,maxval,maxdate,maxarg
1981,30.09683,1981-04-28,209
1982,47.60209,1982-04-29,210
1983,31.021664,1983-04-28,209
1984,21.465168,1984-04-24,206
1985,38.30874,1985-05-01,212
1986,15.631888,1986-04-02,183
1987,30.066286,1987-04-10,191
1988,29.439085,1988-03-27,178
1989,19.147346,1989-03-15,165
1990,31.200628,1990-04-07,188
1991,25.909853,1991-03-19,169
1992,24.805824,1992-03-20,171
1993,23.493008,1993-03-13,163
1994,23.978458,1994-03-06,156
1995,35.567272,1995-02-27,149
1996,19.958462,1996-02-03,125
1997,20.727089,1997-02-06,128
1998,29.386486,1998-02-06,128
1999,17.03433,1999-01-15,106
2000,25.60816,2000-01-07,98
2001,21.301735,2001-01-17,108
2002,24.482267,2002-01-26,117
2003,35.971222,2003-01-11,102
2004,43.34345,2004-01-10,101
2005,31.5126,2004-12-25,85
2006,35.574875,2005-12-24,84
2007,32.565956,2006-12-15,75
2008,28.240568,2008-09-30,365
2009,32.95848,2008-11-12,42
2010,26.378515,2009-11-26,56
2011,32.13856,2011-09-30,364
2012,39.411324,2011-11-16,46
2013,32.958572,2012-11-16,46
2014,20.070919,2014-02-12,134
2015,33.96482,2015-03-05,155
2016,18.594076,2016-03-02,153
2017,48.21167,2017-01-30,121
2018,29.999565,2018-02-12,134
2019,26.521173,2019-02-06,128
2020,25.567541,2020-01-27,118
2021,40.759792,2021-01-27,118
2022,20.332077,2022-01-21,112
2023,38.324024,2023-01-27,118
2024,20.120903,2024-01-17,108
2025,36.343082,2025-01-05,96
2026,23.378191,2025-12-23,83
2027,21.781736,2026-12-07,67
2028,24.59594,2027-12-23,83
2029,22.060905,2028-12-13,73
2030,19.798645,2029-12-13,73
2031,19.680733,2030-12-02,62
2032,21.060244,2032-09-30,365
2033,27.84468,2032-11-28,58
2034,26.191286,2034-09-30,364
2035,33.58865,2034-11-20,50
2036,28.224691,2035-11-12,42
2037,32.659576,2036-11-01,31
2038,28.80655,2037-10-29,28
2039,35.300617,2039-09-30,364
2040,37.96489,2039-10-23,22
2041,39.87297,2041-09-27,361
2042,39.886143,2041-10-23,22
2043,20.967072,2042-10-06,5
2044,24.07679,2044-09-06,341
2045,25.318848,2045-09-29,363
2046,36.665398,2046-08-30,333
2047,38.965878,2047-09-07,341
2048,30.186344,2047-10-01,0
2049,29.561886,2049-08-12,315
2050,27.358618,2050-08-17,320
2051,36.455223,2051-08-04,307
2052,32.50079,2052-08-14,318
2053,26.272552,2053-08-04,307
2054,21.389002,2054-08-02,305
2055,17.676497,2055-07-12,284
2056,22.176992,2056-06-19,262
2057,22.52124,2057-07-16,288
2058,27.314646,2058-07-16,288
2059,30.754023,2059-06-23,265
2060,23.276934,2060-06-22,265
2061,30.33219,2061-06-19,261
2062,41.435997,2062-06-19,261
2063,16.562614,2063-05-28,239
2064,40.263702,2064-06-01,244
2065,23.989613,2065-05-23,234
2066,29.46029,2066-05-14,225
2067,34.865246,2067-05-24,235
2068,20.690685,2068-05-02,214
2069,18.730701,2069-05-14,225
2070,19.385845,2070-05-03,214
2071,23.914696,2071-04-29,210
2072,19.36593,2072-04-11,193
2073,28.722387,2073-04-05,186
2074,16.966007,2074-04-10,191
2075,24.164385,2075-04-13,194
2076,32.25663,2076-03-22,173
2077,19.833214,2077-03-05,155
2078,11.820415,2078-02-21,143
2079,19.821745,2079-03-16,166
2080,25.344536,2080-03-23,174
2081,43.778786,2081-03-06,156
2082,8.720854,2082-02-21,143
2083,18.599508,2083-01-28,119
2084,29.484858,2084-02-21,143
2085,32.662834,2085-01-31,122
2086,16.789612,2086-02-08,130
2087,25.502733,2087-01-16,107
2088,19.42302,2088-01-23,114
2089,22.706215,2089-01-14,105
2090,19.766102,2090-01-08,99
2091,20.181534,2091-01-04,95
2092,18.241762,2091-12-17,77
2093,20.892466,2092-12-28,88
2094,21.266487,2093-12-19,79
2095,22.758333,2094-12-04,64
2096,18.853151,2095-12-15,75
2097,16.139353,2096-12-05,65
